instance,average,minimal
AfricaSul11e,1292.1,1107
Angola12e,971.1,882
Arabia14e,1601.6,1431
Argelia15e,1307.0,1175
Argentina16e,1377.9,1303
Australia16e,1761.5,1576
Bolivia10e,1302.0,1145
Brasil16e,1875.2,1782
BrasilAM26e,666.9,627
BrasilMG30e,714.7,672
BrasilPR25e,655.4,622
BrasilRJ14e,337.0,337
BrasilRN16e,491.4,465
Canada17e,2079.1,1920
Cazaquistao15e,1469.8,1348
Chade12e,1471.3,1345
China17e,1398.8,1291
Colombia11e,963.0,963
Congo15e,1290.1,1239
EUA17e,1178.0,1178
Etiopia10e,893.9,779
India16e,1772.1,1749
Indonesia14e,1301.6,1161
Ira13e,1614.2,1456
Libia14e,799.0,799
Mali11e,1361.8,1240
Mauritania10e,764.0,764
Mexico14e,1321.0,1128
Mongolia13e,1372.5,1133
Niger12e,1441.9,1298
Peru13e,1302.8,1230
Russia17e,1870.0,1616
Sudao15e,1398.7,1355
att48Ae,33109.8,32776
