instance,average,minimal
AfricaSul11n,2030.9,1548
Angola12n,1701.0,1701
Arabia14n,2564.2,2355
Argelia15n,2188.3,2016
Argentina16n,2638.7,2637
Australia16n,2092.2,1967
Bolivia10n,1302.4,1247
Brasil16n,2617.2,2597
BrasilAM26n,603.9,344
BrasilMG30n,582.1,487
BrasilRJ14n,512.0,486
Canada17n,3256.8,3056
Cazaquistao15n,2629.1,2292
Chade12n,2269.0,1929
China17n,1705.7,1624
Colombia11n,1085.3,963
Congo15n,1820.1,1794
EUA17n,1737.8,1678
Egito9n,2119.1,1934
Etiopia10n,1693.0,1336
India16n,2422.5,2171
Indonesia14n,1621.6,1472
Ira13n,2094.3,1899
Libia14n,1209.0,1209
Mali11n,2318.8,1977
Mauritania10n,1469.0,1469
Mexico14n,2099.1,1890
Mongolia13n,1866.0,1644
Niger12n,2243.8,1632
Peru13n,1902.8,1844
Russia17n,2929.5,2551
Sudao15n,2476.6,2152
att48An,1657.9,1500
