instance,average,minimal
AfricaSul11e,1292.100,1107
Angola12e,971.100,882
Arabia14e,1601.600,1431
Argelia15e,1307.000,1175
Argentina16e,1377.900,1303
Australia16e,1761.500,1576
Bolivia10e,1302.000,1145
Brasil16e,1875.200,1782
BrasilAM26e,666.900,627
BrasilMG30e,714.700,672
BrasilPR25e,655.400,622
BrasilRJ14e,337.000,337
BrasilRN16e,491.400,465
Canada17e,2079.100,1920
Cazaquistao15e,1469.800,1348
Chade12e,1471.300,1345
China17e,1398.800,1291
Colombia11e,963.000,963
Congo15e,1290.100,1239
EUA17e,1178.000,1178
Etiopia10e,893.900,779
India16e,1772.100,1749
Indonesia14e,1301.600,1161
Ira13e,1614.200,1456
Libia14e,799.000,799
Mali11e,1361.800,1240
Mauritania10e,764.000,764
Mexico14e,1321.000,1128
Mongolia13e,1372.500,1133
Niger12e,1441.900,1298
Peru13e,1302.800,1230
Russia17e,1870.000,1616
Sudao15e,1398.700,1355
att48Ae,33109.800,32776
