instance,average,minimal
AfricaSul11n,2030.900,1548
Angola12n,1701.000,1701
Arabia14n,2564.200,2355
Argelia15n,2188.300,2016
Argentina16n,2638.700,2637
Australia16n,2092.200,1967
Bolivia10n,1302.400,1247
Brasil16n,2617.200,2597
BrasilAM26n,603.900,344
BrasilMG30n,582.100,487
BrasilRJ14n,512.000,486
Canada17n,3256.800,3056
Cazaquistao15n,2629.100,2292
Chade12n,2269.000,1929
China17n,1705.700,1624
Colombia11n,1085.300,963
Congo15n,1820.100,1794
EUA17n,1737.800,1678
Egito9n,2119.100,1934
Etiopia10n,1693.000,1336
India16n,2422.500,2171
Indonesia14n,1621.600,1472
Ira13n,2094.300,1899
Libia14n,1209.000,1209
Mali11n,2318.800,1977
Mauritania10n,1469.000,1469
Mexico14n,2099.100,1890
Mongolia13n,1866.000,1644
Niger12n,2243.800,1632
Peru13n,1902.800,1844
Russia17n,2929.500,2551
Sudao15n,2476.600,2152
att48An,1657.900,1500
