instance,average,minimal
AfricaSul11e,1277.100,982
Angola12e,961.200,882
Arabia14e,1563.400,1371
Argelia15e,1305.000,1110
Argentina16e,1370.800,1290
Australia16e,1695.900,1509
Bolivia10e,1258.600,1102
Brasil16e,1828.700,1626
BrasilAM26e,653.800,615
BrasilMG30e,703.000,635
BrasilPR25e,637.000,600
BrasilRJ14e,336.700,332
BrasilRN16e,490.200,465
Canada17e,1967.300,1864
Cazaquistao15e,1431.400,1338
Chade12e,1459.000,1312
China17e,1348.500,1291
Colombia11e,961.600,920
Congo15e,1289.400,1235
EUA17e,1176.700,1158
Etiopia10e,841.800,777
India16e,1755.900,1608
Indonesia14e,1257.300,1158
Ira13e,1586.700,1477
Libia14e,799.000,799
Mali11e,1343.100,1179
Mauritania10e,762.500,749
Mexico14e,1235.800,1063
Mongolia13e,1395.500,1124
Niger12e,1408.500,1250
Peru13e,1285.900,1113
Russia17e,1858.700,1551
Sudao15e,1357.700,1164
att48Ae,33023.200,32151
