instance,average,minimal
AfricaSul11n,1961.000,1467
Angola12n,1701.000,1701
Arabia14n,2507.600,2319
Argelia15n,2133.600,2016
Argentina16n,2638.100,2623
Australia16n,2016.600,1771
Bolivia10n,1302.900,1247
Brasil16n,2603.900,2329
BrasilAM26n,478.100,326
BrasilMG30n,564.900,466
BrasilRJ14n,505.600,486
Canada17n,3214.400,3056
Cazaquistao15n,2593.700,2222
Chade12n,2120.400,1871
China17n,1678.600,1624
Colombia11n,1080.900,963
Congo15n,1807.500,1761
EUA17n,1702.700,1519
Egito9n,2054.700,1868
Etiopia10n,1572.800,1310
India16n,2354.200,2114
Indonesia14n,1546.000,1396
Ira13n,2049.800,1899
Libia14n,1208.900,1207
Mali11n,2189.500,1883
Mauritania10n,1467.900,1436
Mexico14n,2032.800,1814
Mongolia13n,1792.000,1538
Niger12n,1945.200,1685
Peru13n,1900.700,1844
Russia17n,2745.100,2357
Sudao15n,2380.900,2036
att48An,1598.700,1498
