instance,average,minimal
AfricaSul11e,1277.1,982
Angola12e,961.2,882
Arabia14e,1563.4,1371
Argelia15e,1305.0,1110
Argentina16e,1370.8,1290
Australia16e,1695.9,1509
Bolivia10e,1258.6,1102
Brasil16e,1828.7,1626
BrasilAM26e,653.8,615
BrasilMG30e,703.0,635
BrasilPR25e,637.0,600
BrasilRJ14e,336.7,332
BrasilRN16e,490.2,465
Canada17e,1967.3,1864
Cazaquistao15e,1431.4,1338
Chade12e,1459.0,1312
China17e,1348.5,1291
Colombia11e,961.6,920
Congo15e,1289.4,1235
EUA17e,1176.7,1158
Etiopia10e,841.8,777
India16e,1755.9,1608
Indonesia14e,1257.3,1158
Ira13e,1586.7,1477
Libia14e,799.0,799
Mali11e,1343.1,1179
Mauritania10e,762.5,749
Mexico14e,1235.8,1063
Mongolia13e,1395.5,1124
Niger12e,1408.5,1250
Peru13e,1285.9,1113
Russia17e,1858.7,1551
Sudao15e,1357.7,1164
att48Ae,33023.2,32151
