instance,average,minimal
AfricaSul11n,1961.0,1467
Angola12n,1701.0,1701
Arabia14n,2507.6,2319
Argelia15n,2133.6,2016
Argentina16n,2638.1,2623
Australia16n,2016.6,1771
Bolivia10n,1302.9,1247
Brasil16n,2603.9,2329
BrasilAM26n,478.1,326
BrasilMG30n,564.9,466
BrasilRJ14n,505.6,486
Canada17n,3214.4,3056
Cazaquistao15n,2593.7,2222
Chade12n,2120.4,1871
China17n,1678.6,1624
Colombia11n,1080.9,963
Congo15n,1807.5,1761
EUA17n,1702.7,1519
Egito9n,2054.7,1868
Etiopia10n,1572.8,1310
India16n,2354.2,2114
Indonesia14n,1546.0,1396
Ira13n,2049.8,1899
Libia14n,1208.9,1207
Mali11n,2189.5,1883
Mauritania10n,1467.9,1436
Mexico14n,2032.8,1814
Mongolia13n,1792.0,1538
Niger12n,1945.2,1685
Peru13n,1900.7,1844
Russia17n,2745.1,2357
Sudao15n,2380.9,2036
att48An,1598.7,1498
