instance,average,minimal
AfricaSul11n,1952.5,1659
Angola12n,1701.0,1701
Arabia14n,2585.1,2370
Argelia15n,2211.7,2016
Argentina16n,2639.0,2639
Australia16n,2031.1,1785
Bolivia10n,1316.3,1247
Brasil16n,2676.7,2597
BrasilAM26n,566.8,344
BrasilMG30n,546.2,480
BrasilRJ14n,512.8,486
Canada17n,3232.5,3104
Cazaquistao15n,2583.9,2317
Chade12n,2270.0,1996
China17n,1715.5,1624
Colombia11n,1089.6,963
Congo15n,1822.0,1822
EUA17n,1737.4,1678
Egito9n,2101.4,1947
Etiopia10n,1656.3,1314
India16n,2409.5,2161
Indonesia14n,1591.7,1472
Ira13n,2095.1,1899
Libia14n,1209.0,1209
Mali11n,2304.8,2012
Mauritania10n,1469.0,1469
Mexico14n,2068.1,1794
Mongolia13n,1873.1,1757
Niger12n,2166.7,1595
Peru13n,1907.0,1907
Russia17n,2967.2,2655
Sudao15n,2455.3,2039
att48An,1593.4,1500
