instance,average,minimal
AfricaSul11e,417.0,417
Angola12e,564.1,541
Arabia14e,823.2,678
Argelia15e,684.9,605
Argentina16e,817.0,789
Australia16e,959.3,830
Bolivia10e,469.6,386
Brasil16e,879.5,746
BrasilAM26e,431.9,408
BrasilMG30e,419.2,409
BrasilPR25e,444.7,407
BrasilRJ14e,250.0,250
BrasilRN16e,319.7,319
Canada17e,1169.8,992
Cazaquistao15e,892.6,750
Chade12e,763.5,672
China17e,847.6,812
Colombia11e,474.0,474
Congo15e,682.2,663
EUA17e,687.8,675
Etiopia10e,308.0,308
India16e,1059.3,996
Indonesia14e,731.9,587
Ira13e,858.5,749
Libia14e,621.3,611
Mali11e,542.5,532
Mauritania10e,470.4,441
Mexico14e,690.1,591
Mongolia13e,670.2,615
Niger12e,693.8,614
Peru13e,635.2,604
Russia17e,1062.5,959
Sudao15e,700.3,629
