instance,average,minimal
AfricaSul11n,609.4,557
Angola12n,448.5,443
Arabia14n,874.0,770
Argelia15n,712.0,692
Argentina16n,788.0,750
Australia16n,640.7,580
Bolivia10n,491.2,489
Brasil16n,950.9,865
BrasilAM26n,151.4,136
BrasilMG30n,225.8,203
BrasilRJ14n,107.7,105
Canada17n,1075.5,924
Cazaquistao15n,992.1,887
Chade12n,749.6,719
China17n,801.4,751
Colombia11n,511.4,483
Congo15n,669.3,664
EUA17n,689.7,683
Egito9n,593.8,538
Etiopia10n,431.3,409
India16n,894.9,779
Indonesia14n,614.9,573
Ira13n,762.1,723
Libia14n,526.3,510
Mali11n,503.7,499
Mauritania10n,307.0,306
Mexico14n,755.3,703
Mongolia13n,583.2,555
Niger12n,631.1,618
Peru13n,549.4,518
Russia17n,929.5,853
Sudao15n,868.9,834
