instance,average,minimal
AfricaSul11n,697.0,621
Angola12n,451.0,451
Arabia14n,1092.5,856
Argelia15n,786.9,714
Argentina16n,924.4,812
Australia16n,861.7,681
Bolivia10n,528.5,489
Brasil16n,1093.4,891
BrasilAM26n,187.9,159
BrasilMG30n,264.2,228
BrasilRJ14n,120.7,115
Canada17n,1327.4,1091
Cazaquistao15n,1206.7,995
Chade12n,793.5,735
China17n,831.1,800
Colombia11n,565.2,526
Congo15n,686.9,666
EUA17n,719.0,702
Egito9n,638.9,563
Etiopia10n,479.6,414
India16n,1053.0,891
Indonesia14n,698.2,615
Ira13n,911.4,756
Libia14n,559.6,514
Mali11n,709.3,510
Mauritania10n,307.3,307
Mexico14n,971.3,777
Mongolia13n,647.2,584
Niger12n,674.0,621
Peru13n,623.8,567
Russia17n,1074.1,879
Sudao15n,966.5,852
