instance,average,minimal
AfricaSul11e,417.0,417
Angola12e,547.5,541
Arabia14e,844.6,734
Argelia15e,700.1,605
Argentina16e,827.2,789
Australia16e,977.4,822
Bolivia10e,503.2,459
Brasil16e,894.0,746
BrasilAM26e,438.0,411
BrasilMG30e,419.7,409
BrasilPR25e,446.3,437
BrasilRJ14e,250.8,250
BrasilRN16e,320.7,319
Canada17e,1203.4,970
Cazaquistao15e,879.7,783
Chade12e,801.9,672
China17e,854.6,834
Colombia11e,474.0,474
Congo15e,668.0,663
EUA17e,689.0,675
Etiopia10e,312.5,308
India16e,1060.0,1000
Indonesia14e,755.6,679
Ira13e,830.8,734
Libia14e,623.2,622
Mali11e,551.4,544
Mauritania10e,474.3,472
Mexico14e,711.0,614
Mongolia13e,691.7,617
Niger12e,693.9,656
Peru13e,636.0,636
Russia17e,1068.4,988
Sudao15e,719.9,642
att48Ae,27257.4,27234
