instance,average,minimal
AfricaSul11e,1301.9,1224
Angola12e,974.4,882
Arabia14e,1609.0,1431
Argelia15e,1343.8,1168
Argentina16e,1371.1,1290
Australia16e,1764.5,1586
Bolivia10e,1289.2,1145
Brasil16e,1889.2,1665
BrasilAM26e,663.5,627
BrasilMG30e,713.6,671
BrasilPR25e,652.0,609
BrasilRJ14e,337.0,337
BrasilRN16e,490.4,474
Canada17e,2057.9,1864
Cazaquistao15e,1474.4,1347
Chade12e,1484.5,1351
China17e,1391.1,1309
Colombia11e,960.1,920
Congo15e,1296.2,1278
EUA17e,1178.0,1178
Etiopia10e,939.3,779
India16e,1762.7,1749
Indonesia14e,1261.8,1150
Ira13e,1618.6,1445
Libia14e,799.0,799
Mali11e,1364.2,1204
Mauritania10e,764.0,764
Mexico14e,1279.5,1120
Mongolia13e,1404.6,1155
Niger12e,1420.7,1305
Peru13e,1300.2,1230
Russia17e,1895.6,1748
Sudao15e,1400.8,1331
