instance,average,minimal
AfricaSul11n,1952.500,1659
Angola12n,1701.000,1701
Arabia14n,2585.100,2370
Argelia15n,2211.700,2016
Argentina16n,2639.000,2639
Australia16n,2031.100,1785
Bolivia10n,1316.300,1247
Brasil16n,2676.700,2597
BrasilAM26n,566.800,344
BrasilMG30n,546.200,480
BrasilRJ14n,512.800,486
Canada17n,3232.500,3104
Cazaquistao15n,2583.900,2317
Chade12n,2270.000,1996
China17n,1715.500,1624
Colombia11n,1089.600,963
Congo15n,1822.000,1822
EUA17n,1737.400,1678
Egito9n,2101.400,1947
Etiopia10n,1656.300,1314
India16n,2409.500,2161
Indonesia14n,1591.700,1472
Ira13n,2095.100,1899
Libia14n,1209.000,1209
Mali11n,2304.800,2012
Mauritania10n,1469.000,1469
Mexico14n,2068.100,1794
Mongolia13n,1873.100,1757
Niger12n,2166.700,1595
Peru13n,1907.000,1907
Russia17n,2967.200,2655
Sudao15n,2455.300,2039
att48An,1593.400,1500
