instance,average,minimal
AfricaSul11n,729.9,664
Angola12n,451.0,451
Arabia14n,1157.7,960
Argelia15n,799.7,741
Argentina16n,976.0,923
Australia16n,877.0,642
Bolivia10n,535.4,525
Brasil16n,1120.6,891
BrasilAM26n,199.3,158
BrasilMG30n,272.0,228
BrasilRJ14n,121.5,117
Canada17n,1439.6,1033
Cazaquistao15n,1304.9,1093
Chade12n,779.4,735
China17n,834.4,800
Colombia11n,575.5,575
Congo15n,680.8,669
EUA17n,725.7,713
Egito9n,689.9,609
Etiopia10n,482.7,482
India16n,1075.2,885
Indonesia14n,697.1,661
Ira13n,906.6,773
Libia14n,566.0,566
Mali11n,762.6,725
Mauritania10n,307.7,307
Mexico14n,992.9,777
Mongolia13n,666.9,621
Niger12n,688.1,667
Peru13n,647.6,590
Russia17n,1103.8,890
Sudao15n,997.2,906
