instance,average,minimal
AfricaSul11e,1302.200,1224
Angola12e,971.100,882
Arabia14e,1615.500,1376
Argelia15e,1316.500,1175
Argentina16e,1382.200,1359
Australia16e,1755.600,1625
Bolivia10e,1299.900,1145
Brasil16e,1916.800,1782
BrasilAM26e,666.800,632
BrasilMG30e,718.200,694
BrasilPR25e,657.500,616
BrasilRJ14e,337.000,337
BrasilRN16e,492.000,474
Canada17e,2068.000,1927
Cazaquistao15e,1455.200,1326
Chade12e,1499.100,1345
China17e,1402.100,1303
Colombia11e,963.000,963
Congo15e,1296.900,1278
EUA17e,1178.000,1178
Etiopia10e,894.400,807
India16e,1760.800,1749
Indonesia14e,1294.400,1195
Ira13e,1646.900,1489
Libia14e,799.000,799
Mali11e,1359.200,1285
Mauritania10e,763.500,749
Mexico14e,1325.700,1120
Mongolia13e,1407.100,1173
Niger12e,1440.300,1306
Peru13e,1308.000,1308
Russia17e,1904.900,1865
Sudao15e,1375.700,1273
att48Ae,33093.800,32787
