instance,average,minimal
AfricaSul11n,1976.800,1682
Angola12n,1701.000,1701
Arabia14n,2602.800,2355
Argelia15n,2174.600,2016
Argentina16n,2638.900,2637
Australia16n,2070.300,1831
Bolivia10n,1321.000,1247
Brasil16n,2647.100,2597
BrasilAM26n,577.600,339
BrasilMG30n,583.100,483
BrasilRJ14n,513.800,486
Canada17n,3245.800,3056
Cazaquistao15n,2624.400,2390
Chade12n,2203.000,1917
China17n,1745.500,1624
Colombia11n,1089.600,963
Congo15n,1821.100,1794
EUA17n,1740.800,1533
Egito9n,2085.000,1868
Etiopia10n,1698.000,1335
India16n,2427.500,2182
Indonesia14n,1608.100,1472
Ira13n,2106.100,1905
Libia14n,1209.000,1209
Mali11n,2318.700,2093
Mauritania10n,1469.000,1469
Mexico14n,2126.400,1814
Mongolia13n,1890.000,1623
Niger12n,2203.800,1701
Peru13n,1907.000,1907
Russia17n,2949.100,2561
Sudao15n,2488.400,2135
att48An,1622.300,1526
