Instância,Melhor,Média,Melhor,Média,Melhor,Média,Melhor,Média,Melhor,Média,Melhor,Média,Melhor,Média,Melhor
Bolivia10e,384,1302.0,1145,1258.6,1102,1289.2,1145,1299.9,1145,394.0,384,469.6,386,503.2,459
AfricaSul11e,402,1292.1,1107,1277.1,982,1301.9,1224,1302.2,1224,415.4,402,417.0,417,417.0,417
Niger12e,564,1441.9,1298,1408.5,1250,1420.7,1305,1440.3,1306,640.2,582,693.8,614,693.9,656
Mongolia13e,543,1372.5,1133,1395.5,1124,1404.6,1155,1407.1,1173,621.8,581,670.2,615,691.7,617
Indonesia14e,504,1301.6,1161,1257.3,1158,1261.8,1150,1294.4,1195,610.6,559,731.9,587,755.6,679
Argelia15e,487,1307.0,1175,1305.0,1110,1343.8,1168,1316.5,1175,627.2,605,684.9,605,700.1,605
India16e,705,1772.1,1749,1755.9,1608,1762.7,1749,1760.8,1749,957.2,876,1059.3,996,1060.0,1000
China17e,728,1398.8,1291,1348.5,1291,1391.1,1309,1402.1,1303,806.4,764,847.6,812,854.6,834
Etiopia10e,283,893.9,779,841.8,777,939.3,779,894.4,807,296.8,283,308.0,308,312.5,308
Mali11e,428,1361.8,1240,1343.1,1179,1364.2,1204,1359.2,1285,486.5,440,542.5,532,551.4,544
Chade12e,655,1471.3,1345,1459.0,1312,1484.5,1351,1499.1,1345,698.0,672,763.5,672,801.9,672
Ira13e,532,1614.2,1456,1586.7,1477,1618.6,1445,1646.9,1489,701.5,596,858.5,749,830.8,734
Mexico14e,492,1321.0,1128,1235.8,1063,1279.5,1120,1325.7,1120,581.2,523,690.1,591,711.0,614
Sudao15e,422,1398.7,1355,1357.7,1164,1400.8,1331,1375.7,1273,652.2,604,700.3,629,719.9,642
Australia16e,682,1761.5,1576,1695.9,1509,1764.5,1586,1755.6,1625,845.8,773,959.3,830,977.4,822
Canada17e,783,2079.1,1920,1967.3,1864,2057.9,1864,2068.0,1927,1024.3,879,1169.8,992,1203.4,970
Arabia14e,482,1601.6,1431,1563.4,1371,1609.0,1431,1615.5,1376,710.4,594,823.2,678,844.6,734
Cazaquistao15e,574,1469.8,1348,1431.4,1338,1474.4,1347,1455.2,1326,772.1,653,892.6,750,879.7,783
Brasil16e,619,1875.2,1782,1828.7,1626,1889.2,1665,1916.8,1782,753.7,722,879.5,746,894.0,746
Russia17e,750,1870.0,1616,1858.7,1551,1895.6,1748,1904.9,1865,963.6,916,1062.5,959,1068.4,988
BrasilAM26e,338,666.9,627,653.8,615,663.5,627,666.8,632,404.8,373,431.9,408,438.0,411
BrasilMG30e,368,714.7,672,703.0,635,713.6,671,718.2,694,409.6,400,419.2,409,419.7,409
