instance,strategy,result,time
AfricaSul11e,m,1690,3
AfricaSul11n,m,2941,3
Angola12e,m,1698,3
Angola12n,m,2870,3
Arabia14e,m,2443,4
Arabia14n,m,4373,4
Argelia15e,m,2222,4
Argelia15n,m,3456,4
Argentina16e,m,2090,5
Argentina16n,m,3127,4
Australia16e,m,2644,4
Australia16n,m,3674,5
Bolivia10e,m,1720,3
Bolivia10n,m,2669,3
Brasil16e,m,2884,4
Brasil16n,m,4736,5
BrasilAM26e,m,831,8
BrasilAM26n,m,1422,7
BrasilMG30e,m,926,9
BrasilMG30n,m,1217,9
BrasilPR25e,m,873,7
BrasilRJ14e,m,429,4
BrasilRJ14n,m,944,4
BrasilRN16e,m,645,4
Canada17e,m,3047,5
Canada17n,m,4790,5
Cazaquistao15e,m,2572,4
Cazaquistao15n,m,4330,4
Chade12e,m,1941,4
Chade12n,m,3258,4
China17e,m,2058,5
China17n,m,3144,5
Colombia11e,m,1575,4
Colombia11n,m,2435,3
Congo15e,m,1956,4
Congo15n,m,3429,4
EUA17e,m,1860,4
EUA17n,m,2668,5
Egito9n,m,2863,3
Etiopia10e,m,1436,3
Etiopia10n,m,2568,3
India16e,m,2501,5
India16n,m,4064,4
Indonesia14e,m,2153,4
Indonesia14n,m,3292,4
Ira13e,m,2284,4
Ira13n,m,4036,4
Libia14e,m,1538,4
Libia14n,m,2229,4
Mali11e,m,2003,3
Mali11n,m,3306,3
Mauritania10e,m,1306,3
Mauritania10n,m,2051,3
Mexico14e,m,2169,4
Mexico14n,m,3547,5
Mongolia13e,m,2022,4
Mongolia13n,m,2754,4
Niger12e,m,1913,3
Niger12n,m,3133,3
Peru13e,m,1711,4
Peru13n,m,2540,4
Russia17e,m,2850,5
Russia17n,m,4940,5
Sudao15e,m,2512,4
Sudao15n,m,4461,4
att48Ae,m,43687,17
att48An,m,3976,17
AfricaSul11e,m,1717,3
AfricaSul11n,m,2941,3
Angola12e,m,1698,3
Angola12n,m,2870,3
Arabia14e,m,2488,4
Arabia14n,m,4206,4
Argelia15e,m,2277,4
Argelia15n,m,3456,4
Argentina16e,m,2036,4
Argentina16n,m,3127,4
Australia16e,m,2449,5
Australia16n,m,3896,4
Bolivia10e,m,1720,3
Bolivia10n,m,2504,3
Brasil16e,m,2873,4
Brasil16n,m,4956,5
BrasilAM26e,m,861,7
BrasilAM26n,m,1427,7
BrasilMG30e,m,931,9
BrasilMG30n,m,1210,9
BrasilPR25e,m,878,7
BrasilRJ14e,m,429,4
BrasilRJ14n,m,907,4
BrasilRN16e,m,645,4
Canada17e,m,2858,5
Canada17n,m,4816,5
Cazaquistao15e,m,2572,4
Cazaquistao15n,m,4579,5
Chade12e,m,2089,3
Chade12n,m,3077,3
China17e,m,2058,4
China17n,m,3324,5
Colombia11e,m,1575,3
Colombia11n,m,2435,3
Congo15e,m,1956,4
Congo15n,m,3426,4
EUA17e,m,1860,4
EUA17n,m,2668,4
Egito9n,m,2871,3
Etiopia10e,m,1653,3
Etiopia10n,m,2568,3
India16e,m,2400,4
