instance,strategy,result,time
AfricaSul11e,m,402,67205
AfricaSul11n,m,537,67369
Angola12e,m,490,69910
Angola12n,m,409,70334
Arabia14e,m,482,74375
Arabia14n,m,707,76598
Argelia15e,m,540,77894
Argelia15n,m,616,77477
Argentina16e,m,733,81326
Argentina16n,m,645,82572
Australia16e,m,739,82480
Australia16n,m,532,85293
Bolivia10e,m,384,67244
Bolivia10n,m,448,67603
Brasil16e,m,638,85593
Brasil16n,m,742,86108
BrasilAM26e,m,366,139830
BrasilAM26n,m,109,141771
BrasilMG30e,m,382,179566
BrasilMG30n,m,165,175836
BrasilPR25e,m,347,131844
BrasilRJ14e,m,237,79823
BrasilRJ14n,m,102,78487
BrasilRN16e,m,289,85378
Canada17e,m,892,90793
Canada17n,m,889,89169
Cazaquistao15e,m,662,85856
Cazaquistao15n,m,830,83700
Chade12e,m,672,74933
Chade12n,m,649,75193
China17e,m,747,89167
China17n,m,654,92105
Colombia11e,m,337,70786
Colombia11n,m,461,72117
Congo15e,m,513,83259
Congo15n,m,573,82619
EUA17e,m,610,88828
EUA17n,m,579,89544
Egito9n,m,520,68610
Etiopia10e,m,283,69232
Etiopia10n,m,403,70329
India16e,m,705,88036
India16n,m,723,86641
Indonesia14e,m,504,79334
Indonesia14n,m,531,81529
Ira13e,m,570,74948
Ira13n,m,693,79078
Libia14e,m,546,79712
Libia14n,m,514,79490
Mali11e,m,443,73102
Mali11n,m,496,71351
Mauritania10e,m,422,69739
Mauritania10n,m,306,69594
Mexico14e,m,492,80615
Mexico14n,m,610,80414
Mongolia13e,m,552,78305
Mongolia13n,m,551,75576
Niger12e,m,575,72887
Niger12n,m,615,72289
Peru13e,m,575,74868
Peru13n,m,502,78041
Russia17e,m,779,91212
Russia17n,m,786,94089
Sudao15e,m,424,80784
Sudao15n,m,777,84358
att48Ae,m,25094,424377
att48An,m,593,424588
AfricaSul11e,m,402,70950
AfricaSul11n,m,556,72347
Angola12e,m,490,74882
Angola12n,m,409,74359
Arabia14e,m,482,81355
Arabia14n,m,696,81687
Argelia15e,m,540,82940
Argelia15n,m,616,82060
Argentina16e,m,724,86904
Argentina16n,m,643,85235
Australia16e,m,732,86558
Australia16n,m,531,88734
Bolivia10e,m,384,69485
Bolivia10n,m,448,69199
Brasil16e,m,631,88883
Brasil16n,m,752,87940
BrasilAM26e,m,341,139704
BrasilAM26n,m,109,144246
BrasilMG30e,m,373,177481
BrasilMG30n,m,166,172462
BrasilPR25e,m,347,131690
BrasilRJ14e,m,234,79279
BrasilRJ14n,m,104,79805
BrasilRN16e,m,289,83620
Canada17e,m,870,89896
Canada17n,m,826,90148
Cazaquistao15e,m,649,86697
Cazaquistao15n,m,877,83170
Chade12e,m,669,73784
Chade12n,m,654,73884
China17e,m,736,90394
China17n,m,650,91328
Colombia11e,m,337,71769
Colombia11n,m,461,72368
Congo15e,m,521,84239
Congo15n,m,573,81777
EUA17e,m,610,88463
EUA17n,m,579,91692
Egito9n,m,520,66717
Etiopia10e,m,283,71594
Etiopia10n,m,403,70895
India16e,m,727,88078
India16n,m,723,86060
Indonesia14e,m,504,82239
Indonesia14n,m,527,79395
Ira13e,m,532,76962
Ira13n,m,693,77333
Libia14e,m,521,78729
Libia14n,m,514,81270
Mali11e,m,443,73795
Mali11n,m,495,72071
Mauritania10e,m,422,68383
Mauritania10n,m,306,70337
Mexico14e,m,492,79866
Mexico14n,m,610,81761
Mongolia13e,m,547,76126
Mongolia13n,m,553,77696
Niger12e,m,564,72197
Niger12n,m,671,75134
Peru13e,m,560,74393
Peru13n,m,502,77322
Russia17e,m,794,93603
Russia17n,m,805,93053
Sudao15e,m,422,80600
Sudao15n,m,780,86396
att48Ae,m,25341,425235
att48An,m,557,422004
AfricaSul11e,m,402,72970
AfricaSul11n,m,537,72368
Angola12e,m,490,74788
Angola12n,m,409,83129
Arabia14e,m,482,78722
Arabia14n,m,696,82381
Argelia15e,m,487,83625
Argelia15n,m,622,82887
Argentina16e,m,724,83902
Argentina16n,m,643,87461
Australia16e,m,737,85926
Australia16n,m,531,89460
Bolivia10e,m,384,67216
Bolivia10n,m,448,71316
Brasil16e,m,638,87173
Brasil16n,m,747,87627
BrasilAM26e,m,359,141553
BrasilAM26n,m,111,142221
BrasilMG30e,m,372,179025
BrasilMG30n,m,165,174516
BrasilPR25e,m,347,130721
BrasilRJ14e,m,237,78943
BrasilRJ14n,m,102,80116
BrasilRN16e,m,289,83300
Canada17e,m,843,90434
Canada17n,m,827,90120
Cazaquistao15e,m,592,86664
Cazaquistao15n,m,846,87026
Chade12e,m,685,73527
Chade12n,m,654,75347
China17e,m,737,90256
China17n,m,638,90590
Colombia11e,m,337,71473
Colombia11n,m,461,72115
Congo15e,m,513,82573
Congo15n,m,577,82341
EUA17e,m,610,88370
EUA17n,m,587,89719
Egito9n,m,520,69016
Etiopia10e,m,283,69898
Etiopia10n,m,403,70773
India16e,m,713,86555
India16n,m,723,86154
Indonesia14e,m,504,81954
Indonesia14n,m,522,78590
Ira13e,m,566,77206
Ira13n,m,705,76604
Libia14e,m,521,80150
Libia14n,m,509,80818
Mali11e,m,443,71577
Mali11n,m,495,73367
Mauritania10e,m,422,67487
Mauritania10n,m,306,70602
Mexico14e,m,492,78925
Mexico14n,m,610,82510
Mongolia13e,m,552,76384
Mongolia13n,m,551,77407
Niger12e,m,575,71801
Niger12n,m,610,73226
Peru13e,m,567,75982
Peru13n,m,502,76003
Russia17e,m,779,91123
Russia17n,m,789,93054
Sudao15e,m,424,80812
Sudao15n,m,777,86371
att48Ae,m,23984,420993
att48An,m,559,424578
AfricaSul11e,m,402,72346
AfricaSul11n,m,537,70511
Angola12e,m,490,74195
Angola12n,m,409,74616
Arabia14e,m,482,78648
Arabia14n,m,695,82595
Argelia15e,m,519,82094
Argelia15n,m,616,81999
Argentina16e,m,741,86129
Argentina16n,m,643,85512
Australia16e,m,756,85869
Australia16n,m,537,87897
Bolivia10e,m,384,67941
Bolivia10n,m,448,69373
Brasil16e,m,638,88239
Brasil16n,m,746,87144
BrasilAM26e,m,359,142474
BrasilAM26n,m,108,141448
BrasilMG30e,m,376,178943
BrasilMG30n,m,166,173302
BrasilPR25e,m,347,131832
BrasilRJ14e,m,237,78580
BrasilRJ14n,m,102,79527
BrasilRN16e,m,289,83821
Canada17e,m,894,90236
Canada17n,m,829,90084
Cazaquistao15e,m,589,85321
Cazaquistao15n,m,834,84097
Chade12e,m,678,72826
Chade12n,m,649,74118
China17e,m,736,88991
China17n,m,648,91078
Colombia11e,m,337,72534
Colombia11n,m,461,70694
Congo15e,m,521,83538
Congo15n,m,574,85276
EUA17e,m,610,89343
EUA17n,m,579,88949
Egito9n,m,520,68450
Etiopia10e,m,283,69702
Etiopia10n,m,403,70445
India16e,m,740,83363
India16n,m,723,86707
Indonesia14e,m,504,81033
