instance,strategy,result,time
AfricaSul11e,m,402,67223
AfricaSul11n,m,537,68678
Angola12e,m,490,73272
Angola12n,m,409,77761
Arabia14e,m,562,82455
Arabia14n,m,707,87080
Argelia15e,m,503,87330
Argelia15n,m,622,87563
Argentina16e,m,748,91480
Argentina16n,m,643,91198
Australia16e,m,730,91586
Australia16n,m,536,93563
Bolivia10e,m,384,73665
Bolivia10n,m,448,75031
Brasil16e,m,631,93319
Brasil16n,m,745,94145
BrasilAM26e,m,359,151369
BrasilAM26n,m,109,152037
BrasilMG30e,m,381,190840
BrasilMG30n,m,163,187052
BrasilPR25e,m,347,142125
BrasilRJ14e,m,236,85556
BrasilRJ14n,m,104,83867
BrasilRN16e,m,289,89983
Canada17e,m,871,97290
Canada17n,m,833,97627
Cazaquistao15e,m,649,91449
Cazaquistao15n,m,843,89914
Chade12e,m,655,78067
Chade12n,m,654,79917
China17e,m,733,96053
China17n,m,646,96707
Colombia11e,m,326,76710
Colombia11n,m,461,76283
Congo15e,m,513,88412
Congo15n,m,573,88195
EUA17e,m,610,94539
EUA17n,m,582,96383
Egito9n,m,520,72424
Etiopia10e,m,283,75483
Etiopia10n,m,403,76134
India16e,m,727,93321
India16n,m,724,92842
Indonesia14e,m,504,86106
Indonesia14n,m,529,85519
Ira13e,m,572,81431
Ira13n,m,694,84442
Libia14e,m,529,85736
Libia14n,m,516,85505
Mali11e,m,443,77988
Mali11n,m,494,77169
Mauritania10e,m,422,73841
Mauritania10n,m,306,75184
Mexico14e,m,492,85757
Mexico14n,m,614,86987
Mongolia13e,m,552,82507
Mongolia13n,m,551,81609
Niger12e,m,583,78546
Niger12n,m,623,78039
Peru13e,m,560,80960
Peru13n,m,502,82078
Russia17e,m,794,98479
Russia17n,m,786,99417
Sudao15e,m,422,87079
Sudao15n,m,786,89621
att48Ae,m,24425,451271
att48An,m,559,448118
AfricaSul11e,m,402,76586
AfricaSul11n,m,537,76910
Angola12e,m,490,79408
Angola12n,m,409,80165
Arabia14e,m,482,84071
Arabia14n,m,695,87241
Argelia15e,m,503,88026
Argelia15n,m,619,88057
Argentina16e,m,721,92135
Argentina16n,m,648,91708
Australia16e,m,730,92063
Australia16n,m,537,93797
Bolivia10e,m,384,73725
Bolivia10n,m,448,75027
Brasil16e,m,638,91083
Brasil16n,m,750,88129
