instance,strategy,result,time
AfricaSul11e,mpr,1312,27088
AfricaSul11n,mpr,1714,27347
Angola12e,mpr,981,26458
Angola12n,mpr,1701,26518
Arabia14e,mpr,1512,27130
Arabia14n,mpr,2611,27171
Argelia15e,mpr,1411,27089
Argelia15n,mpr,2159,27269
Argentina16e,mpr,1383,26827
Argentina16n,mpr,2637,26943
Australia16e,mpr,1621,27203
Australia16n,mpr,2090,27207
Bolivia10e,mpr,1212,26886
Bolivia10n,mpr,1247,27105
Brasil16e,mpr,1790,28561
Brasil16n,mpr,2597,27851
BrasilAM26e,mpr,690,28081
BrasilAM26n,mpr,327,28080
BrasilMG30e,mpr,701,28243
BrasilMG30n,mpr,491,28346
BrasilPR25e,mpr,642,28026
BrasilRJ14e,mpr,337,26933
BrasilRJ14n,mpr,514,27027
BrasilRN16e,mpr,494,26925
Canada17e,mpr,1972,27697
Canada17n,mpr,3212,27876
Cazaquistao15e,mpr,1368,27894
Cazaquistao15n,mpr,2317,27626
Chade12e,mpr,1501,27704
Chade12n,mpr,2136,27652
China17e,mpr,1368,27615
China17n,mpr,1705,27792
Colombia11e,mpr,963,26845
Colombia11n,mpr,1094,27024
Congo15e,mpr,1299,27411
Congo15n,mpr,1794,27709
EUA17e,mpr,1178,27803
EUA17n,mpr,1679,28467
Egito9n,mpr,2114,28280
Etiopia10e,mpr,820,26989
Etiopia10n,mpr,1774,27406
India16e,mpr,1749,27538
India16n,mpr,2223,27409
Indonesia14e,mpr,1239,27566
Indonesia14n,mpr,1724,27623
Ira13e,mpr,1540,27415
Ira13n,mpr,2028,27726
Libia14e,mpr,799,26863
Libia14n,mpr,1209,27704
Mali11e,mpr,1310,28929
Mali11n,mpr,2061,28294
Mauritania10e,mpr,764,27733
Mauritania10n,mpr,1469,27902
Mexico14e,mpr,1196,28454
Mexico14n,mpr,1943,27719
Mongolia13e,mpr,1245,27748
Mongolia13n,mpr,1538,27528
Niger12e,mpr,1362,27162
Niger12n,mpr,1949,27411
Peru13e,mpr,1308,26546
Peru13n,mpr,1907,26951
Russia17e,mpr,1865,27267
Russia17n,mpr,2623,27611
Sudao15e,mpr,1355,27004
Sudao15n,mpr,2512,27168
att48Ae,mpr,32926,27910
att48An,mpr,1523,28092
AfricaSul11e,mpr,1313,26973
AfricaSul11n,mpr,1945,27282
Angola12e,mpr,981,26608
Angola12n,mpr,1701,26939
Arabia14e,mpr,1491,27634
Arabia14n,mpr,2494,27505
Argelia15e,mpr,1233,27951
Argelia15n,mpr,2244,27708
Argentina16e,mpr,1383,27241
Argentina16n,mpr,2637,27394
Australia16e,mpr,1839,27597
Australia16n,mpr,1969,27555
Bolivia10e,mpr,1228,27744
Bolivia10n,mpr,1247,27124
Brasil16e,mpr,1808,27752
Brasil16n,mpr,2329,27669
BrasilAM26e,mpr,628,27903
BrasilAM26n,mpr,622,27379
BrasilMG30e,mpr,686,27857
BrasilMG30n,mpr,559,28982
BrasilPR25e,mpr,650,27972
BrasilRJ14e,mpr,337,26925
BrasilRJ14n,mpr,486,26924
BrasilRN16e,mpr,490,26986
Canada17e,mpr,1954,27552
Canada17n,mpr,3221,27306
Cazaquistao15e,mpr,1461,27321
Cazaquistao15n,mpr,2317,27402
Chade12e,mpr,1400,27361
Chade12n,mpr,2177,27349
China17e,mpr,1432,27464
China17n,mpr,1629,27486
Colombia11e,mpr,963,26561
Colombia11n,mpr,1094,26946
Congo15e,mpr,1278,26836
Congo15n,mpr,1794,26936
EUA17e,mpr,1178,27200
EUA17n,mpr,1711,27958
