instance,strategy,result,time
AfricaSul11e,om,417,38856
AfricaSul11n,om,557,40493
Angola12e,om,508,40094
Angola12n,om,449,39824
Arabia14e,om,798,40327
Arabia14n,om,931,39965
Argelia15e,om,650,39676
Argelia15n,om,721,40753
Argentina16e,om,785,40400
Argentina16n,om,784,40282
Australia16e,om,838,40681
Australia16n,om,664,40671
Bolivia10e,om,386,38737
Brasil16e,om,722,41933
Brasil16n,om,929,40788
BrasilAM26e,om,397,44204
BrasilAM26n,om,149,43793
BrasilMG30e,om,409,46498
BrasilMG30n,om,216,46645
BrasilPR25e,om,404,44424
BrasilRJ14e,om,238,40265
BrasilRJ14n,om,105,40115
BrasilRN16e,om,308,41431
Canada17e,om,935,41991
Canada17n,om,1065,41772
Cazaquistao15e,om,806,40737
Cazaquistao15n,om,953,40955
Chade12e,om,672,41277
Chade12n,om,762,43725
China17e,om,789,41425
China17n,om,798,41810
Colombia11e,om,474,40378
Colombia11n,om,527,40396
Congo15e,om,713,40995
Congo15n,om,669,41064
EUA17e,om,710,41672
EUA17n,om,685,41584
Egito9n,om,594,39262
Etiopia10n,om,414,39538
India16e,om,965,40515
India16n,om,792,40944
Indonesia14e,om,595,40568
Indonesia14n,om,667,40624
Ira13e,om,642,40710
Ira13n,om,766,40456
Libia14e,om,626,40911
Libia14n,om,511,41080
Mali11e,om,488,39429
Mali11n,om,501,39880
Mauritania10e,om,441,39797
Mauritania10n,om,307,39987
Mexico14e,om,557,41594
Mexico14n,om,706,40900
Mongolia13e,om,660,39976
Mongolia13n,om,569,40751
Niger12e,om,656,40293
Niger12n,om,629,39388
Peru13e,om,600,39788
Peru13n,om,548,39875
Russia17e,om,946,41181
Russia17n,om,890,41934
Sudao15e,om,743,40472
Sudao15n,om,835,40672
att48Ae,om,27023,57844
att48An,om,846,60259
AfricaSul11e,om,402,40065
AfricaSul11n,om,557,40601
Angola12e,om,508,40925
Angola12n,om,443,40578
Arabia14e,om,616,40903
Arabia14n,om,829,41147
Argelia15e,om,605,41183
Argelia15n,om,741,40902
Argentina16e,om,789,41350
Argentina16n,om,781,41260
Australia16e,om,860,41870
Australia16n,om,623,41713
Bolivia10e,om,386,39730
Brasil16e,om,722,41741
Brasil16n,om,973,40719
BrasilAM26e,om,416,43880
BrasilAM26n,om,153,44775
BrasilMG30e,om,409,46065
BrasilMG30n,om,227,46128
BrasilPR25e,om,400,44372
BrasilRJ14e,om,250,40130
BrasilRJ14n,om,106,40914
BrasilRN16e,om,308,41735
Canada17e,om,1112,41030
Canada17n,om,1033,41242
Cazaquistao15e,om,653,41095
Cazaquistao15n,om,1040,41261
Chade12e,om,697,40458
Chade12n,om,735,40296
China17e,om,837,41705
China17n,om,802,41322
Colombia11e,om,474,39914
Colombia11n,om,483,40487
Congo15e,om,651,41268
Congo15n,om,666,40888
EUA17e,om,675,41354
EUA17n,om,693,41131
Egito9n,om,594,38959
Etiopia10n,om,414,39759
India16e,om,965,40982
India16n,om,988,41049
Indonesia14e,om,705,40558
Indonesia14n,om,578,40230
Ira13e,om,720,40228
Ira13n,om,729,40400
Libia14e,om,611,40902
Libia14n,om,561,40650
Mali11e,om,440,40260
Mali11n,om,501,40119
Mauritania10e,om,441,39677
Mauritania10n,om,307,39518
Mexico14e,om,566,41076
Mexico14n,om,752,41221
Mongolia13e,om,615,40408
Mongolia13n,om,564,40586
Niger12e,om,689,40268
Niger12n,om,618,39804
Peru13e,om,600,40138
Peru13n,om,536,40674
Russia17e,om,959,41944
Russia17n,om,944,41581
Sudao15e,om,691,41658
Sudao15n,om,864,40873
att48Ae,om,26974,58387
att48An,om,884,60225
AfricaSul11e,om,417,39341
AfricaSul11n,om,645,40616
Angola12e,om,508,40750
Angola12n,om,450,40739
Arabia14e,om,713,41391
Arabia14n,om,946,40958
Argelia15e,om,629,41331
Argelia15n,om,701,40777
Argentina16e,om,789,40570
Argentina16n,om,773,41976
Australia16e,om,828,41028
Australia16n,om,733,41090
Bolivia10e,om,384,39837
Brasil16e,om,807,41444
Brasil16n,om,865,41290
BrasilAM26e,om,405,45496
BrasilAM26n,om,151,45233
BrasilMG30e,om,407,46728
BrasilMG30n,om,218,47847
BrasilPR25e,om,395,44397
BrasilRJ14e,om,238,40384
BrasilRJ14n,om,111,40922
BrasilRN16e,om,319,40707
Canada17e,om,968,40997
Canada17n,om,981,41139
Cazaquistao15e,om,754,40913
Cazaquistao15n,om,1009,40415
Chade12e,om,710,39720
Chade12n,om,778,39991
China17e,om,823,41993
China17n,om,790,40894
Colombia11e,om,468,39119
Colombia11n,om,483,39950
Congo15e,om,663,40632
Congo15n,om,666,40535
EUA17e,om,675,41372
EUA17n,om,700,40608
Egito9n,om,594,38671
Etiopia10n,om,414,39953
India16e,om,925,41246
India16n,om,882,42079
