instance,strategy,result,time
AfricaSul11e,ompr,417,105220
AfricaSul11n,ompr,705,110612
Angola12e,ompr,541,107518
Angola12n,ompr,451,105010
Arabia14e,ompr,678,104509
Arabia14n,ompr,856,108248
Argelia15e,ompr,640,110287
Argelia15n,ompr,769,114443
Argentina16e,ompr,789,111856
Argentina16n,ompr,839,114028
Australia16e,ompr,1060,114027
Australia16n,ompr,787,113858
Bolivia10e,ompr,386,99523
Bolivia10n,ompr,525,99077
Brasil16e,ompr,814,108261
Brasil16n,ompr,920,112102
BrasilAM26e,ompr,454,140453
BrasilAM26n,ompr,162,137350
BrasilMG30e,ompr,416,144607
BrasilMG30n,ompr,228,144747
BrasilPR25e,ompr,437,135780
BrasilRJ14e,ompr,250,109700
BrasilRJ14n,ompr,117,109726
BrasilRN16e,ompr,319,117817
Canada17e,ompr,1139,116988
Canada17n,ompr,1373,118879
Cazaquistao15e,ompr,797,108510
Cazaquistao15n,ompr,1351,111504
Chade12e,ompr,767,105825
Chade12n,ompr,980,104724
China17e,ompr,879,112138
China17n,ompr,835,116388
Colombia11e,ompr,474,103056
Colombia11n,ompr,575,104296
Congo15e,ompr,663,110207
Congo15n,ompr,669,111315
EUA17e,ompr,675,116192
EUA17n,ompr,725,116361
Egito9n,ompr,624,102265
Etiopia10n,ompr,482,100629
India16e,ompr,1061,113966
India16n,ompr,1081,111531
Indonesia14e,ompr,759,109124
Indonesia14n,ompr,682,108655
Ira13e,ompr,764,109297
Ira13n,ompr,773,105498
Libia14e,ompr,622,107344
Libia14n,ompr,566,109217
Mali11e,ompr,544,105516
Mali11n,ompr,779,106177
Mauritania10e,ompr,441,100872
Mauritania10n,ompr,307,98624
Mexico14e,ompr,664,104953
Mexico14n,ompr,1081,109772
Mongolia13e,ompr,712,108549
Mongolia13n,ompr,621,106768
Niger12e,ompr,694,106793
Niger12n,ompr,676,106310
Peru13e,ompr,636,108452
Peru13n,ompr,639,107506
Russia17e,ompr,1061,113119
Russia17n,ompr,1094,113900
Sudao15e,ompr,652,107030
Sudao15n,ompr,936,113414
att48Ae,ompr,27295,200167
att48An,ompr,979,211445
AfricaSul11e,ompr,417,100897
AfricaSul11n,ompr,732,105416
Angola12e,ompr,549,105708
Angola12n,ompr,451,104332
Arabia14e,ompr,877,104560
Arabia14n,ompr,1116,106176
Argelia15e,ompr,698,111106
Argelia15n,ompr,822,112395
Argentina16e,ompr,789,110953
Argentina16n,ompr,976,115089
Australia16e,ompr,902,116654
Australia16n,ompr,742,112311
Bolivia10e,ompr,484,98791
Bolivia10n,ompr,525,97957
Brasil16e,ompr,929,109666
Brasil16n,ompr,1047,111288
BrasilAM26e,ompr,416,136292
BrasilAM26n,ompr,210,140313
BrasilMG30e,ompr,432,146132
BrasilMG30n,ompr,273,143641
BrasilPR25e,ompr,450,132743
BrasilRJ14e,ompr,250,108871
BrasilRJ14n,ompr,117,108592
BrasilRN16e,ompr,319,115569
Canada17e,ompr,1309,115707
Canada17n,ompr,1268,117324
Cazaquistao15e,ompr,939,109739
Cazaquistao15n,ompr,1147,110229
Chade12e,ompr,837,105087
Chade12n,ompr,848,104473
China17e,ompr,879,111329
China17n,ompr,827,116814
Colombia11e,ompr,474,101084
Colombia11n,ompr,551,101412
Congo15e,ompr,663,109279
Congo15n,ompr,669,109230
EUA17e,ompr,675,114991
EUA17n,ompr,702,116669
Egito9n,ompr,609,100138
Etiopia10e,ompr,308,96884
Etiopia10n,ompr,482,101144
India16e,ompr,1100,117538
India16n,ompr,1057,110046
Indonesia14e,ompr,789,107576
Indonesia14n,ompr,718,107662
Ira13e,ompr,845,106793
Ira13n,ompr,1014,104133
Libia14e,ompr,626,108331
Libia14n,ompr,566,109475
Mali11e,ompr,544,105260
Mali11n,ompr,783,103428
Mauritania10e,ompr,472,101581
Mauritania10n,ompr,307,97561
Mexico14e,ompr,650,105268
Mexico14n,ompr,931,107595
Mongolia13e,ompr,720,106833
Mongolia13n,ompr,644,106289
Niger12e,ompr,699,104432
Niger12n,ompr,643,104428
Peru13e,ompr,636,107560
Peru13n,ompr,662,109031
Russia17e,ompr,959,112356
Russia17n,ompr,1134,110149
Sudao15e,ompr,656,108545
Sudao15n,ompr,1033,107492
att48Ae,ompr,27325,197532
att48An,ompr,885,207963
AfricaSul11e,ompr,417,99859
AfricaSul11n,ompr,690,102683
Angola12e,ompr,543,104527
Angola12n,ompr,451,103319
Arabia14e,ompr,846,102901
Arabia14n,ompr,1203,107292
Argelia15e,ompr,605,107762
Argelia15n,ompr,776,110232
Argentina16e,ompr,789,110853
Argentina16n,ompr,868,115063
Australia16e,ompr,991,112528
Australia16n,ompr,783,112243
Bolivia10e,ompr,478,97240
Brasil16e,ompr,856,105385
Brasil16n,ompr,1249,113119
BrasilAM26e,ompr,434,134872
BrasilAM26n,ompr,180,135809
BrasilMG30e,ompr,439,142106
BrasilMG30n,ompr,266,145088
BrasilPR25e,ompr,442,133528
BrasilRJ14e,ompr,250,108003
BrasilRJ14n,ompr,117,107733
BrasilRN16e,ompr,319,115961
Canada17e,ompr,1075,114807
Canada17n,ompr,1312,115767
Cazaquistao15e,ompr,908,109959
Cazaquistao15n,ompr,1107,111699
Chade12e,ompr,672,104778
Chade12n,ompr,780,105279
China17e,ompr,878,115080
China17n,ompr,844,114726
Colombia11e,ompr,474,99919
Colombia11n,ompr,570,103048
Congo15e,ompr,663,108323
Congo15n,ompr,728,110050
EUA17e,ompr,675,115213
EUA17n,ompr,725,117149
Egito9n,ompr,624,100759
Etiopia10e,ompr,308,97713
Etiopia10n,ompr,482,99977
India16e,ompr,1022,112689
India16n,ompr,907,110414
Indonesia14e,ompr,587,105707
Indonesia14n,ompr,667,107685
Ira13e,ompr,882,105298
Ira13n,ompr,1045,104256
Libia14e,ompr,622,106448
Libia14n,ompr,566,107685
Mali11e,ompr,544,104647
Mali11n,ompr,725,102398
Mauritania10e,ompr,472,102299
Mauritania10n,ompr,307,97627
Mexico14e,ompr,677,107006
Mexico14n,ompr,1046,107684
Mongolia13e,ompr,687,107073
Mongolia13n,ompr,644,106626
Niger12e,ompr,666,104227
Niger12n,ompr,629,105375
Peru13e,ompr,636,107034
Peru13n,ompr,590,104841
Russia17e,ompr,1097,115389
Russia17n,ompr,1031,111285
Sudao15e,ompr,808,109988
Sudao15n,ompr,891,109857
att48Ae,ompr,27234,197644
att48An,ompr,901,208797
AfricaSul11e,ompr,417,100173
AfricaSul11n,ompr,690,102393
Angola12e,ompr,582,106601
Angola12n,ompr,451,102781
Arabia14e,ompr,945,103320
Arabia14n,ompr,914,105445
Argelia15e,ompr,675,108818
Argelia15n,ompr,772,112408
Argentina16e,ompr,929,110516
Argentina16n,ompr,948,112736
Australia16e,ompr,935,115299
Australia16n,ompr,787,110989
Bolivia10e,ompr,540,97148
Brasil16e,ompr,746,106990
Brasil16n,ompr,1100,109985
BrasilAM26e,ompr,443,136099
BrasilAM26n,ompr,195,133911
BrasilMG30e,ompr,409,141838
BrasilMG30n,ompr,264,138303
BrasilPR25e,ompr,448,131314
BrasilRJ14e,ompr,250,107919
BrasilRJ14n,ompr,131,107817
BrasilRN16e,ompr,319,114185
Canada17e,ompr,1320,111966
Canada17n,ompr,1246,115531
Cazaquistao15e,ompr,893,109293
Cazaquistao15n,ompr,1367,111414
Chade12e,ompr,672,104345
Chade12n,ompr,848,102072
China17e,ompr,834,114971
China17n,ompr,805,114738
Colombia11e,ompr,474,99849
Colombia11n,ompr,581,102086
Congo15e,ompr,663,108219
Congo15n,ompr,669,107549
EUA17e,ompr,710,112565
EUA17n,ompr,713,114611
Egito9n,ompr,667,98925
Etiopia10e,ompr,308,95202
Etiopia10n,ompr,482,99156
India16e,ompr,1056,112190
India16n,ompr,1141,113289
Indonesia14e,ompr,788,107796
Indonesia14n,ompr,615,103572
Ira13e,ompr,843,107307
Ira13n,ompr,773,103351
Libia14e,ompr,626,105895
Libia14n,ompr,566,107612
Mali11e,ompr,544,104394
Mali11n,ompr,779,104496
Mauritania10e,ompr,472,101472
Mauritania10n,ompr,307,97368
Mexico14e,ompr,775,107153
Mexico14n,ompr,1111,109084
Mongolia13e,ompr,737,106956
Mongolia13n,ompr,706,108716
Niger12e,ompr,718,104397
Niger12n,ompr,667,104415
Peru13e,ompr,636,106912
Peru13n,ompr,590,104644
Russia17e,ompr,1035,113887
Russia17n,ompr,1110,114742
Sudao15e,ompr,652,105002
Sudao15n,ompr,993,109952
att48Ae,ompr,27141,198028
att48An,ompr,824,207956
AfricaSul11e,ompr,417,100186
AfricaSul11n,ompr,664,100345
Angola12e,ompr,543,104822
Angola12n,ompr,451,103545
Arabia14e,ompr,750,103744
Arabia14n,ompr,1193,105816
Argelia15e,ompr,678,109893
Argelia15n,ompr,782,109326
Argentina16e,ompr,789,110390
Argentina16n,ompr,923,117168
Australia16e,ompr,991,112972
Australia16n,ompr,1003,112867
Bolivia10e,ompr,484,97993
Bolivia10n,ompr,554,99522
Brasil16e,ompr,900,107923
Brasil16n,ompr,1235,109916
BrasilAM26e,ompr,440,135838
BrasilAM26n,ompr,179,135875
BrasilMG30e,ompr,416,141131
BrasilMG30n,ompr,246,135683
BrasilPR25e,ompr,448,130759
BrasilRJ14e,ompr,250,107492
BrasilRJ14n,ompr,117,107510
BrasilRN16e,ompr,319,114056
Canada17e,ompr,1117,111794
Canada17n,ompr,1453,117774
Cazaquistao15e,ompr,800,108747
Cazaquistao15n,ompr,1219,112960
Chade12e,ompr,840,106916
Chade12n,ompr,853,104275
China17e,ompr,834,115427
China17n,ompr,814,114578
Colombia11e,ompr,474,99598
Colombia11n,ompr,540,100237
Congo15e,ompr,713,109710
Congo15n,ompr,728,109338
EUA17e,ompr,710,112181
EUA17n,ompr,725,114770
Egito9n,ompr,701,99416
Etiopia10e,ompr,308,95160
