instance,strategy,result,time
AfricaSul11e,pr,1312,63978
AfricaSul11n,pr,2026,65958
Angola12e,pr,981,64352
Angola12n,pr,1701,63729
Arabia14e,pr,1539,65070
Arabia14n,pr,2355,65039
Argelia15e,pr,1233,65000
Argelia15n,pr,2247,65280
Argentina16e,pr,1383,63472
Argentina16n,pr,2639,64362
Australia16e,pr,1625,67175
Australia16n,pr,2224,66686
Bolivia10e,pr,1264,64301
Bolivia10n,pr,1247,64464
Brasil16e,pr,1826,66154
Brasil16n,pr,2597,67339
BrasilAM26e,pr,649,67582
BrasilAM26n,pr,372,67015
BrasilMG30e,pr,730,67329
BrasilMG30n,pr,562,68427
BrasilPR25e,pr,647,67682
BrasilRJ14e,pr,337,64213
BrasilRJ14n,pr,516,65582
BrasilRN16e,pr,494,64973
Canada17e,pr,2282,66790
Canada17n,pr,3221,66599
Cazaquistao15e,pr,1326,67183
Cazaquistao15n,pr,2620,67156
Chade12e,pr,1506,66970
Chade12n,pr,2136,67369
China17e,pr,1303,65365
China17n,pr,1750,66275
Colombia11e,pr,963,62417
Colombia11n,pr,1094,63547
Congo15e,pr,1299,65083
Congo15n,pr,1822,64138
EUA17e,pr,1178,64547
EUA17n,pr,1777,67579
Egito9n,pr,2117,65628
Etiopia10e,pr,820,65354
Etiopia10n,pr,1850,65471
India16e,pr,1749,66110
India16n,pr,2287,67018
Indonesia14e,pr,1361,65048
Indonesia14n,pr,1523,65366
Ira13e,pr,1646,65798
Ira13n,pr,2107,66393
Libia14e,pr,799,64263
Libia14n,pr,1209,65804
Mali11e,pr,1348,66907
Mali11n,pr,2118,67592
Mauritania10e,pr,764,63550
Mauritania10n,pr,1469,64501
Mexico14e,pr,1255,65901
Mexico14n,pr,2186,66336
Mongolia13e,pr,1347,67311
Mongolia13n,pr,1928,66593
Niger12e,pr,1534,65936
Niger12n,pr,2245,65612
Peru13e,pr,1308,64317
Peru13n,pr,1907,66204
Russia17e,pr,2145,67936
Russia17n,pr,3209,66584
Sudao15e,pr,1373,65885
Sudao15n,pr,2347,66413
att48Ae,pr,33025,67307
att48An,pr,1552,67379
AfricaSul11e,pr,1312,64596
AfricaSul11n,pr,2026,66773
Angola12e,pr,981,64537
Angola12n,pr,1701,64413
Arabia14e,pr,1607,65564
Arabia14n,pr,2889,66420
Argelia15e,pr,1239,65833
Argelia15n,pr,2091,69871
Argentina16e,pr,1383,67989
Argentina16n,pr,2639,65726
Australia16e,pr,1740,69686
Australia16n,pr,2126,66663
Bolivia10e,pr,1326,64682
Bolivia10n,pr,1423,65665
Brasil16e,pr,1848,66333
Brasil16n,pr,2797,67168
BrasilAM26e,pr,656,67477
BrasilAM26n,pr,536,67333
BrasilMG30e,pr,703,67358
BrasilMG30n,pr,543,69618
BrasilPR25e,pr,681,67629
BrasilRJ14e,pr,337,64339
BrasilRJ14n,pr,518,64569
BrasilRN16e,pr,490,66008
Canada17e,pr,2060,69235
Canada17n,pr,3221,67080
Cazaquistao15e,pr,1377,68625
Cazaquistao15n,pr,2800,68296
Chade12e,pr,1552,67661
Chade12n,pr,2191,71273
China17e,pr,1479,68216
China17n,pr,1624,66467
Colombia11e,pr,963,63877
Colombia11n,pr,1094,67835
Congo15e,pr,1299,67248
Congo15n,pr,1822,68158
EUA17e,pr,1178,65282
EUA17n,pr,1711,67600
Egito9n,pr,2129,69122
Etiopia10e,pr,820,68241
Etiopia10n,pr,1484,69253
India16e,pr,1749,74352
India16n,pr,2542,70996
Indonesia14e,pr,1330,72539
Indonesia14n,pr,1514,67071
Ira13e,pr,1676,69794
Ira13n,pr,1908,70578
Libia14e,pr,799,66404
Libia14n,pr,1209,69045
Mali11e,pr,1344,65905
Mali11n,pr,2471,65762
Mauritania10e,pr,764,63949
Mauritania10n,pr,1469,66266
Mexico14e,pr,1297,70843
Mexico14n,pr,2247,68496
Mongolia13e,pr,1326,68103
Mongolia13n,pr,1927,67748
Niger12e,pr,1352,67984
Niger12n,pr,2602,66234
Peru13e,pr,1308,64889
