instance,strategy,result,time
AfricaSul11e,m,402,3730
AfricaSul11e,m,302,3732
AfricaSul11n,m,537,3685
Angola12e,m,490,3907
Angola12n,m,409,3844
Arabia14e,m,482,3903
Arabia14n,m,709,4022
Argelia15e,m,541,4161
Argelia15n,m,622,4137
Argentina16e,m,739,4282
Argentina16n,m,642,4242
Australia16e,m,780,4226
Australia16n,m,546,4259
Bolivia10e,m,384,3477
Bolivia10n,m,448,3609
Brasil16e,m,638,4312
Brasil16n,m,747,4267
BrasilAM26e,m,361,6631
BrasilAM26n,m,109,6637
BrasilMG30e,m,378,8133
BrasilMG30n,m,164,7882
BrasilPR25e,m,356,6029
BrasilRJ14e,m,236,3975
BrasilRJ14n,m,102,3863
BrasilRN16e,m,289,4195
Canada17e,m,863,4326
Canada17n,m,878,4466
Cazaquistao15e,m,710,4271
Cazaquistao15n,m,834,4211
Chade12e,m,678,3751
Chade12n,m,654,3769
China17e,m,737,4442
China17n,m,638,4448
Colombia11e,m,337,3674
Colombia11n,m,461,3614
Congo15e,m,534,4028
Congo15n,m,573,4143
EUA17e,m,610,4423
EUA17n,m,601,4413
Egito9n,m,520,3510
Etiopia10e,m,283,3609
Etiopia10n,m,403,3598
India16e,m,705,4203
India16n,m,723,4215
Indonesia14e,m,518,4018
Indonesia14n,m,573,4044
Ira13e,m,609,3816
Ira13n,m,694,3965
Libia14e,m,521,3978
Libia14n,m,518,3945
Mali11e,m,443,3681
Mali11n,m,496,3571
Mauritania10e,m,422,3492
Mauritania10n,m,306,3516
Mexico14e,m,492,3954
Mexico14n,m,610,4017
Mongolia13e,m,564,3828
Mongolia13n,m,551,3846
Niger12e,m,583,3740
Niger12n,m,671,3739
Peru13e,m,567,3734
Peru13n,m,502,3815
Russia17e,m,794,4440
Russia17n,m,807,4487
Sudao15e,m,424,4000
Sudao15n,m,777,4131
att48Ae,m,25519,18601
att48An,m,638,18029
