instance,strategy,result,time
AfricaSul11n,m,2182,39773
Angola12n,m,1701,38282
Arabia14n,m,2470,39033
Argelia15n,m,2016,38795
Argentina16n,m,2639,38516
Australia16n,m,2290,39017
Bolivia10n,m,1247,38341
Brasil16n,m,2597,39638
BrasilAM26n,m,609,40376
BrasilMG30n,m,510,41319
BrasilRJ14n,m,486,39467
Canada17n,m,3221,39528
Cazaquistao15n,m,2507,39689
Chade12n,m,2389,40552
China17n,m,1703,39834
Colombia11n,m,1094,39741
Congo15n,m,1822,38806
EUA17n,m,1711,39186
Egito9n,m,2073,39281
Etiopia10n,m,1654,40266
India16n,m,2287,39767
Indonesia14n,m,1557,39022
Ira13n,m,2022,39218
Libia14n,m,1209,39037
Mali11n,m,2213,39227
Mauritania10n,m,1469,37953
Mexico14n,m,2094,40110
Mongolia13n,m,1644,40906
Niger12n,m,1807,41098
Peru13n,m,1907,39663
Russia17n,m,2885,39585
Sudao15n,m,2611,39484
att48An,m,1645,40256
AfricaSul11n,m,2182,38962
Angola12n,m,1701,37998
Arabia14n,m,2494,39249
Argelia15n,m,2207,39078
Argentina16n,m,2639,38407
Australia16n,m,2019,39055
Bolivia10n,m,1247,38299
Brasil16n,m,2597,39177
BrasilAM26n,m,602,40405
BrasilMG30n,m,588,39988
BrasilRJ14n,m,518,38552
Canada17n,m,3289,39542
Cazaquistao15n,m,2845,39274
Chade12n,m,2182,39037
China17n,m,1701,40344
Colombia11n,m,963,39892
Congo15n,m,1822,38374
EUA17n,m,1711,40289
Egito9n,m,2043,40241
Etiopia10n,m,1532,41507
India16n,m,2542,40751
Indonesia14n,m,1785,40586
Ira13n,m,2188,39380
Libia14n,m,1209,38811
Mali11n,m,2258,39033
Mauritania10n,m,1469,37632
Mexico14n,m,2183,38907
Mongolia13n,m,1927,39468
Niger12n,m,2129,40466
Peru13n,m,1907,40425
Russia17n,m,3075,40196
Sudao15n,m,2611,39682
att48An,m,1573,40713
AfricaSul11n,m,2182,39317
Angola12n,m,1701,38281
Arabia14n,m,2805,39470
Argelia15n,m,2247,39438
Argentina16n,m,2639,38222
Australia16n,m,1967,39390
Bolivia10n,m,1247,38128
Brasil16n,m,2597,39866
BrasilAM26n,m,534,39778
BrasilMG30n,m,550,39971
BrasilRJ14n,m,516,38405
Canada17n,m,3221,39418
Cazaquistao15n,m,2620,39532
Chade12n,m,2503,39261
China17n,m,2065,38875
Colombia11n,m,1094,37571
Congo15n,m,1794,37779
EUA17n,m,1678,38649
Egito9n,m,2148,38675
Etiopia10n,m,1584,38324
India16n,m,2344,38722
Indonesia14n,m,1530,38791
Ira13n,m,2113,38828
Libia14n,m,1209,38383
Mali11n,m,2077,38881
Mauritania10n,m,1469,37943
Mexico14n,m,2098,39143
Mongolia13n,m,1793,38651
Niger12n,m,2129,38762
Peru13n,m,1907,38066
Russia17n,m,3209,39104
Sudao15n,m,2558,38733
att48An,m,1578,40096
AfricaSul11n,m,1945,38677
Angola12n,m,1701,37461
Arabia14n,m,2470,38737
Argelia15n,m,2203,39086
Argentina16n,m,2639,38005
Australia16n,m,2090,38987
Bolivia10n,m,1247,38197
Brasil16n,m,2597,39694
BrasilAM26n,m,661,39653
BrasilMG30n,m,575,39562
BrasilRJ14n,m,516,38037
Canada17n,m,3212,39999
Cazaquistao15n,m,2567,39664
Chade12n,m,2168,39620
China17n,m,1624,39644
Colombia11n,m,1094,38171
Congo15n,m,1822,38622
EUA17n,m,1697,40374
Egito9n,m,2147,40021
Etiopia10n,m,1484,39007
India16n,m,2509,38860
Indonesia14n,m,1762,39057
Ira13n,m,2222,39421
Libia14n,m,1209,39023
Mali11n,m,2499,39010
Mauritania10n,m,1469,38052
Mexico14n,m,2021,38999
Mongolia13n,m,1928,38350
Niger12n,m,2129,38596
Peru13n,m,1907,37987
Russia17n,m,2783,39645
Sudao15n,m,2190,38852
att48An,m,1734,40174
AfricaSul11n,m,2026,38594
Angola12n,m,1701,37760
Arabia14n,m,2693,38919
Argelia15n,m,2207,38642
Argentina16n,m,2639,38298
Australia16n,m,2058,39423
Bolivia10n,m,1247,38495
Brasil16n,m,2597,39401
BrasilAM26n,m,619,39502
BrasilMG30n,m,538,39538
BrasilRJ14n,m,518,37990
