instance,strategy,result,time
AfricaSul11e,mpr,982,26816
AfricaSul11n,mpr,2026,29452
Angola12e,mpr,882,26724
Angola12n,mpr,1701,26597
Arabia14e,mpr,1455,26968
Arabia14n,mpr,2487,27022
Argelia15e,mpr,1320,27050
Argelia15n,mpr,2016,30390
Argentina16e,mpr,1383,26827
Argentina16n,mpr,2637,26910
Australia16e,mpr,1703,27369
Australia16n,mpr,2133,27198
Bolivia10e,mpr,1308,26780
Bolivia10n,mpr,1247,27249
Brasil16e,mpr,1706,28184
Brasil16n,mpr,2597,28112
BrasilAM26e,mpr,674,27912
BrasilAM26n,mpr,346,27780
BrasilMG30e,mpr,745,28126
BrasilMG30n,mpr,769,28219
BrasilPR25e,mpr,631,27768
BrasilRJ14e,mpr,337,26905
BrasilRJ14n,mpr,514,27087
BrasilRN16e,mpr,494,26987
Canada17e,mpr,1951,27583
Canada17n,mpr,3221,27938
Cazaquistao15e,mpr,1426,27563
Cazaquistao15n,mpr,2564,27719
Chade12e,mpr,1482,27611
Chade12n,mpr,2177,27746
China17e,mpr,1415,27698
China17n,mpr,1624,27725
Colombia11e,mpr,963,26593
Colombia11n,mpr,1094,27052
Congo15e,mpr,1299,27230
Congo15n,mpr,1794,27421
EUA17e,mpr,1178,27976
EUA17n,mpr,1711,29062
Egito9n,mpr,1875,28062
Etiopia10e,mpr,777,27502
Etiopia10n,mpr,1329,27233
India16e,mpr,1749,27427
India16n,mpr,2186,27578
Indonesia14e,mpr,1330,27708
Indonesia14n,mpr,1557,27692
Ira13e,mpr,1600,27400
Ira13n,mpr,1908,27631
Libia14e,mpr,799,26804
Libia14n,mpr,1209,27691
Mali11e,mpr,1375,28260
Mali11n,mpr,2046,27780
Mauritania10e,mpr,764,28043
Mauritania10n,mpr,1469,27920
Mexico14e,mpr,1227,27981
Mexico14n,mpr,1890,28546
Mongolia13e,mpr,1548,27744
Mongolia13n,mpr,1778,27283
Niger12e,mpr,1534,27434
Niger12n,mpr,1988,27135
Peru13e,mpr,1308,26563
Peru13n,mpr,1907,26934
Russia17e,mpr,1894,27154
Russia17n,mpr,2544,27308
Sudao15e,mpr,1355,27365
Sudao15n,mpr,2382,26996
att48Ae,mpr,32805,27622
att48An,mpr,1589,27964
AfricaSul11e,mpr,1328,27021
AfricaSul11n,mpr,2026,27212
Angola12e,mpr,981,26377
Angola12n,mpr,1701,26694
Arabia14e,mpr,1458,27209
Arabia14n,mpr,2494,27637
Argelia15e,mpr,1377,27773
Argelia15n,mpr,2244,28062
Argentina16e,mpr,1383,27030
Argentina16n,mpr,2639,27524
Australia16e,mpr,1605,27613
Australia16n,mpr,2183,27658
Bolivia10e,mpr,1206,27372
Bolivia10n,mpr,1247,27061
Brasil16e,mpr,1782,27676
Brasil16n,mpr,2597,27883
BrasilAM26e,mpr,653,27563
BrasilAM26n,mpr,376,27907
BrasilMG30e,mpr,702,27647
BrasilMG30n,mpr,628,28252
BrasilPR25e,mpr,633,28372
BrasilRJ14e,mpr,337,26773
BrasilRJ14n,mpr,514,27039
BrasilRN16e,mpr,494,26901
Canada17e,mpr,2156,27609
Canada17n,mpr,3056,27372
Cazaquistao15e,mpr,1412,27339
Cazaquistao15n,mpr,2222,27383
Chade12e,mpr,1578,27571
Chade12n,mpr,2122,27386
China17e,mpr,1340,27446
China17n,mpr,1706,27433
Colombia11e,mpr,920,26289
Colombia11n,mpr,1094,26821
Congo15e,mpr,1299,27085
Congo15n,mpr,1822,26884
EUA17e,mpr,1178,27025
EUA17n,mpr,1777,27609
Egito9n,mpr,2043,27552
Etiopia10e,mpr,805,27049
Etiopia10n,mpr,1777,27267
India16e,mpr,1749,27498
India16n,mpr,2287,28050
Indonesia14e,mpr,1218,27879
Indonesia14n,mpr,1472,27731
Ira13e,mpr,1564,27622
Ira13n,mpr,1899,28149
Libia14e,mpr,799,26815
Libia14n,mpr,1209,28121
Mali11e,mpr,1375,28112
Mali11n,mpr,2077,28080
Mauritania10e,mpr,764,27609
Mauritania10n,mpr,1469,27317
Mexico14e,mpr,1541,28078
Mexico14n,mpr,2041,28379
Mongolia13e,mpr,1349,28068
Mongolia13n,mpr,1793,28023
Niger12e,mpr,1505,28035
Niger12n,mpr,2222,28217
Peru13e,mpr,1308,27659
Peru13n,mpr,1907,27362
Russia17e,mpr,1894,27163
Russia17n,mpr,2550,27455
Sudao15e,mpr,1355,27388
Sudao15n,mpr,2166,27104
att48Ae,mpr,33553,27922
att48An,mpr,1501,27828
AfricaSul11e,mpr,1251,26607
AfricaSul11n,mpr,1659,27076
Angola12e,mpr,981,26331
Angola12n,mpr,1701,26576
Arabia14e,mpr,1520,27262
Arabia14n,mpr,2588,28748
Argelia15e,mpr,1308,28690
Argelia15n,mpr,2016,27797
Argentina16e,mpr,1359,27296
Argentina16n,mpr,2639,27654
Australia16e,mpr,1710,28578
Australia16n,mpr,1967,28582
Bolivia10e,mpr,1206,27480
Bolivia10n,mpr,1247,27459
Brasil16e,mpr,1817,27506
Brasil16n,mpr,2597,27774
BrasilAM26e,mpr,659,28234
BrasilAM26n,mpr,362,28016
BrasilMG30e,mpr,710,28189
BrasilMG30n,mpr,669,28530
BrasilPR25e,mpr,629,28213
BrasilRJ14e,mpr,337,27367
BrasilRJ14n,mpr,486,27027
BrasilRN16e,mpr,494,27015
Canada17e,mpr,1927,27815
Canada17n,mpr,3164,28183
Cazaquistao15e,mpr,1417,27695
Cazaquistao15n,mpr,2794,27807
Chade12e,mpr,1548,28184
Chade12n,mpr,2207,27573
China17e,mpr,1291,27633
China17n,mpr,1624,28091
Colombia11e,mpr,963,27220
Colombia11n,mpr,1094,27706
Congo15e,mpr,1235,28361
Congo15n,mpr,1822,27511
EUA17e,mpr,1178,28373
EUA17n,mpr,1777,28266
Egito9n,mpr,2117,28299
Etiopia10e,mpr,877,27742
Etiopia10n,mpr,1786,28030
India16e,mpr,1749,28134
India16n,mpr,2408,28122
Indonesia14e,mpr,1252,28623
Indonesia14n,mpr,1506,28048
Ira13e,mpr,1513,27889
Ira13n,mpr,2318,27982
Libia14e,mpr,799,27041
Libia14n,mpr,1208,27730
Mali11e,mpr,1375,26971
Mali11n,mpr,2318,27237
Mauritania10e,mpr,749,26334
Mauritania10n,mpr,1469,26586
Mexico14e,mpr,1297,26949
Mexico14n,mpr,2107,27306
Mongolia13e,mpr,1255,27371
Mongolia13n,mpr,1793,27097
Niger12e,mpr,1459,27186
Niger12n,mpr,1795,27062
Peru13e,mpr,1308,26211
Peru13n,mpr,1907,26768
Russia17e,mpr,1894,27085
Russia17n,mpr,2827,27279
Sudao15e,mpr,1355,27037
Sudao15n,mpr,2103,27039
att48Ae,mpr,33660,27804
att48An,mpr,1984,27805
AfricaSul11e,mpr,1284,26727
AfricaSul11n,mpr,1754,27056
Angola12e,mpr,882,26437
Angola12n,mpr,1701,26397
Arabia14e,mpr,1637,27111
Arabia14n,mpr,2514,27154
Argelia15e,mpr,1137,27035
Argelia15n,mpr,2016,27693
Argentina16e,mpr,1383,27361
Argentina16n,mpr,2637,27509
Australia16e,mpr,1715,27602
Australia16n,mpr,1967,27150
Bolivia10e,mpr,1293,26502
Bolivia10n,mpr,1266,27043
Brasil16e,mpr,1902,27397
Brasil16n,mpr,2597,27606
BrasilAM26e,mpr,634,27558
BrasilAM26n,mpr,747,27287
BrasilMG30e,mpr,695,27584
BrasilMG30n,mpr,480,27692
BrasilPR25e,mpr,609,27390
BrasilRJ14e,mpr,332,26875
BrasilRJ14n,mpr,514,27273
BrasilRN16e,mpr,474,27035
Canada17e,mpr,1927,27674
Canada17n,mpr,3259,27619
Cazaquistao15e,mpr,1461,27690
Cazaquistao15n,mpr,2794,27479
Chade12e,mpr,1345,27723
Chade12n,mpr,2013,27625
China17e,mpr,1291,27521
China17n,mpr,1624,27833
Colombia11e,mpr,963,26606
Colombia11n,mpr,1094,26892
Congo15e,mpr,1299,27294
Congo15n,mpr,1794,27296
EUA17e,mpr,1178,27233
EUA17n,mpr,1697,28075
Egito9n,mpr,2114,29207
Etiopia10e,mpr,874,28084
Etiopia10n,mpr,1441,28485
India16e,mpr,1877,28543
India16n,mpr,2408,28157
Indonesia14e,mpr,1361,28307
Indonesia14n,mpr,1396,28490
Ira13e,mpr,1524,27732
Ira13n,mpr,1905,27828
Libia14e,mpr,799,26819
Libia14n,mpr,1209,28400
Mali11e,mpr,1231,27797
Mali11n,mpr,2077,28073
Mauritania10e,mpr,764,27928
Mauritania10n,mpr,1469,28555
Mexico14e,mpr,1207,28048
Mexico14n,mpr,2053,27722
Mongolia13e,mpr,1467,27857
Mongolia13n,mpr,1644,27540
Niger12e,mpr,1459,27626
Niger12n,mpr,2129,27801
Peru13e,mpr,1308,26937
Peru13n,mpr,1907,29436
Russia17e,mpr,1894,29006
Russia17n,mpr,2557,28507
Sudao15e,mpr,1355,28442
Sudao15n,mpr,2611,28451
att48Ae,mpr,32983,30040
att48An,mpr,2403,29759
AfricaSul11e,mpr,1224,27496
AfricaSul11n,mpr,1754,28046
Angola12e,mpr,981,27121
Angola12n,mpr,1701,27271
Arabia14e,mpr,1371,27980
Arabia14n,mpr,2556,28106
Argelia15e,mpr,1374,28067
Argelia15n,mpr,2207,27740
Argentina16e,mpr,1303,27199
Argentina16n,mpr,2639,27582
Australia16e,mpr,1755,27675
Australia16n,mpr,2180,27794
Bolivia10e,mpr,1210,27500
Bolivia10n,mpr,1247,27253
Brasil16e,mpr,1808,27857
Brasil16n,mpr,2626,28240
BrasilAM26e,mpr,615,28109
BrasilAM26n,mpr,349,28321
BrasilMG30e,mpr,688,28291
BrasilMG30n,mpr,466,28517
BrasilPR25e,mpr,652,28002
BrasilRJ14e,mpr,337,26992
BrasilRJ14n,mpr,514,27048
BrasilRN16e,mpr,494,27991
Canada17e,mpr,1954,27356
Canada17n,mpr,3221,27445
Cazaquistao15e,mpr,1440,27283
Cazaquistao15n,mpr,2811,27140
Chade12e,mpr,1448,27139
Chade12n,mpr,2272,27181
China17e,mpr,1368,27178
China17n,mpr,1703,27415
Colombia11e,mpr,963,26167
Colombia11n,mpr,1094,26487
Congo15e,mpr,1278,26592
Congo15n,mpr,1822,27025
EUA17e,mpr,1178,26969
EUA17n,mpr,1678,27476
Egito9n,mpr,1966,26980
Etiopia10e,mpr,820,26749
Etiopia10n,mpr,1557,26859
India16e,mpr,1749,27086
India16n,mpr,2287,27133
Indonesia14e,mpr,1239,27175
Indonesia14n,mpr,1543,27086
Ira13e,mpr,1652,26874
Ira13n,mpr,2072,27142
Libia14e,mpr,799,26214
Libia14n,mpr,1208,26859
Mali11e,mpr,1179,26940
Mali11n,mpr,1883,26886
Mauritania10e,mpr,764,26389
Mauritania10n,mpr,1469,26267
Mexico14e,mpr,1227,27043
