instance,strategy,result,time
AfricaSul11n,mpr,2182,27502
Angola12n,mpr,1701,26571
Arabia14n,mpr,2494,27110
Argelia15n,mpr,2016,27111
Argentina16n,mpr,2639,26896
Australia16n,mpr,1980,27418
Bolivia10n,mpr,1430,26911
Brasil16n,mpr,2797,28654
BrasilAM26n,mpr,375,27756
BrasilMG30n,mpr,499,28351
BrasilRJ14n,mpr,486,27249
Canada17n,mpr,3221,27608
Cazaquistao15n,mpr,2564,27652
Chade12n,mpr,2182,27730
China17n,mpr,1803,27915
Colombia11n,mpr,1094,26995
Congo15n,mpr,1822,27465
EUA17n,mpr,1777,28100
Egito9n,mpr,1958,28281
Etiopia10n,mpr,1532,27458
India16n,mpr,2287,27658
Indonesia14n,mpr,1790,27648
Ira13n,mpr,2051,27658
Libia14n,mpr,1209,27540
Mali11n,mpr,2263,28912
Mauritania10n,mpr,1469,28295
Mexico14n,mpr,2031,28454
Mongolia13n,mpr,1778,27530
Niger12n,mpr,1988,27432
Peru13n,mpr,1844,26986
Russia17n,mpr,2720,27271
Sudao15n,mpr,2611,27296
att48An,mpr,1498,27849
AfricaSul11n,mpr,2026,27375
Angola12n,mpr,1701,26795
Arabia14n,mpr,2524,27345
Argelia15n,mpr,2016,27830
Argentina16n,mpr,2639,27232
Australia16n,mpr,2010,27458
Bolivia10n,mpr,1370,27613
Brasil16n,mpr,2411,27882
BrasilAM26n,mpr,612,27722
BrasilMG30n,mpr,553,27742
BrasilRJ14n,mpr,512,27226
Canada17n,mpr,3221,27554
Cazaquistao15n,mpr,2278,27254
Chade12n,mpr,2354,27347
China17n,mpr,1624,27435
Colombia11n,mpr,1094,26796
Congo15n,mpr,1761,27273
EUA17n,mpr,1777,27395
Egito9n,mpr,2029,27472
Etiopia10n,mpr,1584,27233
India16n,mpr,2344,27467
Indonesia14n,mpr,1472,27683
Ira13n,mpr,2051,27619
Libia14n,mpr,1209,27723
Mali11n,mpr,2012,28127
Mauritania10n,mpr,1469,27969
Mexico14n,mpr,1895,28558
Mongolia13n,mpr,1923,28079
Niger12n,mpr,1733,28135
Peru13n,mpr,1907,27588
Russia17n,mpr,2792,27494
Sudao15n,mpr,2194,27260
att48An,mpr,1696,27898
AfricaSul11n,mpr,2026,27226
Angola12n,mpr,1701,26554
Arabia14n,mpr,2319,27651
Argelia15n,mpr,2207,28903
Argentina16n,mpr,2639,27229
Australia16n,mpr,1771,28609
Bolivia10n,mpr,1247,27653
Brasil16n,mpr,2652,27965
BrasilAM26n,mpr,351,28141
BrasilMG30n,mpr,809,28193
BrasilRJ14n,mpr,486,27576
Canada17n,mpr,3221,27956
Cazaquistao15n,mpr,2599,27779
Chade12n,mpr,2026,28204
China17n,mpr,1725,27977
Colombia11n,mpr,1094,27764
Congo15n,mpr,1822,28025
EUA17n,mpr,1777,28435
Egito9n,mpr,1992,28366
Etiopia10n,mpr,1786,28015
India16n,mpr,2287,28180
Indonesia14n,mpr,1543,27994
Ira13n,mpr,2188,27962
Libia14n,mpr,1209,28021
Mali11n,mpr,2197,27107
Mauritania10n,mpr,1469,26708
Mexico14n,mpr,2025,27104
Mongolia13n,mpr,1899,26817
Niger12n,mpr,1816,26956
Peru13n,mpr,1907,26947
Russia17n,mpr,2880,27242
Sudao15n,mpr,2494,27233
att48An,mpr,1544,27905
AfricaSul11n,mpr,1934,27133
Angola12n,mpr,1701,26301
Arabia14n,mpr,2659,26961
Argelia15n,mpr,2247,27035
Argentina16n,mpr,2639,26910
Australia16n,mpr,2363,27182
Bolivia10n,mpr,1430,26830
Brasil16n,mpr,2597,27457
BrasilAM26n,mpr,382,27680
BrasilMG30n,mpr,518,27682
BrasilRJ14n,mpr,486,27099
Canada17n,mpr,3221,27606
Cazaquistao15n,mpr,2506,27597
Chade12n,mpr,2063,27760
China17n,mpr,1668,27727
Colombia11n,mpr,1094,27011
Congo15n,mpr,1794,27419
EUA17n,mpr,1679,27759
Egito9n,mpr,2043,27801
Etiopia10n,mpr,1786,28762
India16n,mpr,2158,28117
Indonesia14n,mpr,1472,27805
Ira13n,mpr,1905,27824
Libia14n,mpr,1209,27567
Mali11n,mpr,2376,28206
Mauritania10n,mpr,1469,28312
Mexico14n,mpr,2034,28581
Mongolia13n,mpr,1778,27725
Niger12n,mpr,1988,27597
Peru13n,mpr,1907,27319
Russia17n,mpr,2357,29512
Sudao15n,mpr,2382,28779
att48An,mpr,1562,30172
AfricaSul11n,mpr,2182,28231
Angola12n,mpr,1701,27287
Arabia14n,mpr,2416,28368
Argelia15n,mpr,2207,28204
Argentina16n,mpr,2639,27608
Australia16n,mpr,2049,27733
Bolivia10n,mpr,1247,27429
Brasil16n,mpr,2597,28298
BrasilAM26n,mpr,326,28303
BrasilMG30n,mpr,613,28474
BrasilRJ14n,mpr,516,27118
Canada17n,mpr,3221,27517
Cazaquistao15n,mpr,2386,27401
Chade12n,mpr,1941,27646
China17n,mpr,1751,27984
Colombia11n,mpr,1094,26385
Congo15n,mpr,1822,26902
EUA17n,mpr,1678,27363
Egito9n,mpr,2145,27285
Etiopia10n,mpr,2236,26968
India16n,mpr,2394,27190
Indonesia14n,mpr,1540,26960
Ira13n,mpr,2222,27049
Libia14n,mpr,1209,27057
Mali11n,mpr,2012,26897
Mauritania10n,mpr,1469,26689
Mexico14n,mpr,2112,27291
Mongolia13n,mpr,1693,27006
Niger12n,mpr,1736,27122
Peru13n,mpr,1907,26903
Russia17n,mpr,2551,27126
Sudao15n,mpr,2303,26947
att48An,mpr,1507,27918
AfricaSul11n,mpr,2182,26859
Angola12n,mpr,1701,26707
Arabia14n,mpr,2355,27054
Argelia15n,mpr,2207,27163
Argentina16n,mpr,2639,26754
Australia16n,mpr,1964,27110
