instance,strategy,result,time
AfricaSul11e,om,417,38658
AfricaSul11n,om,574,39651
Angola12e,om,541,39925
Angola12n,om,448,40358
Arabia14e,om,654,40910
Arabia14n,om,871,41298
Argelia15e,om,632,41190
Argelia15n,om,714,40937
Argentina16e,om,789,41295
Argentina16n,om,895,41376
Australia16e,om,870,41221
Australia16n,om,628,41412
Bolivia10e,om,386,39627
Bolivia10n,om,489,40027
Brasil16e,om,856,41601
Brasil16n,om,883,41119
BrasilAM26e,om,412,44418
BrasilAM26n,om,160,44892
BrasilMG30e,om,409,46741
BrasilMG30n,om,216,46074
BrasilPR25e,om,401,44326
BrasilRJ14e,om,233,40386
BrasilRJ14n,om,107,40072
BrasilRN16e,om,319,40487
Canada17e,om,959,41741
Canada17n,om,1091,41474
Cazaquistao15e,om,845,41027
Cazaquistao15n,om,1026,41848
Chade12e,om,672,41099
Chade12n,om,719,40292
China17e,om,787,41296
China17n,om,837,42188
Colombia11e,om,474,40420
Colombia11n,om,523,40209
Congo15e,om,663,40484
Congo15n,om,669,40479
EUA17e,om,675,42229
EUA17n,om,687,40989
Egito9n,om,594,39043
Etiopia10n,om,414,39811
India16e,om,1022,40893
India16n,om,916,41818
Indonesia14e,om,565,40829
Indonesia14n,om,605,39893
Ira13e,om,722,39997
Ira13n,om,778,40628
Libia14e,om,620,41250
Libia14n,om,527,41452
Mali11e,om,488,39475
Mali11n,om,500,39621
Mauritania10e,om,441,39916
Mauritania10n,om,309,39711
Mexico14e,om,583,41295
Mexico14n,om,777,40768
Mongolia13e,om,615,40200
Mongolia13n,om,592,40101
Niger12e,om,614,40412
Niger12n,om,629,40235
Peru13e,om,600,40631
Peru13n,om,566,41072
Russia17e,om,978,42223
Russia17n,om,863,40912
Sudao15e,om,652,40000
Sudao15n,om,871,41047
AfricaSul11e,om,417,40001
AfricaSul11n,om,621,40271
Angola12e,om,529,40770
Angola12n,om,451,40683
Arabia14e,om,694,41317
Arabia14n,om,939,40916
Argelia15e,om,614,41037
Argelia15n,om,705,40291
Argentina16e,om,789,40413
Argentina16n,om,775,40464
Australia16e,om,884,41006
Australia16n,om,628,41913
Bolivia10e,om,386,39711
Brasil16e,om,722,42358
Brasil16n,om,878,41386
BrasilAM26e,om,426,44723
BrasilAM26n,om,151,46286
BrasilMG30e,om,411,48134
BrasilMG30n,om,228,47555
BrasilPR25e,om,401,44645
BrasilRJ14e,om,245,40412
BrasilRJ14n,om,107,40780
BrasilRN16e,om,308,41556
Canada17e,om,879,41584
Canada17n,om,1126,41537
Cazaquistao15e,om,812,41948
Cazaquistao15n,om,938,41062
Chade12e,om,733,40097
Chade12n,om,851,40669
China17e,om,807,41859
China17n,om,792,41423
Colombia11e,om,474,40097
Colombia11n,om,483,40483
Congo15e,om,663,41322
Congo15n,om,669,41107
EUA17e,om,710,41433
EUA17n,om,689,41255
Egito9n,om,594,39247
Etiopia10n,om,414,39451
India16e,om,977,41542
India16n,om,940,41680
Indonesia14e,om,560,40947
Indonesia14n,om,592,40243
Ira13e,om,631,40469
Ira13n,om,771,40081
Libia14e,om,611,41279
Libia14n,om,511,40957
Mali11e,om,488,39537
Mali11n,om,512,45506
Mauritania10e,om,441,39514
Mauritania10n,om,307,39106
Mexico14e,om,523,41294
Mexico14n,om,791,41296
Mongolia13e,om,613,40622
Mongolia13n,om,568,40492
Niger12e,om,614,40208
Niger12n,om,629,39906
Peru13e,om,600,40356
Peru13n,om,556,40671
Russia17e,om,988,41783
Russia17n,om,890,41253
Sudao15e,om,642,41769
Sudao15n,om,903,40355
AfricaSul11e,om,417,39650
AfricaSul11n,om,602,40359
Angola12e,om,508,40848
Angola12n,om,449,40835
Arabia14e,om,762,41767
Arabia14n,om,850,41249
Argelia15e,om,614,41127
Argelia15n,om,693,41149
Argentina16e,om,789,41113
Argentina16n,om,773,42462
Australia16e,om,830,41872
Australia16n,om,629,42294
Bolivia10e,om,459,39851
Brasil16e,om,722,42507
Brasil16n,om,874,41912
BrasilAM26e,om,411,44423
BrasilAM26n,om,156,44842
BrasilMG30e,om,409,46931
BrasilMG30n,om,237,46868
BrasilPR25e,om,431,44224
BrasilRJ14e,om,238,39869
BrasilRJ14n,om,111,40404
BrasilRN16e,om,308,41637
Canada17e,om,968,40750
Canada17n,om,992,40870
Cazaquistao15e,om,757,41377
Cazaquistao15n,om,1060,40385
Chade12e,om,672,39704
