instance,strategy,result,time
AfricaSul11e,om,417,38910
AfricaSul11n,om,604,39427
Angola12e,om,508,40016
Angola12n,om,451,39859
Arabia14e,om,774,40240
Arabia14n,om,816,40343
Argelia15e,om,614,40427
Argelia15n,om,702,40276
Argentina16e,om,789,40545
Argentina16n,om,806,40624
Australia16e,om,801,40303
Australia16n,om,661,40798
Bolivia10e,om,386,38818
Bolivia10n,om,489,39417
Brasil16e,om,722,41523
Brasil16n,om,1084,40453
BrasilAM26e,om,412,43593
BrasilAM26n,om,151,44139
BrasilMG30e,om,409,45866
BrasilMG30n,om,216,45423
BrasilPR25e,om,436,42936
BrasilRJ14e,om,238,39582
BrasilRJ14n,om,109,39939
BrasilRN16e,om,319,40335
Canada17e,om,992,41081
Canada17n,om,1205,41311
Cazaquistao15e,om,845,40997
Cazaquistao15n,om,958,41779
Chade12e,om,672,41356
Chade12n,om,760,40803
China17e,om,812,41712
China17n,om,786,42590
Colombia11e,om,474,40125
Colombia11n,om,527,40116
Congo15e,om,713,40828
Congo15n,om,669,40827
EUA17e,om,675,42553
EUA17n,om,689,40935
Egito9n,om,594,39042
Etiopia10e,om,308,39475
Etiopia10n,om,414,40073
India16e,om,927,41443
India16n,om,929,40559
Indonesia14e,om,595,40344
Indonesia14n,om,607,40508
Ira13e,om,733,40587
Ira13n,om,778,39913
Libia14e,om,611,40969
Libia14n,om,511,40537
Mali11e,om,455,39626
Mali11n,om,499,40096
Mauritania10e,om,441,39970
Mauritania10n,om,306,40533
Mexico14e,om,596,40966
Mexico14n,om,749,40250
Mongolia13e,om,615,40564
Mongolia13n,om,559,40798
Niger12e,om,604,40313
Niger12n,om,629,40149
Peru13e,om,636,40579
Peru13n,om,557,40470
Russia17e,om,975,41347
Russia17n,om,896,41496
Sudao15e,om,619,41459
Sudao15n,om,876,40922
att48Ae,om,26967,58522
att48An,om,842,60712
AfricaSul11e,om,416,39057
AfricaSul11n,om,584,40040
Angola12e,om,508,40151
Angola12n,om,451,39898
Arabia14e,om,763,40242
Arabia14n,om,826,40489
Argelia15e,om,605,40385
Argelia15n,om,717,40159
Argentina16e,om,789,40522
Argentina16n,om,833,40412
Australia16e,om,891,40990
Australia16n,om,628,42613
Bolivia10e,om,386,39482
Brasil16e,om,722,42313
Brasil16n,om,865,41707
BrasilAM26e,om,391,45224
BrasilAM26n,om,161,44666
BrasilMG30e,om,409,47343
BrasilMG30n,om,203,47251
BrasilPR25e,om,407,44100
BrasilRJ14e,om,238,40639
BrasilRJ14n,om,105,41085
BrasilRN16e,om,319,41469
Canada17e,om,1147,42230
Canada17n,om,1028,41846
Cazaquistao15e,om,783,40859
Cazaquistao15n,om,1103,40255
Chade12e,om,706,39846
Chade12n,om,724,39484
China17e,om,789,41298
China17n,om,838,40713
Colombia11e,om,474,39481
Colombia11n,om,532,39723
Congo15e,om,657,40715
Congo15n,om,669,41025
EUA17e,om,675,41296
EUA17n,om,687,40442
Egito9n,om,609,38695
