instance,strategy,result,time
AfricaSul11e,om,417,38658
Angola12e,om,541,39925
Arabia14e,om,654,40910
Argelia15e,om,632,41190
Argentina16e,om,789,41295
Australia16e,om,870,41221
Bolivia10e,om,386,39627
Brasil16e,om,856,41601
BrasilAM26e,om,412,44418
BrasilMG30e,om,409,46741
BrasilPR25e,om,401,44326
BrasilRJ14e,om,233,40386
BrasilRN16e,om,319,40487
Canada17e,om,959,41741
Cazaquistao15e,om,845,41027
Chade12e,om,672,41099
China17e,om,787,41296
Colombia11e,om,474,40420
Congo15e,om,663,40484
EUA17e,om,675,42229
India16e,om,1022,40893
Indonesia14e,om,565,40829
Ira13e,om,722,39997
Libia14e,om,620,41250
Mali11e,om,488,39475
Mauritania10e,om,441,39916
Mexico14e,om,583,41295
Mongolia13e,om,615,40200
Niger12e,om,614,40412
Peru13e,om,600,40631
Russia17e,om,978,42223
Sudao15e,om,652,40000
AfricaSul11e,om,417,40001
Angola12e,om,529,40770
Arabia14e,om,694,41317
Argelia15e,om,614,41037
Argentina16e,om,789,40413
Australia16e,om,884,41006
Bolivia10e,om,386,39711
Brasil16e,om,722,42358
BrasilAM26e,om,426,44723
BrasilMG30e,om,411,48134
BrasilPR25e,om,401,44645
BrasilRJ14e,om,245,40412
BrasilRN16e,om,308,41556
Canada17e,om,879,41584
Cazaquistao15e,om,812,41948
Chade12e,om,733,40097
China17e,om,807,41859
Colombia11e,om,474,40097
Congo15e,om,663,41322
EUA17e,om,710,41433
India16e,om,977,41542
Indonesia14e,om,560,40947
Ira13e,om,631,40469
Libia14e,om,611,41279
Mali11e,om,488,39537
Mauritania10e,om,441,39514
Mexico14e,om,523,41294
Mongolia13e,om,613,40622
Niger12e,om,614,40208
Peru13e,om,600,40356
Russia17e,om,988,41783
Sudao15e,om,642,41769
AfricaSul11e,om,417,39650
Angola12e,om,508,40848
Arabia14e,om,762,41767
Argelia15e,om,614,41127
Argentina16e,om,789,41113
Australia16e,om,830,41872
Bolivia10e,om,459,39851
Brasil16e,om,722,42507
BrasilAM26e,om,411,44423
BrasilMG30e,om,409,46931
BrasilPR25e,om,431,44224
BrasilRJ14e,om,238,39869
BrasilRN16e,om,308,41637
Canada17e,om,968,40750
Cazaquistao15e,om,757,41377
Chade12e,om,672,39704
China17e,om,812,40874
Colombia11e,om,474,39539
Congo15e,om,663,40522
EUA17e,om,675,41408
Etiopia10e,om,286,38985
India16e,om,925,40619
Indonesia14e,om,577,40042
Ira13e,om,731,39774
Libia14e,om,611,40522
Mali11e,om,513,39329
Mauritania10e,om,441,39080
Mexico14e,om,654,40009
Mongolia13e,om,615,40534
Niger12e,om,665,40209
Peru13e,om,600,40418
Russia17e,om,946,41914
Sudao15e,om,652,41603
AfricaSul11e,om,417,39057
Angola12e,om,508,40757
Arabia14e,om,732,40614
Argelia15e,om,614,40939
