instance,strategy,result,time
AfricaSul11n,om,574,39651
Angola12n,om,448,40358
Arabia14n,om,871,41298
Argelia15n,om,714,40937
Argentina16n,om,895,41376
Australia16n,om,628,41412
Bolivia10n,om,489,40027
Brasil16n,om,883,41119
BrasilAM26n,om,160,44892
BrasilMG30n,om,216,46074
BrasilRJ14n,om,107,40072
Canada17n,om,1091,41474
Cazaquistao15n,om,1026,41848
Chade12n,om,719,40292
China17n,om,837,42188
Colombia11n,om,523,40209
Congo15n,om,669,40479
EUA17n,om,687,40989
Egito9n,om,594,39043
Etiopia10n,om,414,39811
India16n,om,916,41818
Indonesia14n,om,605,39893
Ira13n,om,778,40628
Libia14n,om,527,41452
Mali11n,om,500,39621
Mauritania10n,om,309,39711
Mexico14n,om,777,40768
Mongolia13n,om,592,40101
Niger12n,om,629,40235
Peru13n,om,566,41072
Russia17n,om,863,40912
Sudao15n,om,871,41047
AfricaSul11n,om,621,40271
Angola12n,om,451,40683
Arabia14n,om,939,40916
Argelia15n,om,705,40291
Argentina16n,om,775,40464
Australia16n,om,628,41913
Brasil16n,om,878,41386
BrasilAM26n,om,151,46286
BrasilMG30n,om,228,47555
BrasilRJ14n,om,107,40780
Canada17n,om,1126,41537
Cazaquistao15n,om,938,41062
Chade12n,om,851,40669
China17n,om,792,41423
Colombia11n,om,483,40483
Congo15n,om,669,41107
EUA17n,om,689,41255
Egito9n,om,594,39247
Etiopia10n,om,414,39451
India16n,om,940,41680
Indonesia14n,om,592,40243
Ira13n,om,771,40081
Libia14n,om,511,40957
Mali11n,om,512,45506
Mauritania10n,om,307,39106
Mexico14n,om,791,41296
Mongolia13n,om,568,40492
Niger12n,om,629,39906
Peru13n,om,556,40671
Russia17n,om,890,41253
Sudao15n,om,903,40355
AfricaSul11n,om,602,40359
Angola12n,om,449,40835
Arabia14n,om,850,41249
Argelia15n,om,693,41149
Argentina16n,om,773,42462
Australia16n,om,629,42294
Brasil16n,om,874,41912
BrasilAM26n,om,156,44842
BrasilMG30n,om,237,46868
BrasilRJ14n,om,111,40404
Canada17n,om,992,40870
Cazaquistao15n,om,1060,40385
Chade12n,om,764,39815
China17n,om,804,40640
Colombia11n,om,529,39274
Congo15n,om,669,40357
EUA17n,om,690,40776
Egito9n,om,594,38773
Etiopia10n,om,414,39824
India16n,om,908,40557
Indonesia14n,om,630,40134
Ira13n,om,778,39428
Libia14n,om,511,40156
Mali11n,om,501,39509
Mauritania10n,om,307,39209
Mexico14n,om,758,40363
Mongolia13n,om,615,40703
Niger12n,om,621,40187
Peru13n,om,556,40576
Russia17n,om,901,41465
Sudao15n,om,853,41069
AfricaSul11n,om,659,39424
Angola12n,om,445,40478
Arabia14n,om,965,41009
Argelia15n,om,713,41024
Argentina16n,om,750,40965
Australia16n,om,639,40709
Brasil16n,om,1129,40665
BrasilAM26n,om,158,44668
BrasilMG30n,om,221,46524
