instance,strategy,result,time
AfricaSul11e,ompr,417,105220
Angola12e,ompr,541,107518
Arabia14e,ompr,678,104509
Argelia15e,ompr,640,110287
Argentina16e,ompr,789,111856
Australia16e,ompr,1060,114027
Bolivia10e,ompr,386,99523
Brasil16e,ompr,814,108261
BrasilAM26e,ompr,454,140453
BrasilMG30e,ompr,416,144607
BrasilPR25e,ompr,437,135780
BrasilRJ14e,ompr,250,109700
BrasilRN16e,ompr,319,117817
Canada17e,ompr,1139,116988
Cazaquistao15e,ompr,797,108510
Chade12e,ompr,767,105825
China17e,ompr,879,112138
Colombia11e,ompr,474,103056
Congo15e,ompr,663,110207
EUA17e,ompr,675,116192
India16e,ompr,1061,113966
Indonesia14e,ompr,759,109124
Ira13e,ompr,764,109297
Libia14e,ompr,622,107344
Mali11e,ompr,544,105516
Mauritania10e,ompr,441,100872
Mexico14e,ompr,664,104953
Mongolia13e,ompr,712,108549
Niger12e,ompr,694,106793
Peru13e,ompr,636,108452
Russia17e,ompr,1061,113119
Sudao15e,ompr,652,107030
AfricaSul11e,ompr,417,100897
Angola12e,ompr,549,105708
Arabia14e,ompr,877,104560
Argelia15e,ompr,698,111106
Argentina16e,ompr,789,110953
Australia16e,ompr,902,116654
Bolivia10e,ompr,484,98791
Brasil16e,ompr,929,109666
BrasilAM26e,ompr,416,136292
BrasilMG30e,ompr,432,146132
BrasilPR25e,ompr,450,132743
BrasilRJ14e,ompr,250,108871
BrasilRN16e,ompr,319,115569
Canada17e,ompr,1309,115707
Cazaquistao15e,ompr,939,109739
Chade12e,ompr,837,105087
China17e,ompr,879,111329
Colombia11e,ompr,474,101084
Congo15e,ompr,663,109279
EUA17e,ompr,675,114991
Etiopia10e,ompr,308,96884
India16e,ompr,1100,117538
Indonesia14e,ompr,789,107576
Ira13e,ompr,845,106793
Libia14e,ompr,626,108331
Mali11e,ompr,544,105260
Mauritania10e,ompr,472,101581
Mexico14e,ompr,650,105268
Mongolia13e,ompr,720,106833
Niger12e,ompr,699,104432
Peru13e,ompr,636,107560
Russia17e,ompr,959,112356
Sudao15e,ompr,656,108545
AfricaSul11e,ompr,417,99859
Angola12e,ompr,543,104527
Arabia14e,ompr,846,102901
Argelia15e,ompr,605,107762
Argentina16e,ompr,789,110853
Australia16e,ompr,991,112528
Bolivia10e,ompr,478,97240
Brasil16e,ompr,856,105385
BrasilAM26e,ompr,434,134872
BrasilMG30e,ompr,439,142106
BrasilPR25e,ompr,442,133528
BrasilRJ14e,ompr,250,108003
BrasilRN16e,ompr,319,115961
Canada17e,ompr,1075,114807
Cazaquistao15e,ompr,908,109959
Chade12e,ompr,672,104778
China17e,ompr,878,115080
Colombia11e,ompr,474,99919
Congo15e,ompr,663,108323
EUA17e,ompr,675,115213
Etiopia10e,ompr,308,97713
India16e,ompr,1022,112689
Indonesia14e,ompr,587,105707
Ira13e,ompr,882,105298
Libia14e,ompr,622,106448
Mali11e,ompr,544,104647
Mauritania10e,ompr,472,102299
Mexico14e,ompr,677,107006
Mongolia13e,ompr,687,107073
Niger12e,ompr,666,104227
Peru13e,ompr,636,107034
