instance,strategy,result,time
AfricaSul11n,ompr,705,110612
Angola12n,ompr,451,105010
Arabia14n,ompr,856,108248
Argelia15n,ompr,769,114443
Argentina16n,ompr,839,114028
Australia16n,ompr,787,113858
Bolivia10n,ompr,525,99077
Brasil16n,ompr,920,112102
BrasilAM26n,ompr,162,137350
BrasilMG30n,ompr,228,144747
BrasilRJ14n,ompr,117,109726
Canada17n,ompr,1373,118879
Cazaquistao15n,ompr,1351,111504
Chade12n,ompr,980,104724
China17n,ompr,835,116388
Colombia11n,ompr,575,104296
Congo15n,ompr,669,111315
EUA17n,ompr,725,116361
Egito9n,ompr,624,102265
Etiopia10n,ompr,482,100629
India16n,ompr,1081,111531
Indonesia14n,ompr,682,108655
Ira13n,ompr,773,105498
Libia14n,ompr,566,109217
Mali11n,ompr,779,106177
Mauritania10n,ompr,307,98624
Mexico14n,ompr,1081,109772
Mongolia13n,ompr,621,106768
Niger12n,ompr,676,106310
Peru13n,ompr,639,107506
Russia17n,ompr,1094,113900
Sudao15n,ompr,936,113414
AfricaSul11n,ompr,732,105416
Angola12n,ompr,451,104332
Arabia14n,ompr,1116,106176
Argelia15n,ompr,822,112395
Argentina16n,ompr,976,115089
Australia16n,ompr,742,112311
Bolivia10n,ompr,525,97957
Brasil16n,ompr,1047,111288
BrasilAM26n,ompr,210,140313
BrasilMG30n,ompr,273,143641
BrasilRJ14n,ompr,117,108592
Canada17n,ompr,1268,117324
Cazaquistao15n,ompr,1147,110229
Chade12n,ompr,848,104473
China17n,ompr,827,116814
Colombia11n,ompr,551,101412
Congo15n,ompr,669,109230
EUA17n,ompr,702,116669
Egito9n,ompr,609,100138
Etiopia10n,ompr,482,101144
India16n,ompr,1057,110046
Indonesia14n,ompr,718,107662
Ira13n,ompr,1014,104133
Libia14n,ompr,566,109475
Mali11n,ompr,783,103428
Mauritania10n,ompr,307,97561
Mexico14n,ompr,931,107595
Mongolia13n,ompr,644,106289
Niger12n,ompr,643,104428
Peru13n,ompr,662,109031
Russia17n,ompr,1134,110149
Sudao15n,ompr,1033,107492
AfricaSul11n,ompr,690,102683
Angola12n,ompr,451,103319
Arabia14n,ompr,1203,107292
Argelia15n,ompr,776,110232
Argentina16n,ompr,868,115063
Australia16n,ompr,783,112243
Brasil16n,ompr,1249,113119
BrasilAM26n,ompr,180,135809
BrasilMG30n,ompr,266,145088
BrasilRJ14n,ompr,117,107733
Canada17n,ompr,1312,115767
Cazaquistao15n,ompr,1107,111699
Chade12n,ompr,780,105279
China17n,ompr,844,114726
Colombia11n,ompr,570,103048
Congo15n,ompr,728,110050
EUA17n,ompr,725,117149
Egito9n,ompr,624,100759
Etiopia10n,ompr,482,99977
India16n,ompr,907,110414
Indonesia14n,ompr,667,107685
Ira13n,ompr,1045,104256
Libia14n,ompr,566,107685
Mali11n,ompr,725,102398
Mauritania10n,ompr,307,97627
Mexico14n,ompr,1046,107684
Mongolia13n,ompr,644,106626
Niger12n,ompr,629,105375
Peru13n,ompr,590,104841
Russia17n,ompr,1031,111285
Sudao15n,ompr,891,109857
AfricaSul11n,ompr,690,102393
Angola12n,ompr,451,102781
Arabia14n,ompr,914,105445
Argelia15n,ompr,772,112408
Argentina16n,ompr,948,112736
Australia16n,ompr,787,110989
Brasil16n,ompr,1100,109985
BrasilAM26n,ompr,195,133911
BrasilMG30n,ompr,264,138303
BrasilRJ14n,ompr,131,107817
Canada17n,ompr,1246,115531
Cazaquistao15n,ompr,1367,111414
Chade12n,ompr,848,102072
China17n,ompr,805,114738
Colombia11n,ompr,581,102086
Congo15n,ompr,669,107549
EUA17n,ompr,713,114611
Egito9n,ompr,667,98925
Etiopia10n,ompr,482,99156
India16n,ompr,1141,113289
Indonesia14n,ompr,615,103572
Ira13n,ompr,773,103351
Libia14n,ompr,566,107612
Mali11n,ompr,779,104496
Mauritania10n,ompr,307,97368
Mexico14n,ompr,1111,109084
Mongolia13n,ompr,706,108716
Niger12n,ompr,667,104415
Peru13n,ompr,590,104644
Russia17n,ompr,1110,114742
Sudao15n,ompr,993,109952
AfricaSul11n,ompr,664,100345
Angola12n,ompr,451,103545
Arabia14n,ompr,1193,105816
Argelia15n,ompr,782,109326
Argentina16n,ompr,923,117168
Australia16n,ompr,1003,112867
Bolivia10n,ompr,554,99522
Brasil16n,ompr,1235,109916
BrasilAM26n,ompr,179,135875
BrasilMG30n,ompr,246,135683
BrasilRJ14n,ompr,117,107510
Canada17n,ompr,1453,117774
Cazaquistao15n,ompr,1219,112960
Chade12n,ompr,853,104275
China17n,ompr,814,114578
Colombia11n,ompr,540,100237
Congo15n,ompr,728,109338
EUA17n,ompr,725,114770
Egito9n,ompr,701,99416
Etiopia10n,ompr,482,99061
India16n,ompr,1302,111900
Indonesia14n,ompr,667,107381
Ira13n,ompr,1025,105475
Libia14n,ompr,566,107340
Mali11n,ompr,725,102151
Mauritania10n,ompr,307,97823
Mexico14n,ompr,1081,111669
Mongolia13n,ompr,621,104995
Niger12n,ompr,704,104077
Peru13n,ompr,635,103146
Russia17n,ompr,1274,113352
Sudao15n,ompr,913,109582
AfricaSul11n,ompr,712,105894
Angola12n,ompr,451,103248
Arabia14n,ompr,894,104753
Argelia15n,ompr,884,110023
Argentina16n,ompr,923,116827
Australia16n,ompr,798,112029
Bolivia10n,ompr,592,97458
Brasil16n,ompr,1332,111101
BrasilAM26n,ompr,204,139018
BrasilMG30n,ompr,268,145416
BrasilRJ14n,ompr,115,107251
Canada17n,ompr,1242,116865
Cazaquistao15n,ompr,1093,109391
Chade12n,ompr,991,106779
