instance,strategy,result,time
AfricaSul11e,ompr,417,105551
AfricaSul11n,ompr,689,107454
Angola12e,ompr,576,107566
Angola12n,ompr,451,106977
Arabia14e,ompr,749,108683
Arabia14n,ompr,1007,110786
Argelia15e,ompr,605,109689
Argelia15n,ompr,714,112336
Argentina16e,ompr,789,112338
Argentina16n,ompr,1009,114647
Australia16e,ompr,830,114165
Australia16n,ompr,751,114695
Bolivia10e,ompr,557,101304
Bolivia10n,ompr,525,98605
Brasil16e,ompr,808,107434
Brasil16n,ompr,1344,112701
BrasilAM26e,ompr,408,136695
BrasilAM26n,ompr,159,137697
BrasilMG30e,ompr,416,144138
BrasilMG30n,ompr,228,146659
BrasilPR25e,ompr,437,134824
BrasilRJ14e,ompr,250,109344
BrasilRJ14n,ompr,122,109682
BrasilRN16e,ompr,319,117716
Canada17e,ompr,1179,117223
Canada17n,ompr,1107,117153
Cazaquistao15e,ompr,960,110554
Cazaquistao15n,ompr,1354,113420
Chade12e,ompr,779,109015
Chade12n,ompr,735,103443
China17e,ompr,834,116882
China17n,ompr,817,116727
Colombia11e,ompr,474,101643
Colombia11n,ompr,570,104487
Congo15e,ompr,663,109449
Congo15n,ompr,669,109746
EUA17e,ompr,710,113370
EUA17n,ompr,710,116004
Egito9n,ompr,594,100274
Etiopia10e,ompr,308,96627
Etiopia10n,ompr,482,100670
India16e,ompr,1070,113137
India16n,ompr,1063,114779
Indonesia14e,ompr,643,108710
Indonesia14n,ompr,667,109537
Ira13e,ompr,883,109690
Ira13n,ompr,949,103688
Libia14e,ompr,622,107787
Libia14n,ompr,566,108787
Mali11e,ompr,544,105558
Mali11n,ompr,572,105168
Mauritania10e,ompr,455,100293
Mauritania10n,ompr,307,110293
Mexico14e,ompr,655,109354
Mexico14n,ompr,1007,112001
Mongolia13e,ompr,726,110261
Mongolia13n,ompr,644,108425
Niger12e,ompr,675,105806
Niger12n,ompr,632,105223
Peru13e,ompr,636,107446
Peru13n,ompr,747,107001
Russia17e,ompr,1108,115147
Russia17n,ompr,1149,116460
Sudao15e,ompr,742,111743
Sudao15n,ompr,948,111635
att48Ae,ompr,27112,200792
att48An,ompr,869,210171
AfricaSul11e,ompr,417,100307
AfricaSul11n,ompr,702,105056
Angola12e,ompr,576,105470
Angola12n,ompr,451,103414
Arabia14e,ompr,809,104716
Arabia14n,ompr,1101,110498
Argelia15e,ompr,750,110373
Argelia15n,ompr,767,111146
Argentina16e,ompr,789,113097
Argentina16n,ompr,923,118533
Australia16e,ompr,928,114661
Australia16n,ompr,876,112033
Bolivia10e,ompr,386,98094
Bolivia10n,ompr,525,99069
