instance,strategy,result,time
AfricaSul11e,opr,417,74924
Angola12e,opr,541,76671
Arabia14e,opr,774,75493
Argelia15e,opr,641,77187
Argentina16e,opr,789,79809
Australia16e,opr,1003,83262
Bolivia10e,opr,584,73100
Brasil16e,opr,893,74999
BrasilAM26e,opr,445,97771
BrasilMG30e,opr,474,103235
BrasilPR25e,opr,442,96300
BrasilRJ14e,opr,250,79004
BrasilRN16e,opr,319,85371
Canada17e,opr,1074,82780
Cazaquistao15e,opr,799,79981
Chade12e,opr,860,76904
China17e,opr,877,85200
Colombia11e,opr,474,73539
Congo15e,opr,713,81335
EUA17e,opr,675,82668
Etiopia10e,opr,308,68332
India16e,opr,1022,81925
Indonesia14e,opr,781,79101
Ira13e,opr,768,79624
Libia14e,opr,622,75562
Mali11e,opr,544,76184
Mauritania10e,opr,472,74603
Mexico14e,opr,709,74095
Mongolia13e,opr,675,78150
Niger12e,opr,726,75639
Peru13e,opr,636,78455
Russia17e,opr,1103,82603
Sudao15e,opr,813,78268
att48Ae,opr,27234,136616
AfricaSul11e,opr,417,72052
Angola12e,opr,541,76146
Arabia14e,opr,799,71808
Argelia15e,opr,678,79568
Argentina16e,opr,789,79831
Australia16e,opr,991,81927
Bolivia10e,opr,478,69496
Brasil16e,opr,808,75920
BrasilAM26e,opr,441,98932
BrasilMG30e,opr,416,102026
BrasilPR25e,opr,437,96814
BrasilRJ14e,opr,250,81145
BrasilRN16e,opr,329,83825
Canada17e,opr,1075,81428
Cazaquistao15e,opr,799,79278
Chade12e,opr,769,75191
China17e,opr,834,83312
Colombia11e,opr,474,77658
Congo15e,opr,663,77227
EUA17e,opr,675,81013
Etiopia10e,opr,308,67275
India16e,opr,1022,81349
Indonesia14e,opr,743,75756
Ira13e,opr,760,77628
Libia14e,opr,622,75260
Mali11e,opr,544,75505
Mauritania10e,opr,472,73645
Mexico14e,opr,711,74481
Mongolia13e,opr,675,77756
Niger12e,opr,698,73701
Peru13e,opr,636,77767
Russia17e,opr,1108,85121
Sudao15e,opr,652,76320
att48Ae,opr,27394,134068
AfricaSul11e,opr,417,71245
Angola12e,opr,551,75007
Arabia14e,opr,830,76753
Argelia15e,opr,714,79910
Argentina16e,opr,866,81450
Australia16e,opr,1033,81038
Bolivia10e,opr,484,69347
Brasil16e,opr,950,77164
BrasilAM26e,opr,455,101830
BrasilMG30e,opr,416,100121
BrasilPR25e,opr,451,94078
BrasilRJ14e,opr,250,77193
BrasilRN16e,opr,319,83224
Canada17e,opr,1377,83391
Cazaquistao15e,opr,783,79282
Chade12e,opr,819,75214
China17e,opr,839,81338
Colombia11e,opr,474,72168
Congo15e,opr,663,77076
EUA17e,opr,675,81352
Etiopia10e,opr,308,67673
India16e,opr,1097,82665
Indonesia14e,opr,751,76210
Ira13e,opr,760,78528
Libia14e,opr,626,76396
Mali11e,opr,544,76337
Mauritania10e,opr,472,74428
Mexico14e,opr,747,77557
Mongolia13e,opr,726,79249
Niger12e,opr,689,75733
Peru13e,opr,636,78912
Russia17e,opr,1044,83231
Sudao15e,opr,642,78882
att48Ae,opr,27234,135248
AfricaSul11e,opr,417,72792
Angola12e,opr,551,76871
Arabia14e,opr,896,74491
Argelia15e,opr,718,80796
Argentina16e,opr,789,79502
Australia16e,opr,933,84880
Bolivia10e,opr,484,70030
Brasil16e,opr,779,77502
BrasilAM26e,opr,469,99356
BrasilMG30e,opr,416,102090
BrasilPR25e,opr,451,93558
BrasilRJ14e,opr,250,77091
BrasilRN16e,opr,319,83292
Canada17e,opr,1337,83345
Cazaquistao15e,opr,863,76960
Chade12e,opr,802,75155
China17e,opr,834,83318
