instance,strategy,result,time
AfricaSul11n,opr,725,75470
Angola12n,opr,451,73453
Arabia14n,opr,1250,77448
Argelia15n,opr,822,81259
Argentina16n,opr,991,83579
Australia16n,opr,887,83798
Bolivia10n,opr,525,70070
Brasil16n,opr,1159,79459
BrasilAM26n,opr,191,98877
BrasilMG30n,opr,296,108388
BrasilRJ14n,opr,117,78942
Canada17n,opr,1033,84962
Cazaquistao15n,opr,1304,78603
Chade12n,opr,996,78547
China17n,opr,822,85437
Colombia11n,opr,575,76778
Congo15n,opr,728,82323
EUA17n,opr,714,84295
Egito9n,opr,670,71115
Etiopia10n,opr,482,73961
India16n,opr,1297,78200
Indonesia14n,opr,847,81963
Ira13n,opr,920,75411
Libia14n,opr,566,78534
Mali11n,opr,779,75963
Mauritania10n,opr,307,70755
Mexico14n,opr,873,77620
Mongolia13n,opr,712,79506
Niger12n,opr,667,77833
Peru13n,opr,717,80554
Russia17n,opr,1275,84866
Sudao15n,opr,985,80378
att48An,opr,935,144264
AfricaSul11n,opr,722,74262
Angola12n,opr,451,73580
Arabia14n,opr,1292,77471
Argelia15n,opr,778,79456
Argentina16n,opr,995,83842
Australia16n,opr,974,80053
Bolivia10n,opr,525,69990
Brasil16n,opr,950,79436
BrasilAM26n,opr,182,98930
BrasilMG30n,opr,289,108260
BrasilRJ14n,opr,119,78016
Canada17n,opr,1346,85389
Cazaquistao15n,opr,1571,81210
Chade12n,opr,780,74997
China17n,opr,844,83294
Colombia11n,opr,575,73308
Congo15n,opr,728,79316
EUA17n,opr,725,83381
Egito9n,opr,821,71132
Etiopia10n,opr,482,71789
India16n,opr,1081,79338
Indonesia14n,opr,773,81261
Ira13n,opr,773,73630
Libia14n,opr,566,77176
Mali11n,opr,840,77070
Mauritania10n,opr,307,70081
Mexico14n,opr,1001,78488
Mongolia13n,opr,663,78810
Niger12n,opr,794,75605
Peru13n,opr,635,77798
Russia17n,opr,1274,82534
Sudao15n,opr,964,81302
att48An,opr,865,143541
AfricaSul11n,opr,729,75002
Angola12n,opr,451,73468
Arabia14n,opr,1296,77720
Argelia15n,opr,741,79586
Argentina16n,opr,976,83433
Australia16n,opr,930,79092
Bolivia10n,opr,525,69334
Brasil16n,opr,961,79457
BrasilAM26n,opr,209,98077
BrasilMG30n,opr,279,104772
BrasilRJ14n,opr,136,77699
Canada17n,opr,1188,85400
Cazaquistao15n,opr,1466,81430
Chade12n,opr,893,75295
China17n,opr,827,83648
Colombia11n,opr,575,73340
Congo15n,opr,728,79327
EUA17n,opr,725,83280
Egito9n,opr,746,72313
Etiopia10n,opr,482,72717
India16n,opr,885,80639
Indonesia14n,opr,667,78345
Ira13n,opr,773,74429
Libia14n,opr,566,78412
Mali11n,opr,725,74543
Mauritania10n,opr,314,70190
