instance,strategy,result,time
AfricaSul11e,opr,417,74817
AfricaSul11n,opr,722,75091
Angola12e,opr,551,76676
Angola12n,opr,451,73144
Arabia14e,opr,975,74696
Arabia14n,opr,1110,76579
Argelia15e,opr,741,82734
Argelia15n,opr,769,80699
Argentina16e,opr,866,80670
Argentina16n,opr,990,82756
Australia16e,opr,981,82869
Australia16n,opr,642,82118
Bolivia10e,opr,584,73786
Bolivia10n,opr,638,71256
Brasil16e,opr,893,76827
Brasil16n,opr,1094,79595
BrasilAM26e,opr,445,100553
BrasilAM26n,opr,203,103882
BrasilMG30e,opr,425,101837
BrasilMG30n,opr,298,102365
BrasilPR25e,opr,442,96137
BrasilRJ14e,opr,250,79413
BrasilRJ14n,opr,123,78096
BrasilRN16e,opr,319,83879
Canada17e,opr,1321,81204
Canada17n,opr,1650,83306
Cazaquistao15e,opr,799,79605
Cazaquistao15n,opr,1304,77797
Chade12e,opr,778,75025
Chade12n,opr,780,75380
China17e,opr,839,81469
China17n,opr,814,83378
Colombia11e,opr,474,71747
Colombia11n,opr,575,75742
Congo15e,opr,663,78601
Congo15n,opr,728,80757
EUA17e,opr,675,83287
EUA17n,opr,724,84002
Egito9n,opr,624,71148
Etiopia10e,opr,308,67448
Etiopia10n,opr,482,73784
India16e,opr,1094,85924
India16n,opr,1071,83557
Indonesia14e,opr,748,75661
Indonesia14n,opr,740,77786
Ira13e,opr,768,78150
Ira13n,opr,773,74238
Libia14e,opr,622,75655
Libia14n,opr,566,77929
Mali11e,opr,544,76611
Mali11n,opr,779,75830
Mauritania10e,opr,472,74984
Mauritania10n,opr,307,70049
Mexico14e,opr,711,73825
Mexico14n,opr,1024,79451
Mongolia13e,opr,740,79557
Mongolia13n,opr,678,77553
Niger12e,opr,675,75494
Niger12n,opr,727,75698
Peru13e,opr,636,78588
Peru13n,opr,590,76477
Russia17e,opr,1076,83780
Russia17n,opr,1360,86557
Sudao15e,opr,813,78859
Sudao15n,opr,1048,82867
att48Ae,opr,27234,139013
att48An,opr,957,147079
AfricaSul11e,opr,417,72824
AfricaSul11n,opr,690,74487
Angola12e,opr,551,76532
Angola12n,opr,451,73987
Arabia14e,opr,939,74525
Arabia14n,opr,995,76834
Argelia15e,opr,791,78641
Argelia15n,opr,772,83267
Argentina16e,opr,789,79450
Argentina16n,opr,991,84007
Australia16e,opr,1013,84035
Australia16n,opr,875,80000
Bolivia10e,opr,484,69737
Bolivia10n,opr,525,69533
Brasil16e,opr,942,78193
Brasil16n,opr,1192,81548
BrasilAM26e,opr,443,98987
BrasilAM26n,opr,184,99227
BrasilMG30e,opr,432,105319
BrasilMG30n,opr,269,113904
BrasilPR25e,opr,451,100974
BrasilRJ14e,opr,273,82733
BrasilRJ14n,opr,119,79577
BrasilRN16e,opr,329,85529
Canada17e,opr,1358,83495
Canada17n,opr,1124,84810
Cazaquistao15e,opr,783,79037
Cazaquistao15n,opr,1284,81287
Chade12e,opr,860,75071
Chade12n,opr,771,73121
China17e,opr,879,79035
China17n,opr,870,85439
Colombia11e,opr,474,71383
Colombia11n,opr,575,73426
Congo15e,opr,663,77251
Congo15n,opr,669,77422
EUA17e,opr,675,81279
EUA17n,opr,724,83720
Egito9n,opr,728,72881
Etiopia10e,opr,308,69458
Etiopia10n,opr,482,72691
India16e,opr,1022,83049
India16n,opr,1014,82799
Indonesia14e,opr,756,76088
Indonesia14n,opr,682,77305
Ira13e,opr,967,77402
Ira13n,opr,1000,73507
Libia14e,opr,622,75004
Libia14n,opr,566,76906
Mali11e,opr,544,75273
Mali11n,opr,779,75094
Mauritania10e,opr,472,73188
Mauritania10n,opr,307,69753
Mexico14e,opr,715,75369
Mexico14n,opr,984,79565
Mongolia13e,opr,670,76955
Mongolia13n,opr,678,77235
Niger12e,opr,656,75009
Niger12n,opr,667,75284
Peru13e,opr,636,77131
Peru13n,opr,590,75260
Russia17e,opr,1106,85828
Russia17n,opr,1105,81909
Sudao15e,opr,808,79113
Sudao15n,opr,910,81971
att48Ae,opr,27234,135009
att48An,opr,960,145978
AfricaSul11e,opr,417,72600
AfricaSul11n,opr,763,76629
Angola12e,opr,541,74928
Angola12n,opr,451,73295
Arabia14e,opr,918,73909
Arabia14n,opr,1220,78974
Argelia15e,opr,641,79113
Argelia15n,opr,772,82830
Argentina16e,opr,789,81076
Argentina16n,opr,990,85178
Australia16e,opr,1031,82775
