instance,strategy,result,time
AfricaSul11e,ols,1231,55428
AfricaSul11n,ols,2182,56741
Angola12e,ols,882,54823
Angola12n,ols,1701,54825
Arabia14e,ols,1619,56840
Arabia14n,ols,2482,56986
Argelia15e,ols,1340,56859
Argelia15n,ols,2207,57360
Argentina16e,ols,1383,55439
Argentina16n,ols,2639,55960
Australia16e,ols,1678,57808
Australia16n,ols,2086,57324
Bolivia10e,ols,1260,55471
Bolivia10n,ols,1345,64188
Brasil16e,ols,1841,58058
Brasil16n,ols,2597,58567
BrasilAM26e,ols,669,60158
BrasilAM26n,ols,345,59488
BrasilMG30e,ols,733,60307
BrasilMG30n,ols,571,61633
BrasilPR25e,ols,659,59772
BrasilRJ14e,ols,337,56604
BrasilRJ14n,ols,516,56626
BrasilRN16e,ols,490,56745
Canada17e,ols,2060,58666
Canada17n,ols,3221,58715
Cazaquistao15e,ols,1364,58835
Cazaquistao15n,ols,2571,58558
Chade12e,ols,1417,58326
Chade12n,ols,2069,58308
China17e,ols,1291,58533
China17n,ols,1750,59276
Colombia11e,ols,963,55272
Colombia11n,ols,1094,55926
Congo15e,ols,1299,56542
Congo15n,ols,1822,57431
EUA17e,ols,1178,57215
EUA17n,ols,1679,58461
Egito9n,ols,2156,57455
Etiopia10e,ols,1049,56176
Etiopia10n,ols,1753,57333
India16e,ols,1749,58417
India16n,ols,2542,58505
Indonesia14e,ols,1226,58119
Indonesia14n,ols,1557,57445
Ira13e,ols,1564,57462
Ira13n,ols,2071,58452
Libia14e,ols,799,55512
Libia14n,ols,1209,57582
Mali11e,ols,1424,56836
Mali11n,ols,2387,57578
Mauritania10e,ols,764,55376
Mauritania10n,ols,1469,55441
Mexico14e,ols,1224,57663
Mexico14n,ols,2319,58817
Mongolia13e,ols,1326,58343
Mongolia13n,ols,1888,57184
Niger12e,ols,1534,57521
Niger12n,ols,2129,57568
Peru13e,ols,1308,56287
Peru13n,ols,1907,57121
Russia17e,ols,1894,58296
Russia17n,ols,2993,59010
Sudao15e,ols,1564,58885
Sudao15n,ols,2611,58324
att48Ae,ols,32953,60445
att48An,ols,1537,61515
AfricaSul11e,ols,1330,56665
AfricaSul11n,ols,2026,57901
Angola12e,ols,981,55727
Angola12n,ols,1701,56162
Arabia14e,ols,1624,57783
Arabia14n,ols,2525,57813
Argelia15e,ols,1258,58350
Argelia15n,ols,2112,58337
Argentina16e,ols,1383,56855
Argentina16n,ols,2639,57262
Australia16e,ols,1678,58728
Australia16n,ols,1968,58412
Bolivia10e,ols,1388,56821
Bolivia10n,ols,1247,56419
Brasil16e,ols,1877,58855
Brasil16n,ols,2597,59056
BrasilAM26e,ols,663,60110
BrasilAM26n,ols,536,60174
