instance,strategy,result,time
AfricaSul11e,ols,1232,38599
Angola12e,ols,981,37888
Arabia14e,ols,1681,39012
Argelia15e,ols,1374,39385
Argentina16e,ols,1383,38300
Australia16e,ols,1829,39497
Bolivia10e,ols,1293,38164
Brasil16e,ols,1665,39079
BrasilAM26e,ols,645,40243
BrasilMG30e,ols,720,40488
BrasilPR25e,ols,668,40668
BrasilRJ14e,ols,337,38238
BrasilRN16e,ols,474,39643
Canada17e,ols,2060,39127
Cazaquistao15e,ols,1461,40301
Chade12e,ols,1639,40009
China17e,ols,1396,39642
Colombia11e,ols,963,39012
Congo15e,ols,1278,37726
EUA17e,ols,1178,37828
Etiopia10e,ols,833,39540
India16e,ols,1877,38644
Indonesia14e,ols,1233,38409
Ira13e,ols,1652,38336
Libia14e,ols,799,37115
Mali11e,ols,1298,38545
Mauritania10e,ols,764,37009
Mexico14e,ols,1190,39358
Mongolia13e,ols,1404,41850
Niger12e,ols,1398,42645
Peru13e,ols,1308,39673
Russia17e,ols,1894,39320
Sudao15e,ols,1355,39248
AfricaSul11e,ols,1328,38694
Angola12e,ols,882,37850
Arabia14e,ols,1631,39061
Argelia15e,ols,1475,39249
Argentina16e,ols,1303,38246
Australia16e,ols,1823,39201
Bolivia10e,ols,1326,38928
Brasil16e,ols,2011,39185
BrasilAM26e,ols,674,40005
BrasilMG30e,ols,718,40006
BrasilPR25e,ols,655,39479
BrasilRJ14e,ols,337,38036
BrasilRN16e,ols,494,38339
Canada17e,ols,2275,39990
Cazaquistao15e,ols,1485,39216
Chade12e,ols,1362,38980
China17e,ols,1368,39261
Colombia11e,ols,963,38878
Congo15e,ols,1299,38071
EUA17e,ols,1178,38858
Etiopia10e,ols,876,40903
India16e,ols,1749,41209
Indonesia14e,ols,1330,41203
Ira13e,ols,1669,39123
Libia14e,ols,799,38137
Mali11e,ols,1340,38596
Mauritania10e,ols,764,37105
Mexico14e,ols,1243,39579
Mongolia13e,ols,1245,40455
Niger12e,ols,1523,41185
Peru13e,ols,1230,40376
Russia17e,ols,1894,39722
Sudao15e,ols,1396,39164
AfricaSul11e,ols,1330,38457
Angola12e,ols,981,38270
Arabia14e,ols,1613,38508
Argelia15e,ols,1377,38315
Argentina16e,ols,1303,38169
Australia16e,ols,1636,39238
Bolivia10e,ols,1245,38892
Brasil16e,ols,1777,39170
BrasilAM26e,ols,681,39657
BrasilMG30e,ols,720,39426
BrasilPR25e,ols,646,39455
BrasilRJ14e,ols,337,37560
BrasilRN16e,ols,494,37572
Canada17e,ols,2275,38782
Cazaquistao15e,ols,1461,38707
Chade12e,ols,1429,38848
China17e,ols,1368,39419
Colombia11e,ols,963,37607
Congo15e,ols,1299,38285
EUA17e,ols,1178,38691
Etiopia10e,ols,1014,38578
India16e,ols,1749,39442
Indonesia14e,ols,1361,38485
Ira13e,ols,1652,38974
Libia14e,ols,799,37327
Mali11e,ols,1455,39067
Mauritania10e,ols,764,37612
Mexico14e,ols,1244,39127
Mongolia13e,ols,1548,45037
Niger12e,ols,1398,39416
Peru13e,ols,1308,38251
Russia17e,ols,1894,39035
Sudao15e,ols,1462,39156
AfricaSul11e,ols,1224,37861
Angola12e,ols,981,37257
Arabia14e,ols,1681,39200
Argelia15e,ols,1258,38665
Argentina16e,ols,1303,38166
Australia16e,ols,1636,38803
Bolivia10e,ols,1326,38145
Brasil16e,ols,2071,38704
BrasilAM26e,ols,658,39259
BrasilMG30e,ols,778,39504
BrasilPR25e,ols,674,39060
BrasilRJ14e,ols,337,37593
BrasilRN16e,ols,494,38207
Canada17e,ols,1927,38941
Cazaquistao15e,ols,1501,38858
Chade12e,ols,1382,39054
China17e,ols,1396,38858
Colombia11e,ols,963,37316
Congo15e,ols,1299,38162
EUA17e,ols,1178,38862
Etiopia10e,ols,1049,37954
India16e,ols,1749,38578
Indonesia14e,ols,1208,38609
Ira13e,ols,1670,38614
Libia14e,ols,799,37587
Mali11e,ols,1311,38450
Mauritania10e,ols,764,37182
