instance,strategy,result,time
AfricaSul11n,ols,1945,39743
Angola12n,ols,1701,37909
Arabia14n,ols,2465,39418
Argelia15n,ols,2318,39595
Argentina16n,ols,2639,38485
Australia16n,ols,1969,38836
Bolivia10n,ols,1423,43915
Brasil16n,ols,2597,39754
BrasilAM26n,ols,576,40875
BrasilMG30n,ols,489,40042
BrasilRJ14n,ols,512,38513
Canada17n,ols,3221,39109
Cazaquistao15n,ols,2735,41870
Chade12n,ols,2128,39939
China17n,ols,1668,41168
Colombia11n,ols,1094,38478
Congo15n,ols,1822,37775
EUA17n,ols,1815,38658
Egito9n,ols,2410,38294
Etiopia10n,ols,1615,41290
India16n,ols,2189,38781
Indonesia14n,ols,1932,38424
Ira13n,ols,1966,38498
Libia14n,ols,1209,39237
Mali11n,ols,2213,38128
Mauritania10n,ols,1469,37491
Mexico14n,ols,2295,42425
Mongolia13n,ols,1829,40513
Niger12n,ols,1988,42979
Peru13n,ols,1907,39585
Russia17n,ols,2862,39864
Sudao15n,ols,2284,39131
AfricaSul11n,ols,1902,39501
Angola12n,ols,1701,38105
Arabia14n,ols,2556,39013
Argelia15n,ols,2091,39269
Argentina16n,ols,2639,38501
Australia16n,ols,1970,38857
Bolivia10n,ols,1247,38896
Brasil16n,ols,2597,39618
BrasilAM26n,ols,601,39723
BrasilMG30n,ols,650,39905
BrasilRJ14n,ols,516,42893
Canada17n,ols,3212,39247
Cazaquistao15n,ols,2564,39419
Chade12n,ols,1996,39284
China17n,ols,1624,39841
Colombia11n,ols,1094,38299
Congo15n,ols,1822,38483
EUA17n,ols,1711,40266
Egito9n,ols,2114,40000
Etiopia10n,ols,1626,39457
India16n,ols,2182,41010
Indonesia14n,ols,1762,39892
Ira13n,ols,1905,39135
Libia14n,ols,1209,39110
Mali11n,ols,2313,38561
Mauritania10n,ols,1469,37667
Mexico14n,ols,2124,41330
Mongolia13n,ols,1899,40004
Niger12n,ols,1982,43019
Peru13n,ols,1907,41549
Russia17n,ols,2821,39666
Sudao15n,ols,2512,40409
AfricaSul11n,ols,1754,39472
Angola12n,ols,1701,37584
Arabia14n,ols,2754,38606
Argelia15n,ols,2349,38761
Argentina16n,ols,2639,38365
Australia16n,ols,2054,39291
Bolivia10n,ols,1247,38613
Brasil16n,ols,2597,39845
BrasilAM26n,ols,544,39216
BrasilMG30n,ols,562,39664
BrasilRJ14n,ols,516,37884
Canada17n,ols,3266,38929
Cazaquistao15n,ols,2580,39091
Chade12n,ols,2056,38820
China17n,ols,1808,39781
Colombia11n,ols,1094,38066
Congo15n,ols,1822,38648
EUA17n,ols,1777,39586
Egito9n,ols,2114,38955
Etiopia10n,ols,1460,38743
India16n,ols,2766,39242
Indonesia14n,ols,1472,38407
Ira13n,ols,2107,38979
Libia14n,ols,1209,38518
Mali11n,ols,2213,39171
Mauritania10n,ols,1469,37648
Mexico14n,ols,1840,39589
Mongolia13n,ols,1829,38969
Niger12n,ols,2457,39225
Peru13n,ols,1907,38385
Russia17n,ols,2655,39109
Sudao15n,ols,2283,38948
AfricaSul11n,ols,1945,38566
Angola12n,ols,1701,38473
Arabia14n,ols,2889,39188
Argelia15n,ols,2207,38894
Argentina16n,ols,2639,38432
Australia16n,ols,1959,38769
Bolivia10n,ols,1430,38170
Brasil16n,ols,2797,39086
BrasilAM26n,ols,649,39261
BrasilMG30n,ols,490,39416
BrasilRJ14n,ols,512,38653
Canada17n,ols,3221,39470
Cazaquistao15n,ols,2617,39076
Chade12n,ols,2128,38906
China17n,ols,1624,39627
Colombia11n,ols,1094,38811
Congo15n,ols,1822,39027
EUA17n,ols,1678,39618
Egito9n,ols,2049,39010
Etiopia10n,ols,1627,38043
India16n,ols,2242,38715
Indonesia14n,ols,1530,38519
Ira13n,ols,2140,38634
Libia14n,ols,1209,38450
Mali11n,ols,2471,38499
Mauritania10n,ols,1469,37629
Mexico14n,ols,2133,38922
Mongolia13n,ols,1927,38092
Niger12n,ols,1774,38410
Peru13n,ols,1907,38086
Russia17n,ols,2875,39250
Sudao15n,ols,2611,38691
AfricaSul11n,ols,2026,38521
Angola12n,ols,1701,37418
Arabia14n,ols,2556,39064
Argelia15n,ols,2247,39536
Argentina16n,ols,2639,38060
Australia16n,ols,2011,38885
Bolivia10n,ols,1430,37956
Brasil16n,ols,2597,38839
BrasilAM26n,ols,662,38838
BrasilMG30n,ols,495,39422
BrasilRJ14n,ols,516,37952
Canada17n,ols,3248,38901
Cazaquistao15n,ols,2640,38604
Chade12n,ols,2209,38561
China17n,ols,1703,39171
Colombia11n,ols,1094,37655
Congo15n,ols,1822,37807
EUA17n,ols,1697,38931
Egito9n,ols,2117,39343
Etiopia10n,ols,1471,39214
India16n,ols,2171,39801
Indonesia14n,ols,1609,38438
Ira13n,ols,2090,38716
Libia14n,ols,1209,38550
Mali11n,ols,2376,38615
Mauritania10n,ols,1469,38424
Mexico14n,ols,2444,39409
Mongolia13n,ols,1899,38606
Niger12n,ols,1988,38753
Peru13n,ols,1907,38132
Russia17n,ols,3209,38957
Sudao15n,ols,2558,38627
AfricaSul11n,ols,2026,38473
Angola12n,ols,1701,37616
Arabia14n,ols,2460,38843
Argelia15n,ols,2204,38851
Argentina16n,ols,2639,38180
Australia16n,ols,1970,38903
Bolivia10n,ols,1266,37969
Brasil16n,ols,2597,39568
BrasilAM26n,ols,490,39733
BrasilMG30n,ols,578,40174
BrasilRJ14n,ols,516,37639
Canada17n,ols,3212,39539
Cazaquistao15n,ols,2630,39393
Chade12n,ols,2128,38777
China17n,ols,1696,39824
Colombia11n,ols,1094,38181
Congo15n,ols,1822,38401
EUA17n,ols,1815,38956
Egito9n,ols,1989,38689
Etiopia10n,ols,1786,38251
India16n,ols,2725,38764
Indonesia14n,ols,1472,38654
Ira13n,ols,2051,38905
Libia14n,ols,1209,38273
Mali11n,ols,2499,38977
Mauritania10n,ols,1469,37609
Mexico14n,ols,1953,39233
Mongolia13n,ols,1927,39123
Niger12n,ols,1949,38829
Peru13n,ols,1907,38064
Russia17n,ols,2993,39023
Sudao15n,ols,2611,39024
AfricaSul11n,ols,1934,38956
Angola12n,ols,1701,37410
Arabia14n,ols,2556,39570
Argelia15n,ols,2091,39021
Argentina16n,ols,2639,38613
Australia16n,ols,2011,39360
Bolivia10n,ols,1247,38544
Brasil16n,ols,2597,38945
BrasilAM26n,ols,352,39404
BrasilMG30n,ols,480,39645
BrasilRJ14n,ols,518,38495
Canada17n,ols,3221,39054
Cazaquistao15n,ols,2419,39055
Chade12n,ols,2673,39235
China17n,ols,1925,39339
Colombia11n,ols,1094,38167
Congo15n,ols,1822,37890
EUA17n,ols,1711,38656
Egito9n,ols,2147,38480
Etiopia10n,ols,1532,38775
India16n,ols,2287,38813
Indonesia14n,ols,1472,38488
Ira13n,ols,2051,38820
Libia14n,ols,1209,38435
Mali11n,ols,2313,38569
Mauritania10n,ols,1469,38487
Mexico14n,ols,2098,38973
Mongolia13n,ols,1955,38329
Niger12n,ols,1982,38715
Peru13n,ols,1907,38117
Russia17n,ols,2734,39075
Sudao15n,ols,2611,39022
AfricaSul11n,ols,1659,38582
Angola12n,ols,1701,38243
Arabia14n,ols,2478,39579
Argelia15n,ols,2324,39570
Argentina16n,ols,2639,38744
Australia16n,ols,2243,38760
Bolivia10n,ols,1247,37898
Brasil16n,ols,2597,39006
BrasilAM26n,ols,377,39705
BrasilMG30n,ols,502,40009
BrasilRJ14n,ols,514,38061
Canada17n,ols,3221,39328
Cazaquistao15n,ols,2617,38648
Chade12n,ols,2389,38792
China17n,ols,1925,38865
Colombia11n,ols,1094,38155
Congo15n,ols,1822,38266
EUA17n,ols,1711,38991
Egito9n,ols,2043,38875
Etiopia10n,ols,1373,38544
India16n,ols,2766,38930
Indonesia14n,ols,1785,38752
Ira13n,ols,2051,38701
Libia14n,ols,1209,38882
Mali11n,ols,2313,39240
Mauritania10n,ols,1469,38339
Mexico14n,ols,2015,39631
Mongolia13n,ols,1943,39266
Niger12n,ols,1986,39111
Peru13n,ols,1907,38568
Russia17n,ols,2731,39768
Sudao15n,ols,2084,39498
AfricaSul11n,ols,1934,38794
Angola12n,ols,1701,37601
Arabia14n,ols,2370,38815
Argelia15n,ols,2349,38764
Argentina16n,ols,2639,38282
Australia16n,ols,2090,38719
Bolivia10n,ols,1345,38749
Brasil16n,ols,2597,39766
BrasilAM26n,ols,730,39260
BrasilMG30n,ols,589,39347
BrasilRJ14n,ols,518,37973
Canada17n,ols,3221,39641
Cazaquistao15n,ols,2636,39187
Chade12n,ols,2172,39480
China17n,ols,1703,39800
Colombia11n,ols,1094,38415
Congo15n,ols,1822,38042
EUA17n,ols,1711,38677
Egito9n,ols,1964,38341
Etiopia10n,ols,1822,39002
India16n,ols,2287,38864
Indonesia14n,ols,1540,39177
Ira13n,ols,2051,38522
Libia14n,ols,1209,38484
Mali11n,ols,2258,38410
Mauritania10n,ols,1469,37464
Mexico14n,ols,1960,38907
Mongolia13n,ols,1811,38461
Niger12n,ols,2602,38649
Peru13n,ols,1907,37987
Russia17n,ols,3088,39482
Sudao15n,ols,2370,38726
AfricaSul11n,ols,2026,38416
Angola12n,ols,1701,37868
Arabia14n,ols,2578,39224
Argelia15n,ols,2207,38626
Argentina16n,ols,2639,38189
Australia16n,ols,2090,38727
Bolivia10n,ols,1247,39038
Brasil16n,ols,2597,39760
BrasilAM26n,ols,620,39933
BrasilMG30n,ols,531,40090
BrasilRJ14n,ols,516,38707
Canada17n,ols,3221,39472
Cazaquistao15n,ols,2768,39361
Chade12n,ols,2136,38625
China17n,ols,1731,39464
Colombia11n,ols,1094,37216
Congo15n,ols,1822,37978
EUA17n,ols,1679,39126
Egito9n,ols,2029,38651
Etiopia10n,ols,1397,38493
India16n,ols,2182,38964
Indonesia14n,ols,1543,38626
Ira13n,ols,1935,38888
Libia14n,ols,1209,38441
Mali11n,ols,2213,38577
Mauritania10n,ols,1469,37663
Mexico14n,ols,1895,39044
Mongolia13n,ols,1778,38740
Niger12n,ols,2129,38476
Peru13n,ols,1907,37790
Russia17n,ols,2746,39160
Sudao15n,ols,2592,38778
AfricaSul11n,ols,2026,38521
Angola12n,ols,1701,37696
Arabia14n,ols,2556,38804
Argelia15n,ols,2244,38995
Argentina16n,ols,2639,38095
Australia16n,ols,2120,39124
Bolivia10n,ols,1247,38058
Brasil16n,ols,2797,39022
BrasilAM26n,ols,549,39885
BrasilMG30n,ols,517,40499
BrasilRJ14n,ols,516,37831
Canada17n,ols,3243,39720
Cazaquistao15n,ols,2455,38774
Chade12n,ols,2389,39410
China17n,ols,1672,39713
Colombia11n,ols,1094,38372
Congo15n,ols,1822,38698
EUA17n,ols,1815,39751
Egito9n,ols,2117,39489
Etiopia10n,ols,1667,39286
India16n,ols,2344,38611
Indonesia14n,ols,1530,38627
Ira13n,ols,2369,39087
Libia14n,ols,1209,38327
Mali11n,ols,2499,38512
Mauritania10n,ols,1469,37460
Mexico14n,ols,2064,38628
Mongolia13n,ols,1928,38356
Niger12n,ols,2129,38658
Peru13n,ols,1907,38105
Russia17n,ols,3075,39124
Sudao15n,ols,2768,39342
AfricaSul11n,ols,1868,38862
Angola12n,ols,1701,38001
Arabia14n,ols,2556,38829
Argelia15n,ols,2247,38901
Argentina16n,ols,2639,38219
Australia16n,ols,2026,38864
Bolivia10n,ols,1430,38087
Brasil16n,ols,2597,39146
BrasilAM26n,ols,615,39448
BrasilMG30n,ols,518,39867
BrasilRJ14n,ols,514,39006
Canada17n,ols,3212,39109
Cazaquistao15n,ols,2317,38871
Chade12n,ols,2313,38833
China17n,ols,1624,39157
Colombia11n,ols,1094,37689
Congo15n,ols,1822,37999
EUA17n,ols,1678,38797
Egito9n,ols,2267,38518
Etiopia10n,ols,1541,38216
India16n,ols,2542,44654
Indonesia14n,ols,1606,38377
Ira13n,ols,1899,38791
Libia14n,ols,1209,38180
Mali11n,ols,2370,38757
Mauritania10n,ols,1469,37167
Mexico14n,ols,2093,38750
Mongolia13n,ols,1928,38409
Niger12n,ols,2457,38462
Peru13n,ols,1907,38154
Russia17n,ols,2662,39002
Sudao15n,ols,2316,38465
AfricaSul11n,ols,2026,38569
Angola12n,ols,1701,37548
Arabia14n,ols,2481,38802
Argelia15n,ols,2247,39373
Argentina16n,ols,2639,39170
Australia16n,ols,1967,39867
Bolivia10n,ols,1247,38816
Brasil16n,ols,2797,39403
BrasilAM26n,ols,374,40047
BrasilMG30n,ols,575,40059
BrasilRJ14n,ols,518,39168
Canada17n,ols,3476,39226
Cazaquistao15n,ols,2455,39157
Chade12n,ols,2147,38821
China17n,ols,1750,39592
Colombia11n,ols,1094,37294
Congo15n,ols,1822,38062
EUA17n,ols,1678,40201
Egito9n,ols,2114,39334
Etiopia10n,ols,2236,39126
India16n,ols,2344,39269
Indonesia14n,ols,1514,38748
Ira13n,ols,2318,38784
Libia14n,ols,1209,38525
Mali11n,ols,2213,38792
Mauritania10n,ols,1469,38192
Mexico14n,ols,2030,38817
Mongolia13n,ols,1888,38669
Niger12n,ols,1988,39246
Peru13n,ols,1907,38784
Russia17n,ols,3209,39698
Sudao15n,ols,2382,39215
AfricaSul11n,ols,1934,38606
Angola12n,ols,1701,37486
Arabia14n,ols,2794,38790
Argelia15n,ols,2201,38890
Argentina16n,ols,2639,38174
Australia16n,ols,2144,38805
Bolivia10n,ols,1314,37978
Brasil16n,ols,2797,38899
BrasilAM26n,ols,427,39446
BrasilMG30n,ols,616,39568
BrasilRJ14n,ols,518,38275
Canada17n,ols,3212,39239
Cazaquistao15n,ols,2590,39067
Chade12n,ols,2436,39441
China17n,ols,1885,39870
Colombia11n,ols,1094,38138
Congo15n,ols,1822,37797
EUA17n,ols,1697,39523
Egito9n,ols,2161,39330
Etiopia10n,ols,2064,38930
India16n,ols,2277,39771
Indonesia14n,ols,1557,39340
Ira13n,ols,2051,38805
Libia14n,ols,1209,39156
Mali11n,ols,2238,38683
Mauritania10n,ols,1469,37933
Mexico14n,ols,1895,39018
Mongolia13n,ols,1863,38741
Niger12n,ols,2602,38721
Peru13n,ols,1907,37968
Russia17n,ols,3242,39185
Sudao15n,ols,2039,39119
AfricaSul11n,ols,2026,38412
Angola12n,ols,1701,37844
Arabia14n,ols,2556,38866
Argelia15n,ols,2247,38886
Argentina16n,ols,2639,38248
Australia16n,ols,1980,39631
Bolivia10n,ols,1266,37911
Brasil16n,ols,2597,40041
BrasilAM26n,ols,558,39951
BrasilMG30n,ols,624,40376
BrasilRJ14n,ols,514,38793
Canada17n,ols,3289,39864
Cazaquistao15n,ols,2317,39027
Chade12n,ols,2122,38726
China17n,ols,1629,39062
Colombia11n,ols,1094,37291
Congo15n,ols,1822,38050
EUA17n,ols,1711,38731
Egito9n,ols,2330,38586
Etiopia10n,ols,1786,38484
India16n,ols,2287,38833
Indonesia14n,ols,1502,38476
Ira13n,ols,2178,38846
Libia14n,ols,1209,38201
Mali11n,ols,2223,38655
Mauritania10n,ols,1469,37488
Mexico14n,ols,2284,39461
Mongolia13n,ols,1793,38185
Niger12n,ols,2457,38973
Peru13n,ols,1907,38023
Russia17n,ols,3209,39245
Sudao15n,ols,2335,38793
AfricaSul11n,ols,1945,39929
Angola12n,ols,1701,38622
Arabia14n,ols,2693,39504
Argelia15n,ols,2247,39218
Argentina16n,ols,2639,38714
Australia16n,ols,1959,39119
Bolivia10n,ols,1430,38538
Brasil16n,ols,2743,39315
BrasilAM26n,ols,533,40416
BrasilMG30n,ols,580,39952
BrasilRJ14n,ols,516,38397
Canada17n,ols,3252,39105
Cazaquistao15n,ols,2794,40296
Chade12n,ols,2354,40322
China17n,ols,1703,40854
Colombia11n,ols,1094,39284
Congo15n,ols,1822,38755
EUA17n,ols,1777,39732
Egito9n,ols,2117,39172
Etiopia10n,ols,1502,42351
India16n,ols,2219,39690
Indonesia14n,ols,1543,39080
Ira13n,ols,2071,39331
Libia14n,ols,1209,40148
Mali11n,ols,2499,39469
Mauritania10n,ols,1469,38291
