instance,strategy,result,time
AfricaSul11e,pr,1313,64001
AfricaSul11n,pr,2182,65838
Angola12e,pr,981,64117
Angola12n,pr,1701,63890
Arabia14e,pr,1774,65165
Arabia14n,pr,2468,65304
Argelia15e,pr,1273,65177
Argelia15n,pr,2207,65465
Argentina16e,pr,1383,64847
Argentina16n,pr,2639,65400
Australia16e,pr,1678,68322
Australia16n,pr,1995,68391
Bolivia10e,pr,1388,66360
Bolivia10n,pr,1423,66698
Brasil16e,pr,1871,67786
Brasil16n,pr,2797,68624
BrasilAM26e,pr,703,67796
BrasilAM26n,pr,633,68681
BrasilMG30e,pr,705,67998
BrasilMG30n,pr,624,69827
BrasilPR25e,pr,616,67923
BrasilRJ14e,pr,337,65160
BrasilRJ14n,pr,518,67003
BrasilRN16e,pr,494,65398
Canada17e,pr,2196,67212
Canada17n,pr,3221,67216
Cazaquistao15e,pr,1464,67698
Cazaquistao15n,pr,2507,68084
Chade12e,pr,1526,68877
Chade12n,pr,2030,66803
China17e,pr,1439,66812
China17n,pr,1703,66867
Colombia11e,pr,963,63516
Colombia11n,pr,1094,64370
Congo15e,pr,1299,64088
Congo15n,pr,1822,64177
EUA17e,pr,1178,64372
EUA17n,pr,1815,66003
Egito9n,pr,2043,65118
Etiopia10e,pr,853,64350
Etiopia10n,pr,1774,64681
India16e,pr,1749,64938
India16n,pr,2251,65852
Indonesia14e,pr,1233,65083
Indonesia14n,pr,1762,65424
Ira13e,pr,1652,65766
Ira13n,pr,2222,66302
Libia14e,pr,799,64409
Libia14n,pr,1209,65296
Mali11e,pr,1308,67781
Mali11n,pr,2142,65900
Mauritania10e,pr,764,63081
Mauritania10n,pr,1469,63784
Mexico14e,pr,1123,65775
Mexico14n,pr,2177,66248
Mongolia13e,pr,1548,65884
Mongolia13n,pr,1863,65240
Niger12e,pr,1444,65875
Niger12n,pr,2602,65917
Peru13e,pr,1308,65131
Peru13n,pr,1907,65816
Russia17e,pr,1894,67141
Russia17n,pr,3075,66590
Sudao15e,pr,1355,65530
Sudao15n,pr,2382,66046
att48Ae,pr,32965,67297
att48An,pr,1542,67745
AfricaSul11e,pr,1330,64907
AfricaSul11n,pr,1754,67845
Angola12e,pr,981,65130
Angola12n,pr,1701,64476
Arabia14e,pr,1681,65710
Arabia14n,pr,2355,66675
Argelia15e,pr,1233,66235
Argelia15n,pr,2207,69887
Argentina16e,pr,1383,67022
Argentina16n,pr,2639,66741
Australia16e,pr,1848,68709
Australia16n,pr,2169,66882
Bolivia10e,pr,1245,64213
Bolivia10n,pr,1247,65484
Brasil16e,pr,1980,66118
Brasil16n,pr,2597,67202
BrasilAM26e,pr,682,67563
BrasilAM26n,pr,631,67040
BrasilMG30e,pr,695,68628
BrasilMG30n,pr,599,70434
BrasilPR25e,pr,637,68912
BrasilRJ14e,pr,337,64695
BrasilRJ14n,pr,518,65780
BrasilRN16e,pr,494,68209
Canada17e,pr,2036,68915
Canada17n,pr,3212,68215
Cazaquistao15e,pr,1419,69970
Cazaquistao15n,pr,2404,67748
Chade12e,pr,1457,70015
Chade12n,pr,2136,71109
China17e,pr,1392,69696
China17n,pr,1925,68938
Colombia11e,pr,963,66868
Colombia11n,pr,1094,67829
Congo15e,pr,1299,70284
Congo15n,pr,1822,66692
EUA17e,pr,1178,68079
EUA17n,pr,1815,71375
Egito9n,pr,2114,70692
Etiopia10e,pr,879,69923
Etiopia10n,pr,1786,72981
India16e,pr,1898,73638
India16n,pr,2451,73816
Indonesia14e,pr,1261,68433
Indonesia14n,pr,1482,71731
Ira13e,pr,1779,71103
Ira13n,pr,2318,70209
Libia14e,pr,799,68528
Libia14n,pr,1209,66800
Mali11e,pr,1326,65945
Mali11n,pr,2499,65935
Mauritania10e,pr,764,67616
Mauritania10n,pr,1469,70106
Mexico14e,pr,1297,69387
Mexico14n,pr,2041,70990
Mongolia13e,pr,1326,69774
Mongolia13n,pr,1829,69118
Niger12e,pr,1534,67208
Niger12n,pr,2129,67527
Peru13e,pr,1308,64805
Peru13n,pr,1907,66020
Russia17e,pr,1894,67007
Russia17n,pr,3075,69067
Sudao15e,pr,1483,67146
Sudao15n,pr,2382,66682
att48Ae,pr,33035,68726
att48An,pr,1693,68765
AfricaSul11e,pr,1328,65084
AfricaSul11n,pr,2182,66662
Angola12e,pr,981,64505
Angola12n,pr,1701,65216
Arabia14e,pr,1578,67859
Arabia14n,pr,2889,67390
Argelia15e,pr,1239,67800
Argelia15n,pr,2207,66647
Argentina16e,pr,1383,67295
Argentina16n,pr,2639,65227
Australia16e,pr,1686,66695
Australia16n,pr,2133,65558
Bolivia10e,pr,1293,64012
Bolivia10n,pr,1420,64041
Brasil16e,pr,1790,65637
Brasil16n,pr,2597,67255
BrasilAM26e,pr,676,66192
BrasilAM26n,pr,340,65922
BrasilMG30e,pr,702,67100
BrasilMG30n,pr,556,67488
BrasilPR25e,pr,689,67114
BrasilRJ14e,pr,337,62597
BrasilRJ14n,pr,516,63677
BrasilRN16e,pr,494,63196
Canada17e,pr,1954,65048
Canada17n,pr,3289,65329
Cazaquistao15e,pr,1530,65094
Cazaquistao15n,pr,2653,65257
Chade12e,pr,1589,65456
Chade12n,pr,2496,65397
China17e,pr,1311,65184
China17n,pr,1750,66058
Colombia11e,pr,963,62425
Colombia11n,pr,1094,63002
Congo15e,pr,1278,63753
Congo15n,pr,1822,65239
EUA17e,pr,1178,65508
EUA17n,pr,1815,66352
Egito9n,pr,2117,65042
Etiopia10e,pr,820,63150
Etiopia10n,pr,1777,73599
India16e,pr,1749,64849
India16n,pr,2344,66049
Indonesia14e,pr,1361,64710
Indonesia14n,pr,1551,65242
Ira13e,pr,1698,65956
Ira13n,pr,2051,66261
Libia14e,pr,799,63788
Libia14n,pr,1209,65693
Mali11e,pr,1478,65680
Mali11n,pr,2499,64702
Mauritania10e,pr,764,62344
Mauritania10n,pr,1469,63003
Mexico14e,pr,1397,66213
Mexico14n,pr,2070,66861
Mongolia13e,pr,1548,65291
Mongolia13n,pr,1948,64562
Niger12e,pr,1336,65021
Niger12n,pr,2222,66427
Peru13e,pr,1308,64660
Peru13n,pr,1907,64197
Russia17e,pr,1894,65446
Russia17n,pr,3209,65889
Sudao15e,pr,1355,65009
Sudao15n,pr,2382,65513
att48Ae,pr,33545,66845
att48An,pr,1636,67620
AfricaSul11e,pr,1328,63219
AfricaSul11n,pr,1945,64816
Angola12e,pr,981,62504
Angola12n,pr,1701,63067
Arabia14e,pr,1681,64563
Arabia14n,pr,2588,67043
Argelia15e,pr,1238,65742
Argelia15n,pr,2324,65352
Argentina16e,pr,1383,63431
Argentina16n,pr,2639,63913
Australia16e,pr,1687,65134
Australia16n,pr,2104,65234
Bolivia10e,pr,1348,63632
Bolivia10n,pr,1247,63492
Brasil16e,pr,1808,64693
Brasil16n,pr,2597,65007
BrasilAM26e,pr,663,65926
BrasilAM26n,pr,565,65849
BrasilMG30e,pr,713,66416
BrasilMG30n,pr,497,67788
BrasilPR25e,pr,633,66988
BrasilRJ14e,pr,337,63763
BrasilRJ14n,pr,514,64642
BrasilRN16e,pr,494,64109
Canada17e,pr,2282,66313
Canada17n,pr,3221,66314
Cazaquistao15e,pr,1418,66709
Cazaquistao15n,pr,2516,67229
Chade12e,pr,1631,67046
Chade12n,pr,2239,66754
China17e,pr,1503,67001
China17n,pr,1701,67351
Colombia11e,pr,963,62928
Colombia11n,pr,1094,64015
Congo15e,pr,1299,65354
Congo15n,pr,1822,63475
EUA17e,pr,1178,64267
EUA17n,pr,1777,65383
Egito9n,pr,1868,64804
Etiopia10e,pr,820,63664
Etiopia10n,pr,1786,64521
India16e,pr,1877,65465
India16n,pr,2182,65166
Indonesia14e,pr,1252,65000
Indonesia14n,pr,1762,65416
Ira13e,pr,1606,65709
Ira13n,pr,2222,65865
Libia14e,pr,799,63712
Libia14n,pr,1209,65973
Mali11e,pr,1305,66445
Mali11n,pr,2116,66375
Mauritania10e,pr,764,64165
Mauritania10n,pr,1469,64125
Mexico14e,pr,1297,66431
Mexico14n,pr,2177,66525
Mongolia13e,pr,1346,66376
Mongolia13n,pr,1948,65389
Niger12e,pr,1369,65806
Niger12n,pr,2013,65695
Peru13e,pr,1308,64150
Peru13n,pr,1907,65302
Russia17e,pr,1894,66490
Russia17n,pr,2783,67464
Sudao15e,pr,1355,66037
Sudao15n,pr,2795,66519
att48Ae,pr,32988,68042
att48An,pr,1595,68258
AfricaSul11e,pr,1328,64967
AfricaSul11n,pr,2182,66255
Angola12e,pr,882,63650
Angola12n,pr,1701,64317
Arabia14e,pr,1376,66336
Arabia14n,pr,2659,66763
Argelia15e,pr,1214,66196
Argelia15n,pr,2159,66402
Argentina16e,pr,1383,63928
Argentina16n,pr,2639,64009
Australia16e,pr,1681,65281
Australia16n,pr,2046,65339
Bolivia10e,pr,1228,64069
Bolivia10n,pr,1430,63590
Brasil16e,pr,1947,65074
Brasil16n,pr,2597,65637
BrasilAM26e,pr,665,66082
BrasilAM26n,pr,619,66031
BrasilMG30e,pr,699,65920
BrasilMG30n,pr,544,66642
BrasilPR25e,pr,649,66360
BrasilRJ14e,pr,337,62601
BrasilRJ14n,pr,486,63525
BrasilRN16e,pr,494,63452
Canada17e,pr,1954,65086
Canada17n,pr,3212,65014
Cazaquistao15e,pr,1524,65240
Cazaquistao15n,pr,3002,65273
Chade12e,pr,1420,66972
Chade12n,pr,2503,65373
China17e,pr,1396,65283
China17n,pr,1692,65269
Colombia11e,pr,963,61917
Colombia11n,pr,1094,63013
Congo15e,pr,1299,63366
Congo15n,pr,1822,64783
EUA17e,pr,1178,63843
EUA17n,pr,1533,64935
Egito9n,pr,2049,64324
Etiopia10e,pr,911,63169
Etiopia10n,pr,1786,64035
India16e,pr,1749,64768
India16n,pr,2344,64915
Indonesia14e,pr,1361,64460
Indonesia14n,pr,1557,64215
Ira13e,pr,1652,64796
Ira13n,pr,2084,64802
Libia14e,pr,799,63676
Libia14n,pr,1209,66027
Mali11e,pr,1326,64222
Mali11n,pr,2197,64703
Mauritania10e,pr,764,62625
Mauritania10n,pr,1469,62712
Mexico14e,pr,1297,64582
Mexico14n,pr,2041,65253
Mongolia13e,pr,1475,65556
Mongolia13n,pr,1888,65254
Niger12e,pr,1502,64927
Niger12n,pr,2129,64899
Peru13e,pr,1308,62773
Peru13n,pr,1907,63583
Russia17e,pr,1894,64947
Russia17n,pr,2875,65478
Sudao15e,pr,1422,64740
Sudao15n,pr,2382,64803
att48Ae,pr,32983,66844
att48An,pr,1571,66744
AfricaSul11e,pr,1312,63533
AfricaSul11n,pr,2026,65207
Angola12e,pr,882,63349
Angola12n,pr,1701,64482
Arabia14e,pr,1681,66029
Arabia14n,pr,2468,66528
Argelia15e,pr,1266,65648
Argelia15n,pr,2113,65194
Argentina16e,pr,1383,63798
Argentina16n,pr,2639,64337
Australia16e,pr,1678,66980
Australia16n,pr,2090,67310
Bolivia10e,pr,1245,65625
Bolivia10n,pr,1247,65641
Brasil16e,pr,1877,66470
Brasil16n,pr,2597,66034
BrasilAM26e,pr,687,66037
BrasilAM26n,pr,651,67193
BrasilMG30e,pr,701,68024
BrasilMG30n,pr,578,68564
BrasilPR25e,pr,667,67973
BrasilRJ14e,pr,337,64665
BrasilRJ14n,pr,512,65590
BrasilRN16e,pr,494,65219
Canada17e,pr,1955,66873
Canada17n,pr,3266,66984
Cazaquistao15e,pr,1413,66706
Cazaquistao15n,pr,2465,66886
Chade12e,pr,1615,67112
Chade12n,pr,2320,66309
China17e,pr,1368,65694
China17n,pr,1750,66938
Colombia11e,pr,963,63336
Colombia11n,pr,1094,64241
Congo15e,pr,1299,64742
Congo15n,pr,1822,65346
EUA17e,pr,1178,64965
EUA17n,pr,1815,66833
Egito9n,pr,2074,65027
Etiopia10e,pr,865,64867
Etiopia10n,pr,1774,65442
India16e,pr,1749,66500
India16n,pr,2287,66528
Indonesia14e,pr,1225,65359
Indonesia14n,pr,1724,64855
Ira13e,pr,1629,66420
Ira13n,pr,2318,66466
Libia14e,pr,799,63214
Libia14n,pr,1209,64009
Mali11e,pr,1425,64582
Mali11n,pr,2375,64786
Mauritania10e,pr,764,62054
Mauritania10n,pr,1469,63338
Mexico14e,pr,1397,64950
Mexico14n,pr,2090,65347
Mongolia13e,pr,1404,65170
Mongolia13n,pr,1829,64658
Niger12e,pr,1352,66320
Niger12n,pr,2245,65980
Peru13e,pr,1308,64323
Peru13n,pr,1907,63909
Russia17e,pr,1894,65287
Russia17n,pr,2783,65869
Sudao15e,pr,1428,65103
Sudao15n,pr,2611,65459
att48Ae,pr,33417,66876
att48An,pr,1538,66815
AfricaSul11e,pr,1251,63759
AfricaSul11n,pr,1944,64760
Angola12e,pr,981,62526
Angola12n,pr,1701,62570
Arabia14e,pr,1681,64488
Arabia14n,pr,2468,65291
Argelia15e,pr,1357,64849
Argelia15n,pr,2349,66611
Argentina16e,pr,1383,63736
Argentina16n,pr,2639,63829
Australia16e,pr,1823,65544
Australia16n,pr,2126,65160
Bolivia10e,pr,1260,63779
Bolivia10n,pr,1430,63761
Brasil16e,pr,2075,64822
Brasil16n,pr,2597,65393
BrasilAM26e,pr,676,65722
BrasilAM26n,pr,717,65905
BrasilMG30e,pr,712,66134
BrasilMG30n,pr,603,66642
BrasilPR25e,pr,626,65861
BrasilRJ14e,pr,337,62649
BrasilRJ14n,pr,516,63422
BrasilRN16e,pr,494,63018
Canada17e,pr,1954,65466
Canada17n,pr,3243,66737
Cazaquistao15e,pr,1787,66784
Cazaquistao15n,pr,2744,66645
Chade12e,pr,1472,66375
Chade12n,pr,2172,66193
China17e,pr,1422,64827
China17n,pr,1725,65278
Colombia11e,pr,963,62443
Colombia11n,pr,1094,62492
Congo15e,pr,1299,63133
Congo15n,pr,1822,63646
EUA17e,pr,1178,63924
EUA17n,pr,1711,65057
Egito9n,pr,2148,64823
Etiopia10e,pr,844,63173
Etiopia10n,pr,1753,64447
India16e,pr,1749,66321
India16n,pr,2542,66461
Indonesia14e,pr,1252,65729
Indonesia14n,pr,1762,66472
Ira13e,pr,1703,66424
Ira13n,pr,2318,65522
Libia14e,pr,799,62667
Libia14n,pr,1209,64458
Mali11e,pr,1285,64633
Mali11n,pr,2213,65078
Mauritania10e,pr,764,62355
Mauritania10n,pr,1469,62801
Mexico14e,pr,1374,64681
Mexico14n,pr,2063,65556
Mongolia13e,pr,1347,65387
Mongolia13n,pr,1955,64832
Niger12e,pr,1534,65027
Niger12n,pr,2013,65229
Peru13e,pr,1308,63264
Peru13n,pr,1907,64191
Russia17e,pr,1894,65072
Russia17n,pr,2885,65855
Sudao15e,pr,1355,65102
Sudao15n,pr,2611,65111
att48Ae,pr,33504,65908
att48An,pr,1575,66104
AfricaSul11e,pr,1328,62396
AfricaSul11n,pr,1682,63940
Angola12e,pr,981,61395
Angola12n,pr,1701,61985
Arabia14e,pr,1458,64292
Arabia14n,pr,2402,64421
Argelia15e,pr,1353,64078
Argelia15n,pr,2207,64646
Argentina16e,pr,1383,62763
Argentina16n,pr,2639,63213
Australia16e,pr,1625,64106
Australia16n,pr,2090,64361
Bolivia10e,pr,1293,62346
Bolivia10n,pr,1370,62417
Brasil16e,pr,1877,63615
Brasil16n,pr,2597,64266
BrasilAM26e,pr,676,64552
BrasilAM26n,pr,727,65037
BrasilMG30e,pr,725,64929
BrasilMG30n,pr,636,65405
BrasilPR25e,pr,657,64848
BrasilRJ14e,pr,337,62212
BrasilRJ14n,pr,514,62496
BrasilRN16e,pr,490,62252
Canada17e,pr,1927,64288
Canada17n,pr,3252,64890
Cazaquistao15e,pr,1504,64261
Cazaquistao15n,pr,2620,64454
Chade12e,pr,1487,64520
Chade12n,pr,1917,64325
China17e,pr,1479,63962
China17n,pr,1751,64729
Colombia11e,pr,963,60897
Colombia11n,pr,1094,61646
Congo15e,pr,1299,62373
Congo15n,pr,1822,62781
EUA17e,pr,1178,62930
EUA17n,pr,1678,64264
Egito9n,pr,1941,63923
Etiopia10e,pr,997,62691
Etiopia10n,pr,1428,63787
India16e,pr,1749,63840
India16n,pr,2206,64049
Indonesia14e,pr,1361,64297
Indonesia14n,pr,1530,63849
Ira13e,pr,1685,63555
Ira13n,pr,1905,64205
Libia14e,pr,799,62348
Libia14n,pr,1209,63293
Mali11e,pr,1333,63691
Mali11n,pr,2213,63384
Mauritania10e,pr,764,61754
Mauritania10n,pr,1469,61796
Mexico14e,pr,1520,63688
Mexico14n,pr,2242,64058
Mongolia13e,pr,1548,64440
Mongolia13n,pr,1829,64068
Niger12e,pr,1534,63896
Niger12n,pr,2457,64374
Peru13e,pr,1308,62013
Peru13n,pr,1907,62554
Russia17e,pr,1894,64066
Russia17n,pr,3221,65010
Sudao15e,pr,1346,63690
Sudao15n,pr,2540,64707
att48Ae,pr,32960,67382
att48An,pr,1572,67352
AfricaSul11e,pr,1312,63978
AfricaSul11n,pr,2026,65958
Angola12e,pr,981,64352
Angola12n,pr,1701,63729
Arabia14e,pr,1539,65070
Arabia14n,pr,2355,65039
Argelia15e,pr,1233,65000
