instance,strategy,result,time
AfricaSul11e,pr,1313,64001
Angola12e,pr,981,64117
Arabia14e,pr,1774,65165
Argelia15e,pr,1273,65177
Argentina16e,pr,1383,64847
Australia16e,pr,1678,68322
Bolivia10e,pr,1388,66360
Brasil16e,pr,1871,67786
BrasilAM26e,pr,703,67796
BrasilMG30e,pr,705,67998
BrasilPR25e,pr,616,67923
BrasilRJ14e,pr,337,65160
BrasilRN16e,pr,494,65398
Canada17e,pr,2196,67212
Cazaquistao15e,pr,1464,67698
Chade12e,pr,1526,68877
China17e,pr,1439,66812
Colombia11e,pr,963,63516
Congo15e,pr,1299,64088
EUA17e,pr,1178,64372
Etiopia10e,pr,853,64350
India16e,pr,1749,64938
Indonesia14e,pr,1233,65083
Ira13e,pr,1652,65766
Libia14e,pr,799,64409
Mali11e,pr,1308,67781
Mauritania10e,pr,764,63081
Mexico14e,pr,1123,65775
Mongolia13e,pr,1548,65884
Niger12e,pr,1444,65875
Peru13e,pr,1308,65131
Russia17e,pr,1894,67141
Sudao15e,pr,1355,65530
AfricaSul11e,pr,1330,64907
Angola12e,pr,981,65130
Arabia14e,pr,1681,65710
Argelia15e,pr,1233,66235
Argentina16e,pr,1383,67022
Australia16e,pr,1848,68709
Bolivia10e,pr,1245,64213
Brasil16e,pr,1980,66118
BrasilAM26e,pr,682,67563
BrasilMG30e,pr,695,68628
BrasilPR25e,pr,637,68912
BrasilRJ14e,pr,337,64695
BrasilRN16e,pr,494,68209
Canada17e,pr,2036,68915
Cazaquistao15e,pr,1419,69970
Chade12e,pr,1457,70015
China17e,pr,1392,69696
Colombia11e,pr,963,66868
Congo15e,pr,1299,70284
EUA17e,pr,1178,68079
Etiopia10e,pr,879,69923
India16e,pr,1898,73638
Indonesia14e,pr,1261,68433
Ira13e,pr,1779,71103
Libia14e,pr,799,68528
Mali11e,pr,1326,65945
Mauritania10e,pr,764,67616
Mexico14e,pr,1297,69387
Mongolia13e,pr,1326,69774
Niger12e,pr,1534,67208
Peru13e,pr,1308,64805
Russia17e,pr,1894,67007
Sudao15e,pr,1483,67146
AfricaSul11e,pr,1328,65084
Angola12e,pr,981,64505
Arabia14e,pr,1578,67859
Argelia15e,pr,1239,67800
Argentina16e,pr,1383,67295
Australia16e,pr,1686,66695
Bolivia10e,pr,1293,64012
Brasil16e,pr,1790,65637
BrasilAM26e,pr,676,66192
BrasilMG30e,pr,702,67100
BrasilPR25e,pr,689,67114
BrasilRJ14e,pr,337,62597
BrasilRN16e,pr,494,63196
Canada17e,pr,1954,65048
Cazaquistao15e,pr,1530,65094
Chade12e,pr,1589,65456
China17e,pr,1311,65184
Colombia11e,pr,963,62425
Congo15e,pr,1278,63753
EUA17e,pr,1178,65508
Etiopia10e,pr,820,63150
India16e,pr,1749,64849
Indonesia14e,pr,1361,64710
Ira13e,pr,1698,65956
Libia14e,pr,799,63788
Mali11e,pr,1478,65680
Mauritania10e,pr,764,62344
Mexico14e,pr,1397,66213
Mongolia13e,pr,1548,65291
Niger12e,pr,1336,65021
Peru13e,pr,1308,64660
Russia17e,pr,1894,65446
Sudao15e,pr,1355,65009
AfricaSul11e,pr,1328,63219
Angola12e,pr,981,62504
Arabia14e,pr,1681,64563
Argelia15e,pr,1238,65742
Argentina16e,pr,1383,63431
Australia16e,pr,1687,65134
Bolivia10e,pr,1348,63632
Brasil16e,pr,1808,64693
BrasilAM26e,pr,663,65926
BrasilMG30e,pr,713,66416
BrasilPR25e,pr,633,66988
BrasilRJ14e,pr,337,63763
BrasilRN16e,pr,494,64109
Canada17e,pr,2282,66313
Cazaquistao15e,pr,1418,66709
Chade12e,pr,1631,67046
China17e,pr,1503,67001
Colombia11e,pr,963,62928
Congo15e,pr,1299,65354
EUA17e,pr,1178,64267
Etiopia10e,pr,820,63664
India16e,pr,1877,65465
Indonesia14e,pr,1252,65000
Ira13e,pr,1606,65709
Libia14e,pr,799,63712
Mali11e,pr,1305,66445
Mauritania10e,pr,764,64165
Mexico14e,pr,1297,66431
Mongolia13e,pr,1346,66376
Niger12e,pr,1369,65806
Peru13e,pr,1308,64150
Russia17e,pr,1894,66490
Sudao15e,pr,1355,66037
AfricaSul11e,pr,1328,64967
Angola12e,pr,882,63650
Arabia14e,pr,1376,66336
Argelia15e,pr,1214,66196
Argentina16e,pr,1383,63928
Australia16e,pr,1681,65281
Bolivia10e,pr,1228,64069
Brasil16e,pr,1947,65074
BrasilAM26e,pr,665,66082
BrasilMG30e,pr,699,65920
BrasilPR25e,pr,649,66360
BrasilRJ14e,pr,337,62601
BrasilRN16e,pr,494,63452
Canada17e,pr,1954,65086
Cazaquistao15e,pr,1524,65240
Chade12e,pr,1420,66972
China17e,pr,1396,65283
Colombia11e,pr,963,61917
Congo15e,pr,1299,63366
EUA17e,pr,1178,63843
Etiopia10e,pr,911,63169
India16e,pr,1749,64768
Indonesia14e,pr,1361,64460
Ira13e,pr,1652,64796
Libia14e,pr,799,63676
Mali11e,pr,1326,64222
Mauritania10e,pr,764,62625
Mexico14e,pr,1297,64582
Mongolia13e,pr,1475,65556
Niger12e,pr,1502,64927
Peru13e,pr,1308,62773
Russia17e,pr,1894,64947
Sudao15e,pr,1422,64740
AfricaSul11e,pr,1312,63533
Angola12e,pr,882,63349
Arabia14e,pr,1681,66029
Argelia15e,pr,1266,65648
Argentina16e,pr,1383,63798
Australia16e,pr,1678,66980
Bolivia10e,pr,1245,65625
Brasil16e,pr,1877,66470
BrasilAM26e,pr,687,66037
BrasilMG30e,pr,701,68024
BrasilPR25e,pr,667,67973
BrasilRJ14e,pr,337,64665
