instance,strategy,result,time
AfricaSul11n,pr,2182,65838
Angola12n,pr,1701,63890
Arabia14n,pr,2468,65304
Argelia15n,pr,2207,65465
Argentina16n,pr,2639,65400
Australia16n,pr,1995,68391
Bolivia10n,pr,1423,66698
Brasil16n,pr,2797,68624
BrasilAM26n,pr,633,68681
BrasilMG30n,pr,624,69827
BrasilRJ14n,pr,518,67003
Canada17n,pr,3221,67216
Cazaquistao15n,pr,2507,68084
Chade12n,pr,2030,66803
China17n,pr,1703,66867
Colombia11n,pr,1094,64370
Congo15n,pr,1822,64177
EUA17n,pr,1815,66003
Egito9n,pr,2043,65118
Etiopia10n,pr,1774,64681
India16n,pr,2251,65852
Indonesia14n,pr,1762,65424
Ira13n,pr,2222,66302
Libia14n,pr,1209,65296
Mali11n,pr,2142,65900
Mauritania10n,pr,1469,63784
Mexico14n,pr,2177,66248
Mongolia13n,pr,1863,65240
Niger12n,pr,2602,65917
Peru13n,pr,1907,65816
Russia17n,pr,3075,66590
Sudao15n,pr,2382,66046
AfricaSul11n,pr,1754,67845
Angola12n,pr,1701,64476
Arabia14n,pr,2355,66675
Argelia15n,pr,2207,69887
Argentina16n,pr,2639,66741
Australia16n,pr,2169,66882
Bolivia10n,pr,1247,65484
Brasil16n,pr,2597,67202
BrasilAM26n,pr,631,67040
BrasilMG30n,pr,599,70434
BrasilRJ14n,pr,518,65780
Canada17n,pr,3212,68215
Cazaquistao15n,pr,2404,67748
Chade12n,pr,2136,71109
China17n,pr,1925,68938
Colombia11n,pr,1094,67829
Congo15n,pr,1822,66692
EUA17n,pr,1815,71375
Egito9n,pr,2114,70692
Etiopia10n,pr,1786,72981
India16n,pr,2451,73816
Indonesia14n,pr,1482,71731
Ira13n,pr,2318,70209
Libia14n,pr,1209,66800
Mali11n,pr,2499,65935
Mauritania10n,pr,1469,70106
Mexico14n,pr,2041,70990
Mongolia13n,pr,1829,69118
Niger12n,pr,2129,67527
Peru13n,pr,1907,66020
Russia17n,pr,3075,69067
Sudao15n,pr,2382,66682
AfricaSul11n,pr,2182,66662
Angola12n,pr,1701,65216
Arabia14n,pr,2889,67390
Argelia15n,pr,2207,66647
Argentina16n,pr,2639,65227
Australia16n,pr,2133,65558
Bolivia10n,pr,1420,64041
Brasil16n,pr,2597,67255
BrasilAM26n,pr,340,65922
BrasilMG30n,pr,556,67488
BrasilRJ14n,pr,516,63677
Canada17n,pr,3289,65329
Cazaquistao15n,pr,2653,65257
Chade12n,pr,2496,65397
China17n,pr,1750,66058
Colombia11n,pr,1094,63002
Congo15n,pr,1822,65239
EUA17n,pr,1815,66352
Egito9n,pr,2117,65042
Etiopia10n,pr,1777,73599
India16n,pr,2344,66049
Indonesia14n,pr,1551,65242
Ira13n,pr,2051,66261
Libia14n,pr,1209,65693
Mali11n,pr,2499,64702
Mauritania10n,pr,1469,63003
Mexico14n,pr,2070,66861
Mongolia13n,pr,1948,64562
Niger12n,pr,2222,66427
Peru13n,pr,1907,64197
Russia17n,pr,3209,65889
Sudao15n,pr,2382,65513
AfricaSul11n,pr,1945,64816
Angola12n,pr,1701,63067
Arabia14n,pr,2588,67043
Argelia15n,pr,2324,65352
Argentina16n,pr,2639,63913
Australia16n,pr,2104,65234
Bolivia10n,pr,1247,63492
Brasil16n,pr,2597,65007
BrasilAM26n,pr,565,65849
BrasilMG30n,pr,497,67788
BrasilRJ14n,pr,514,64642
Canada17n,pr,3221,66314
Cazaquistao15n,pr,2516,67229
Chade12n,pr,2239,66754
China17n,pr,1701,67351
Colombia11n,pr,1094,64015
Congo15n,pr,1822,63475
EUA17n,pr,1777,65383
Egito9n,pr,1868,64804
Etiopia10n,pr,1786,64521
India16n,pr,2182,65166
Indonesia14n,pr,1762,65416
Ira13n,pr,2222,65865
Libia14n,pr,1209,65973
Mali11n,pr,2116,66375
Mauritania10n,pr,1469,64125
Mexico14n,pr,2177,66525
Mongolia13n,pr,1948,65389
Niger12n,pr,2013,65695
Peru13n,pr,1907,65302
Russia17n,pr,2783,67464
Sudao15n,pr,2795,66519
AfricaSul11n,pr,2182,66255
Angola12n,pr,1701,64317
Arabia14n,pr,2659,66763
Argelia15n,pr,2159,66402
Argentina16n,pr,2639,64009
Australia16n,pr,2046,65339
Bolivia10n,pr,1430,63590
Brasil16n,pr,2597,65637
BrasilAM26n,pr,619,66031
BrasilMG30n,pr,544,66642
BrasilRJ14n,pr,486,63525
Canada17n,pr,3212,65014
Cazaquistao15n,pr,3002,65273
Chade12n,pr,2503,65373
China17n,pr,1692,65269
Colombia11n,pr,1094,63013
Congo15n,pr,1822,64783
EUA17n,pr,1533,64935
Egito9n,pr,2049,64324
Etiopia10n,pr,1786,64035
India16n,pr,2344,64915
Indonesia14n,pr,1557,64215
Ira13n,pr,2084,64802
Libia14n,pr,1209,66027
Mali11n,pr,2197,64703
Mauritania10n,pr,1469,62712
Mexico14n,pr,2041,65253
Mongolia13n,pr,1888,65254
Niger12n,pr,2129,64899
Peru13n,pr,1907,63583
Russia17n,pr,2875,65478
Sudao15n,pr,2382,64803
AfricaSul11n,pr,2026,65207
Angola12n,pr,1701,64482
Arabia14n,pr,2468,66528
Argelia15n,pr,2113,65194
Argentina16n,pr,2639,64337
Australia16n,pr,2090,67310
Bolivia10n,pr,1247,65641
Brasil16n,pr,2597,66034
BrasilAM26n,pr,651,67193
BrasilMG30n,pr,578,68564
BrasilRJ14n,pr,512,65590
Canada17n,pr,3266,66984
Cazaquistao15n,pr,2465,66886
Chade12n,pr,2320,66309
China17n,pr,1750,66938
Colombia11n,pr,1094,64241
Congo15n,pr,1822,65346
EUA17n,pr,1815,66833
Egito9n,pr,2074,65027
Etiopia10n,pr,1774,65442
India16n,pr,2287,66528
Indonesia14n,pr,1724,64855
Ira13n,pr,2318,66466
Libia14n,pr,1209,64009
Mali11n,pr,2375,64786
Mauritania10n,pr,1469,63338
Mexico14n,pr,2090,65347
Mongolia13n,pr,1829,64658
Niger12n,pr,2245,65980
Peru13n,pr,1907,63909
Russia17n,pr,2783,65869
Sudao15n,pr,2611,65459
AfricaSul11n,pr,1944,64760
Angola12n,pr,1701,62570
Arabia14n,pr,2468,65291
Argelia15n,pr,2349,66611
Argentina16n,pr,2639,63829
Australia16n,pr,2126,65160
Bolivia10n,pr,1430,63761
Brasil16n,pr,2597,65393
BrasilAM26n,pr,717,65905
BrasilMG30n,pr,603,66642
BrasilRJ14n,pr,516,63422
Canada17n,pr,3243,66737
Cazaquistao15n,pr,2744,66645
Chade12n,pr,2172,66193
China17n,pr,1725,65278
Colombia11n,pr,1094,62492
Congo15n,pr,1822,63646
EUA17n,pr,1711,65057
Egito9n,pr,2148,64823
Etiopia10n,pr,1753,64447
India16n,pr,2542,66461
Indonesia14n,pr,1762,66472
Ira13n,pr,2318,65522
Libia14n,pr,1209,64458
Mali11n,pr,2213,65078
Mauritania10n,pr,1469,62801
Mexico14n,pr,2063,65556
Mongolia13n,pr,1955,64832
Niger12n,pr,2013,65229
Peru13n,pr,1907,64191
Russia17n,pr,2885,65855
Sudao15n,pr,2611,65111
AfricaSul11n,pr,1682,63940
Angola12n,pr,1701,61985
Arabia14n,pr,2402,64421
Argelia15n,pr,2207,64646
Argentina16n,pr,2639,63213
Australia16n,pr,2090,64361
Bolivia10n,pr,1370,62417
Brasil16n,pr,2597,64266
BrasilAM26n,pr,727,65037
BrasilMG30n,pr,636,65405
BrasilRJ14n,pr,514,62496
Canada17n,pr,3252,64890
Cazaquistao15n,pr,2620,64454
Chade12n,pr,1917,64325
China17n,pr,1751,64729
Colombia11n,pr,1094,61646
Congo15n,pr,1822,62781
EUA17n,pr,1678,64264
Egito9n,pr,1941,63923
Etiopia10n,pr,1428,63787
India16n,pr,2206,64049
Indonesia14n,pr,1530,63849
Ira13n,pr,1905,64205
Libia14n,pr,1209,63293
Mali11n,pr,2213,63384
Mauritania10n,pr,1469,61796
Mexico14n,pr,2242,64058
Mongolia13n,pr,1829,64068
Niger12n,pr,2457,64374
Peru13n,pr,1907,62554
Russia17n,pr,3221,65010
Sudao15n,pr,2540,64707
AfricaSul11n,pr,2026,65958
Angola12n,pr,1701,63729
Arabia14n,pr,2355,65039
Argelia15n,pr,2247,65280
Argentina16n,pr,2639,64362
Australia16n,pr,2224,66686
Bolivia10n,pr,1247,64464
Brasil16n,pr,2597,67339
BrasilAM26n,pr,372,67015
BrasilMG30n,pr,562,68427
BrasilRJ14n,pr,516,65582
Canada17n,pr,3221,66599
Cazaquistao15n,pr,2620,67156
Chade12n,pr,2136,67369
China17n,pr,1750,66275
Colombia11n,pr,1094,63547
Congo15n,pr,1822,64138
EUA17n,pr,1777,67579
Egito9n,pr,2117,65628
Etiopia10n,pr,1850,65471
India16n,pr,2287,67018
Indonesia14n,pr,1523,65366
Ira13n,pr,2107,66393
Libia14n,pr,1209,65804
Mali11n,pr,2118,67592
Mauritania10n,pr,1469,64501
Mexico14n,pr,2186,66336
Mongolia13n,pr,1928,66593
Niger12n,pr,2245,65612
Peru13n,pr,1907,66204
Russia17n,pr,3209,66584
Sudao15n,pr,2347,66413
AfricaSul11n,pr,2026,66773
Angola12n,pr,1701,64413
Arabia14n,pr,2889,66420
Argelia15n,pr,2091,69871
Argentina16n,pr,2639,65726
Australia16n,pr,2126,66663
Bolivia10n,pr,1423,65665
Brasil16n,pr,2797,67168
BrasilAM26n,pr,536,67333
BrasilMG30n,pr,543,69618
BrasilRJ14n,pr,518,64569
Canada17n,pr,3221,67080
Cazaquistao15n,pr,2800,68296
Chade12n,pr,2191,71273
China17n,pr,1624,66467
Colombia11n,pr,1094,67835
Congo15n,pr,1822,68158
EUA17n,pr,1711,67600
Egito9n,pr,2129,69122
Etiopia10n,pr,1484,69253
India16n,pr,2542,70996
Indonesia14n,pr,1514,67071
Ira13n,pr,1908,70578
Libia14n,pr,1209,69045
Mali11n,pr,2471,65762
Mauritania10n,pr,1469,66266
Mexico14n,pr,2247,68496
Mongolia13n,pr,1927,67748
Niger12n,pr,2602,66234
Peru13n,pr,1907,64508
Russia17n,pr,3209,67110
Sudao15n,pr,2611,66206
AfricaSul11n,pr,1714,65119
Angola12n,pr,1701,63258
Arabia14n,pr,2421,66632
Argelia15n,pr,2159,66973
Argentina16n,pr,2639,67802
Australia16n,pr,1970,65703
Bolivia10n,pr,1314,63719
Brasil16n,pr,2797,65791
BrasilAM26n,pr,655,65718
BrasilMG30n,pr,725,67033
BrasilRJ14n,pr,518,64615
Canada17n,pr,3660,66722
Cazaquistao15n,pr,2675,66402
Chade12n,pr,2132,66424
China17n,pr,1705,66909
Colombia11n,pr,1094,64650
Congo15n,pr,1822,64168
EUA17n,pr,1777,65117
Egito9n,pr,2043,64538
Etiopia10n,pr,1484,65646
India16n,pr,2201,65246
Indonesia14n,pr,1543,66049
Ira13n,pr,2318,66455
Libia14n,pr,1209,65575
Mali11n,pr,2499,66273
Mauritania10n,pr,1469,63492
Mexico14n,pr,2188,66437
Mongolia13n,pr,1948,66266
Niger12n,pr,1988,65040
Peru13n,pr,1907,63799
Russia17n,pr,2808,65422
Sudao15n,pr,2611,64930
AfricaSul11n,pr,2026,64829
Angola12n,pr,1701,63189
Arabia14n,pr,2401,65854
Argelia15n,pr,2247,65186
Argentina16n,pr,2639,64195
Australia16n,pr,2011,64952
Bolivia10n,pr,1247,63933
Brasil16n,pr,2797,65377
BrasilAM26n,pr,561,65738
BrasilMG30n,pr,536,66580
BrasilRJ14n,pr,518,63587
Canada17n,pr,3266,65658
Cazaquistao15n,pr,2518,65088
Chade12n,pr,2136,65155
China17n,pr,1925,67260
Colombia11n,pr,1094,64353
Congo15n,pr,1822,63813
EUA17n,pr,1777,65153
Egito9n,pr,1966,64564
Etiopia10n,pr,1786,64923
India16n,pr,2219,64966
Indonesia14n,pr,1530,64290
Ira13n,pr,2022,64615
Libia14n,pr,1209,64130
Mali11n,pr,2238,64591
Mauritania10n,pr,1469,63937
Mexico14n,pr,2193,65501
Mongolia13n,pr,1899,65870
Niger12n,pr,2457,64808
Peru13n,pr,1907,63585
Russia17n,pr,3209,65206
Sudao15n,pr,2382,68222
AfricaSul11n,pr,2182,64848
Angola12n,pr,1701,63331
Arabia14n,pr,2470,65301
Argelia15n,pr,2016,65996
Argentina16n,pr,2639,65246
Australia16n,pr,2283,66480
Bolivia10n,pr,1247,65304
Brasil16n,pr,2597,67043
BrasilAM26n,pr,654,67173
BrasilMG30n,pr,504,67661
BrasilRJ14n,pr,514,63607
Canada17n,pr,3221,65616
Cazaquistao15n,pr,2728,65036
Chade12n,pr,2357,66396
China17n,pr,1696,67147
Colombia11n,pr,1094,62692
Congo15n,pr,1822,63819
EUA17n,pr,1777,65070
Egito9n,pr,2129,64861
Etiopia10n,pr,1777,64599
India16n,pr,2509,65025
Indonesia14n,pr,1557,64844
Ira13n,pr,2318,65480
Libia14n,pr,1209,64344
Mali11n,pr,2213,64557
Mauritania10n,pr,1469,62635
Mexico14n,pr,2064,64975
Mongolia13n,pr,1899,64726
Niger12n,pr,2602,64705
Peru13n,pr,1907,63705
Russia17n,pr,2783,65398
Sudao15n,pr,2611,65842
AfricaSul11n,pr,1934,66539
Angola12n,pr,1701,64338
Arabia14n,pr,2671,66781
Argelia15n,pr,2091,66766
Argentina16n,pr,2639,65138
Australia16n,pr,2090,66187
Bolivia10n,pr,1345,64507
Brasil16n,pr,2597,66862
BrasilAM26n,pr,363,66655
BrasilMG30n,pr,650,66290
BrasilRJ14n,pr,514,63617
Canada17n,pr,3289,66285
Cazaquistao15n,pr,2780,73476
Chade12n,pr,2020,64728
China17n,pr,1651,65579
Colombia11n,pr,1094,63217
Congo15n,pr,1822,63677
EUA17n,pr,1815,64835
Egito9n,pr,2199,64644
Etiopia10n,pr,1484,64362
India16n,pr,2287,65005
Indonesia14n,pr,1482,64698
Ira13n,pr,1956,65149
Libia14n,pr,1209,64390
Mali11n,pr,2560,65061
Mauritania10n,pr,1469,64868
Mexico14n,pr,2243,67278
Mongolia13n,pr,1829,66554
Niger12n,pr,1988,66504
Peru13n,pr,1907,65094
Russia17n,pr,2727,66679
Sudao15n,pr,2611,66690
AfricaSul11n,pr,1945,64640
Angola12n,pr,1701,63977
Arabia14n,pr,2514,66426
Argelia15n,pr,2016,65930
Argentina16n,pr,2639,65018
Australia16n,pr,1970,65316
Bolivia10n,pr,1345,63940
Brasil16n,pr,2652,65581
BrasilAM26n,pr,620,65878
BrasilMG30n,pr,655,67607
BrasilRJ14n,pr,516,63767
Canada17n,pr,3221,65907
Cazaquistao15n,pr,2390,65581
Chade12n,pr,2063,65516
China17n,pr,1706,65604
Colombia11n,pr,1094,62852
Congo15n,pr,1822,63867
EUA17n,pr,1815,65662
Egito9n,pr,2410,64732
Etiopia10n,pr,1441,64077
India16n,pr,2766,65083
Indonesia14n,pr,1514,66043
Ira13n,pr,2369,65321
Libia14n,pr,1209,64665
Mali11n,pr,2370,64744
Mauritania10n,pr,1469,63211
Mexico14n,pr,2037,65514
Mongolia13n,pr,1811,64580
Niger12n,pr,2129,64649
Peru13n,pr,1907,64376
Russia17n,pr,3075,65658
Sudao15n,pr,2335,64952
AfricaSul11n,pr,2182,64451
Angola12n,pr,1701,62294
Arabia14n,pr,2671,63837
Argelia15n,pr,2016,64449
Argentina16n,pr,2639,63125
Australia16n,pr,2169,64658
Bolivia10n,pr,1247,62924
Brasil16n,pr,2597,64323
BrasilAM26n,pr,759,64780
BrasilMG30n,pr,602,65505
BrasilRJ14n,pr,514,62825
Canada17n,pr,3212,65619
Cazaquistao15n,pr,2567,64268
Chade12n,pr,2313,64198
China17n,pr,1731,64820
Colombia11n,pr,1094,62188
Congo15n,pr,1822,62483
EUA17n,pr,1711,63992
Egito9n,pr,2308,63561
Etiopia10n,pr,2064,63397
India16n,pr,2509,63829
Indonesia14n,pr,1543,63686
Ira13n,pr,2051,64213
Libia14n,pr,1209,63191
Mali11n,pr,2370,64512
Mauritania10n,pr,1469,62006
Mexico14n,pr,2021,64443
Mongolia13n,pr,1927,63952
Niger12n,pr,2602,64430
Peru13n,pr,1907,62621
Russia17n,pr,3093,64753
Sudao15n,pr,2865,63854
AfricaSul11n,pr,1714,66731
Angola12n,pr,1701,64293
Arabia14n,pr,2463,65530
Argelia15n,pr,2201,65675
Argentina16n,pr,2639,64672
Australia16n,pr,2108,67234
Bolivia10n,pr,1247,64876
Brasil16n,pr,2797,66658
BrasilAM26n,pr,606,67472
BrasilMG30n,pr,589,67651
BrasilRJ14n,pr,486,65868
Canada17n,pr,3221,67043
Cazaquistao15n,pr,2517,66653
Chade12n,pr,1974,66813
China17n,pr,1925,66241
Colombia11n,pr,1094,62743
Congo15n,pr,1822,64052
EUA17n,pr,1711,65246
Egito9n,pr,2043,64933
Etiopia10n,pr,1786,64844
India16n,pr,2344,64818
Indonesia14n,pr,1762,66643
Ira13n,pr,1947,66207
Libia14n,pr,1209,65502
Mali11n,pr,2213,67293
Mauritania10n,pr,1469,63971
Mexico14n,pr,2219,66367
Mongolia13n,pr,1829,65799
Niger12n,pr,2129,67178
Peru13n,pr,1907,67456
Russia17n,pr,2875,66970
Sudao15n,pr,2696,66965
AfricaSul11n,pr,2026,68187
Angola12n,pr,1701,64447
Arabia14n,pr,2635,67017
Argelia15n,pr,2247,70091
Argentina16n,pr,2639,65881
Australia16n,pr,1964,67998
Bolivia10n,pr,1266,66377
Brasil16n,pr,2597,68405
BrasilAM26n,pr,746,68106
BrasilMG30n,pr,503,69946
BrasilRJ14n,pr,518,63762
Canada17n,pr,3221,65723
Cazaquistao15n,pr,2693,67606
Chade12n,pr,2264,70518
China17n,pr,1794,67221
Colombia11n,pr,1094,67913
Congo15n,pr,1822,68090
EUA17n,pr,1815,69069
Egito9n,pr,2043,69191
Etiopia10n,pr,1786,70216
India16n,pr,2343,71734
Indonesia14n,pr,1724,66897
Ira13n,pr,2051,69953
Libia14n,pr,1209,68453
Mali11n,pr,2557,66516
Mauritania10n,pr,1469,68544
Mexico14n,pr,2407,68362
Mongolia13n,pr,1899,68262
Niger12n,pr,2222,67103
Peru13n,pr,1907,65439
Russia17n,pr,3209,67613
Sudao15n,pr,2243,65859
AfricaSul11n,pr,1934,65362
Angola12n,pr,1701,63456
Arabia14n,pr,2513,67766
Argelia15n,pr,2207,67196
Argentina16n,pr,2639,67334
Australia16n,pr,2097,66823
Bolivia10n,pr,1314,65006
Brasil16n,pr,2597,66760
BrasilAM26n,pr,600,67440
