instance,strategy,result,time
AfricaSul11e,m,1313,38225
Angola12e,m,981,37829
Arabia14e,m,1681,38968
Argelia15e,m,1312,38848
Argentina16e,m,1383,38591
Australia16e,m,1738,39131
Bolivia10e,m,1308,38475
Brasil16e,m,1782,38950
BrasilAM26e,m,638,42122
BrasilMG30e,m,707,40252
BrasilPR25e,m,659,41047
BrasilRJ14e,m,337,39013
BrasilRN16e,m,474,39832
Canada17e,m,1973,39915
Cazaquistao15e,m,1461,38770
Chade12e,m,1546,40930
China17e,m,1330,40372
Colombia11e,m,963,39446
Congo15e,m,1239,38951
EUA17e,m,1178,38933
Etiopia10e,m,903,38278
India16e,m,1749,42844
Indonesia14e,m,1361,39225
Ira13e,m,1606,39062
Libia14e,m,799,38018
Mali11e,m,1350,39837
Mauritania10e,m,764,37628
Mexico14e,m,1391,39099
Mongolia13e,m,1245,42138
Niger12e,m,1523,42499
Peru13e,m,1308,40696
Russia17e,m,1644,40214
Sudao15e,m,1541,39371
att48Ae,m,33196,40142
AfricaSul11e,m,1290,37903
Angola12e,m,981,38071
Arabia14e,m,1482,38984
Argelia15e,m,1336,38705
Argentina16e,m,1383,38381
Australia16e,m,1815,39179
Bolivia10e,m,1326,38117
Brasil16e,m,1970,39202
BrasilAM26e,m,644,40293
BrasilMG30e,m,672,40625
BrasilPR25e,m,681,39343
BrasilRJ14e,m,337,37656
BrasilRN16e,m,494,37948
Canada17e,m,2275,39515
Cazaquistao15e,m,1465,39304
Chade12e,m,1361,39218
China17e,m,1415,39231
Colombia11e,m,963,38317
Congo15e,m,1299,39094
EUA17e,m,1178,39065
Etiopia10e,m,845,39780
India16e,m,1818,40344
Indonesia14e,m,1361,41278
Ira13e,m,1609,40097
Libia14e,m,799,38401
Mali11e,m,1243,38604
Mauritania10e,m,764,37329
Mexico14e,m,1368,38440
Mongolia13e,m,1467,41165
Niger12e,m,1298,39424
Peru13e,m,1308,41898
Russia17e,m,1894,42239
Sudao15e,m,1355,39672
att48Ae,m,32965,41006
AfricaSul11e,m,1313,38816
Angola12e,m,981,38373
Arabia14e,m,1681,39126
Argelia15e,m,1490,39440
Argentina16e,m,1383,37953
Australia16e,m,1942,39597
